timestamps,end,open,high,low,close,volume,amount
2026-04-14 06:00:00,2026-04-14 06:59:59,48.05,48.05,48.05,48.05,12610,605910.5
2026-04-14 07:00:00,2026-04-14 07:59:59,48.04,48.37,47.8,48.24,909700,43826380.699999996
2026-04-14 08:00:00,2026-04-14 08:59:59,48.2,48.4,48.2,48.27,556910,26918163.000000007
2026-04-14 09:00:00,2026-04-14 09:59:59,48.27,48.42,48.13,48.2,589750,28476917.499999996
2026-04-14 10:00:00,2026-04-14 10:59:59,48.2,48.29,48.11,48.24,502570,24232548.099999998
2026-04-14 11:00:00,2026-04-14 11:59:59,48.24,48.28,47.73,47.75,1851410,88831868.1
2026-04-14 12:00:00,2026-04-14 12:59:59,47.74,47.89,47.65,47.81,1013290,48411125.1
2026-04-14 13:00:00,2026-04-14 13:59:59,47.81,48.42,47.8,48.31,1981210,95486888.99999997
2026-04-14 14:00:00,2026-04-14 14:59:59,48.31,48.57,48.13,48.26,2278860,110249791.09999995
2026-04-14 15:00:00,2026-04-14 15:59:59,48.3,48.34,48.24,48.27,268340,12957882.300000003
2026-04-14 16:00:00,2026-04-14 16:59:59,48.26,48.39,48.19,48.28,824470,39795601.0
2026-04-14 17:00:00,2026-04-14 17:59:59,48.28,48.34,48.15,48.21,842350,40635455.4
2026-04-14 18:00:00,2026-04-14 18:58:08,48.22,48.33,48.12,48.32,255370,12312549.900000002
2026-04-14 19:00:00,2026-04-14 19:59:59,48.32,48.33,48.23,48.28,312500,15087714.399999999
2026-04-14 20:00:00,2026-04-14 20:59:59,48.25,48.28,48.15,48.17,205890,9922709.899999997
2026-04-14 21:00:00,2026-04-14 21:59:59,48.18,48.21,48.16,48.2,106150,5115282.999999998
2026-04-14 22:00:00,2026-04-14 22:59:59,48.17,48.3,48.17,48.22,425560,20528467.79999999
2026-04-14 23:00:00,2026-04-14 23:59:58,48.2,48.21,48.03,48.09,500220,24057045.099999998
2026-04-15 06:00:00,2026-04-15 06:59:59,48.1,48.1,48.1,48.1,2290,110149.0
2026-04-15 07:00:00,2026-04-15 07:59:59,48.2,48.27,48.08,48.25,298850,14395606.0
2026-04-15 08:00:00,2026-04-15 08:59:01,48.25,48.36,48.18,48.24,433400,20923846.100000005
2026-04-15 09:00:00,2026-04-15 09:59:59,48.22,48.36,48.05,48.29,599650,28916920.099999998
2026-04-15 10:00:00,2026-04-15 10:59:59,48.29,48.31,47.9,48.0,911890,43821092.00000001
2026-04-15 11:00:00,2026-04-15 11:59:59,48.0,48.17,47.96,48.03,597340,28723476.100000005
2026-04-15 12:00:00,2026-04-15 12:59:59,48.04,48.11,47.96,48.03,594940,28578555.7
2026-04-15 13:00:00,2026-04-15 13:59:59,48.03,48.96,48.03,48.72,5189180,252149441.90000015
2026-04-15 14:00:00,2026-04-15 14:59:59,48.72,48.79,48.56,48.64,1648360,80259644.00000001
2026-04-15 15:00:00,2026-04-15 15:59:59,48.64,48.74,48.38,48.41,2013200,97665513.19999996
2026-04-15 16:00:00,2026-04-15 16:59:59,48.41,48.63,48.41,48.61,1044270,50672396.60000001
2026-04-15 17:00:00,2026-04-15 17:59:59,48.61,48.9,48.58,48.9,2067380,100852214.60000001
2026-04-15 18:00:00,2026-04-15 18:59:59,48.9,49.5,48.88,49.25,4692740,231135728.99999997
2026-04-15 19:00:00,2026-04-15 19:59:59,49.23,49.4,49.21,49.24,1599960,78877410.60000001
2026-04-15 20:00:00,2026-04-15 20:59:59,49.24,49.4,49.24,49.27,571800,28207300.699999996
2026-04-15 21:00:00,2026-04-15 21:59:59,49.29,49.33,49.21,49.31,489950,24142191.600000005
2026-04-15 22:00:00,2026-04-15 22:59:59,49.33,49.61,49.28,49.55,1343550,66470399.499999985
2026-04-15 23:00:00,2026-04-15 23:59:58,49.56,49.56,49.29,49.46,773960,38264009.4
2026-04-16 06:00:00,2026-04-16 06:59:59,49.45,49.45,49.45,49.45,2470,122141.5
2026-04-16 07:00:00,2026-04-16 07:59:59,49.41,49.44,49.14,49.21,681750,33590154.300000004
2026-04-16 08:00:00,2026-04-16 08:59:59,49.25,49.43,49.18,49.4,541650,26698445.89999999
2026-04-16 09:00:00,2026-04-16 09:59:59,49.39,49.39,49.15,49.15,614430,30248679.7
2026-04-16 10:00:00,2026-04-16 10:59:59,49.15,49.71,49.04,49.43,3774830,186721569.99999997
2026-04-16 11:00:00,2026-04-16 11:59:59,49.43,49.62,49.32,49.36,1363440,67466014.0
2026-04-16 12:00:00,2026-04-16 12:59:59,49.35,49.44,49.25,49.38,367490,18133848.4
2026-04-16 13:00:00,2026-04-16 13:59:59,49.4,49.53,49.38,49.46,320430,15839241.499999996
2026-04-16 14:00:00,2026-04-16 14:59:59,49.46,49.52,49.29,49.43,1034610,51076996.900000006
2026-04-16 15:00:00,2026-04-16 15:59:59,49.43,49.55,49.39,49.41,788200,38991907.7
2026-04-16 16:00:00,2026-04-16 16:59:59,49.41,49.47,49.31,49.42,517590,25567549.499999996
2026-04-16 17:00:00,2026-04-16 17:59:59,49.43,49.5,49.06,49.18,1568400,77271350.39999998
2026-04-16 18:00:00,2026-04-16 18:59:59,49.17,49.24,48.62,48.88,3051420,149255072.1
2026-04-16 19:00:00,2026-04-16 19:59:59,48.87,48.98,48.64,48.74,1046860,51089013.60000001
2026-04-16 20:00:00,2026-04-16 20:59:59,48.74,48.89,48.7,48.85,357160,17420042.000000004
2026-04-16 21:00:00,2026-04-16 21:59:59,48.85,48.85,48.7,48.75,504420,24591916.900000002
2026-04-16 22:00:00,2026-04-16 22:59:59,48.73,48.97,48.69,48.92,316470,15463620.8
2026-04-16 23:00:00,2026-04-16 23:59:58,48.93,48.94,48.76,48.79,329030,16063687.000000002
2026-04-17 06:00:00,2026-04-17 06:59:59,48.79,48.79,48.79,48.79,50,2439.5
2026-04-17 07:00:00,2026-04-17 07:59:59,48.8,49.1,48.53,48.61,920870,44901202.59999999
2026-04-17 08:00:00,2026-04-17 08:59:59,48.6,48.84,48.6,48.83,307050,14960817.000000002
2026-04-17 09:00:00,2026-04-17 09:59:59,48.83,48.84,48.59,48.74,579790,28231514.400000006
2026-04-17 10:00:00,2026-04-17 10:59:59,48.7,49.01,48.55,48.9,1022370,49870945.0
2026-04-17 11:00:00,2026-04-17 11:59:59,48.92,49.01,48.67,48.67,902410,44124600.10000001
2026-04-17 12:00:00,2026-04-17 12:59:59,48.67,48.97,48.65,48.82,722690,35275148.300000004
2026-04-17 13:00:00,2026-04-17 13:59:59,48.82,48.9,48.75,48.82,474350,23160978.499999996
2026-04-17 14:00:00,2026-04-17 14:59:59,48.82,49.59,48.82,49.53,6330810,312527416.4
2026-04-17 15:00:00,2026-04-17 15:59:59,49.53,50.0,49.25,49.99,6806870,337451341.8
2026-04-17 16:00:00,2026-04-17 16:59:59,49.96,50.11,49.31,49.74,10262170,510990062.10000014
2026-04-17 17:00:00,2026-04-17 17:59:59,49.73,50.0,49.53,49.73,4553050,226586684.4999999
2026-04-17 18:00:00,2026-04-17 18:59:59,49.75,50.25,49.49,49.94,3242570,161494552.50000006
2026-04-17 19:00:00,2026-04-17 19:59:59,49.94,50.22,49.87,49.94,1884710,94295409.89999978
2026-04-17 20:00:00,2026-04-17 20:59:59,49.93,49.99,49.76,49.84,930020,46356019.59999998
2026-04-17 21:00:00,2026-04-17 21:59:59,49.82,49.91,49.8,49.86,355300,17717589.099999998
2026-04-17 22:00:00,2026-04-17 22:59:59,49.89,49.93,49.86,49.89,250910,12518980.299999997
2026-04-17 23:00:00,2026-04-17 23:59:54,49.91,49.93,49.86,49.9,482940,24088560.499999996
2026-04-18 09:00:00,2026-04-18 09:59:59,50.0,50.0,50.0,50.0,8010,400500.0
2026-04-18 10:00:00,2026-04-18 10:59:59,50.01,50.01,49.56,49.72,761160,37862046.3
2026-04-18 11:00:00,2026-04-18 11:59:59,49.7,49.8,49.6,49.7,444750,22108756.0
2026-04-18 12:00:00,2026-04-18 12:59:59,49.7,49.89,49.69,49.86,396470,19740262.60000001
2026-04-18 13:00:00,2026-04-18 13:59:59,49.88,49.89,49.7,49.71,376190,18721452.0
2026-04-18 14:00:00,2026-04-18 14:59:59,49.71,49.73,49.55,49.61,556420,27604783.799999993
2026-04-18 15:00:00,2026-04-18 15:59:59,49.61,49.64,49.43,49.46,1274800,63104870.59999999
2026-04-18 16:00:00,2026-04-18 16:59:59,49.48,49.7,49.43,49.58,298890,14821130.000000002
2026-04-18 17:00:00,2026-04-18 17:59:59,49.59,49.76,49.58,49.71,157060,7805653.5
2026-04-18 18:00:00,2026-04-18 18:59:59,49.73,49.74,49.58,49.66,234170,11625947.4
2026-04-19 09:00:00,2026-04-19 09:59:59,49.66,49.66,49.66,49.66,1420,70517.20000000001
2026-04-19 10:00:00,2026-04-19 10:59:59,49.7,49.71,49.41,49.53,427900,21186239.600000005
2026-04-19 11:00:00,2026-04-19 11:59:59,49.53,49.63,49.51,49.6,43300,2147173.399999999
2026-04-19 12:00:00,2026-04-19 12:59:59,49.59,49.6,49.55,49.6,39820,1974037.8999999997
2026-04-19 13:00:00,2026-04-19 13:59:59,49.57,49.61,49.56,49.61,44610,2212341.8
2026-04-19 14:00:00,2026-04-19 14:59:59,49.58,50.0,49.56,49.95,916600,45696358.09999999
2026-04-19 15:00:00,2026-04-19 15:59:59,49.92,50.07,49.85,50.07,387000,19333037.099999994
2026-04-19 16:00:00,2026-04-19 16:59:59,50.06,50.3,49.94,50.04,1478230,74118437.60000001
2026-04-19 17:00:00,2026-04-19 17:59:59,50.07,50.26,49.9,50.08,725750,36350785.9
2026-04-19 18:00:00,2026-04-19 18:59:59,50.1,50.24,50.01,50.01,590270,29584452.900000006
2026-04-20 06:00:00,2026-04-20 06:59:59,49.8,49.8,49.8,49.8,86060,4285788.0
2026-04-20 07:00:00,2026-04-20 07:59:59,49.8,50.07,49.8,49.99,1203040,60050690.99999999
2026-04-20 08:00:00,2026-04-20 08:59:59,49.99,50.48,49.93,50.21,1636020,82130497.8
2026-04-20 09:00:00,2026-04-20 09:59:59,50.19,50.3,49.97,50.02,1373720,68794879.99999999
2026-04-20 10:00:00,2026-04-20 10:59:59,50.0,50.24,49.89,49.96,1971700,98697272.89999998
2026-04-20 11:00:00,2026-04-20 11:59:59,49.96,49.96,49.07,49.15,6943650,343393674.5999999
2026-04-20 12:00:00,2026-04-20 12:59:59,49.13,49.33,49.01,49.18,2112910,103859671.5
2026-04-20 13:00:00,2026-04-20 13:59:59,49.18,49.18,48.8,49.15,2167160,106225541.99999997
2026-04-20 14:00:00,2026-04-20 14:59:59,49.15,49.3,49.09,49.15,856360,42128444.3
2026-04-20 15:00:00,2026-04-20 15:59:59,49.15,49.6,49.12,49.45,1766470,87199146.9
2026-04-20 16:00:00,2026-04-20 16:59:59,49.45,49.7,49.41,49.61,1025580,50839642.49999998
2026-04-20 17:00:00,2026-04-20 17:59:59,49.61,50.3,49.49,50.2,4060230,202904778.4
2026-04-20 18:00:00,2026-04-20 18:59:03,50.2,50.3,50.09,50.18,2525000,126725057.69999999
2026-04-20 19:00:00,2026-04-20 19:59:59,50.15,50.19,49.91,50.0,1340280,67041821.79999998
2026-04-20 20:00:00,2026-04-20 20:59:59,49.99,50.26,49.99,50.22,600090,30085078.999999993
2026-04-20 21:00:00,2026-04-20 21:59:59,50.21,50.23,50.09,50.14,345430,17321691.900000006
2026-04-20 22:00:00,2026-04-20 22:59:59,50.14,50.2,50.1,50.19,326050,16354975.8
2026-04-20 23:00:00,2026-04-20 23:59:58,50.2,50.3,50.13,50.29,1086970,54616689.400000006
2026-04-21 06:00:00,2026-04-21 06:59:59,50.36,50.36,50.36,50.36,15730,792162.7999999999
2026-04-21 07:00:00,2026-04-21 07:59:59,50.37,50.37,49.92,50.12,1762080,88303055.39999995
2026-04-21 08:00:00,2026-04-21 08:59:59,50.15,50.24,49.98,50.08,560710,28108153.299999997
2026-04-21 09:00:00,2026-04-21 09:59:59,50.08,50.6,50.08,50.48,2268510,114316959.19999999
2026-04-21 10:00:00,2026-04-21 10:59:59,50.49,50.7,50.1,50.16,2157150,108757464.50000003
2026-04-21 11:00:00,2026-04-21 11:59:59,50.16,50.4,50.03,50.3,1502360,75387589.70000002
2026-04-21 12:00:00,2026-04-21 12:59:59,50.28,50.44,50.08,50.11,903930,45391212.09999997
2026-04-21 13:00:00,2026-04-21 13:59:59,50.11,50.17,49.86,49.94,1468400,73423100.89999998
2026-04-21 14:00:00,2026-04-21 14:59:59,49.94,50.17,49.79,50.16,711630,35580411.5
2026-04-21 15:00:00,2026-04-21 15:59:59,50.16,50.26,49.86,49.89,1146930,57375439.7
2026-04-21 16:00:00,2026-04-21 16:59:59,49.87,49.97,49.43,49.59,2372840,117754017.29999998
2026-04-21 17:00:00,2026-04-21 17:59:59,49.59,50.55,49.56,50.43,5724570,287418666.0999999
2026-04-21 18:00:00,2026-04-21 18:59:03,50.41,50.45,50.07,50.11,1403870,70546534.70000006
2026-04-21 19:00:00,2026-04-21 19:59:59,50.13,50.23,50.08,50.19,536310,26899192.599999998
2026-04-21 20:00:00,2026-04-21 20:59:59,50.18,50.4,50.1,50.18,1186200,59566400.699999996
2026-04-21 21:00:00,2026-04-21 21:59:59,50.18,50.2,50.05,50.14,271240,13598976.099999998
2026-04-21 22:00:00,2026-04-21 22:59:59,50.14,50.2,49.8,49.81,1100760,54985805.9
2026-04-21 23:00:00,2026-04-21 23:59:58,49.81,49.94,49.75,49.84,1232560,61406034.39999999
2026-04-22 06:00:00,2026-04-22 06:59:59,50.0,50.0,50.0,50.0,15090,754500.0
2026-04-22 07:00:00,2026-04-22 07:59:59,50.0,50.18,49.91,50.1,949640,47538602.49999999
2026-04-22 08:00:00,2026-04-22 08:59:59,50.13,50.15,49.97,50.1,251980,12616227.600000001
2026-04-22 09:00:00,2026-04-22 09:59:59,50.1,50.49,50.03,50.41,1845260,92801173.50000007
2026-04-22 10:00:00,2026-04-22 10:59:59,50.39,50.56,50.27,50.35,1930110,97370610.1
2026-04-22 11:00:00,2026-04-22 11:59:59,50.36,50.37,50.1,50.17,1175610,59046997.200000085
2026-04-22 12:00:00,2026-04-22 12:59:59,50.15,50.23,50.06,50.14,805720,40397249.80000001
2026-04-22 13:00:00,2026-04-22 13:59:59,50.14,50.27,50.13,50.18,684810,34380380.199999996
2026-04-22 14:00:00,2026-04-22 14:59:59,50.18,50.19,50.01,50.04,698180,34959481.199999996
2026-04-22 15:00:00,2026-04-22 15:59:59,50.04,50.08,49.9,50.04,896220,44812752.60000002
2026-04-22 16:00:00,2026-04-22 16:59:59,50.04,50.06,49.91,49.93,470180,23505895.3
2026-04-22 17:00:00,2026-04-22 17:59:59,49.95,50.46,49.93,50.15,1800700,90405303.89999999
2026-04-22 18:00:00,2026-04-22 18:59:59,50.16,50.21,50.08,50.12,641240,32157004.50000001
2026-04-22 19:00:00,2026-04-22 19:59:59,50.12,50.39,50.1,50.2,657980,33079047.6
2026-04-22 20:00:00,2026-04-22 20:59:59,50.2,50.21,49.92,50.07,1149110,57505914.09999997
2026-04-22 21:00:00,2026-04-22 21:59:59,50.06,50.15,50.01,50.13,184430,9236441.8
