timestamps,end,open,high,low,close,volume,amount
2026-04-14 00:00:00,2026-04-14 00:59:59.999,607.42,609.36,607.21,607.97,3043.064,1850972.98482
2026-04-14 01:00:00,2026-04-14 01:59:59.999,607.97,616.49,607.89,615.46,16447.962,10091610.75445
2026-04-14 02:00:00,2026-04-14 02:59:59.999,615.46,617.97,614.09,614.71,15142.041,9329211.78259
2026-04-14 03:00:00,2026-04-14 03:59:59.999,614.71,615.9,612.0,612.28,9249.096,5673901.16723
2026-04-14 04:00:00,2026-04-14 04:59:59.999,612.28,614.19,610.86,613.81,4524.697,2771520.86335
2026-04-14 05:00:00,2026-04-14 05:59:59.999,613.81,615.43,612.88,615.2,8158.524,5012610.01993
2026-04-14 06:00:00,2026-04-14 06:59:59.999,615.2,616.14,614.51,616.13,6183.332,3805047.73324
2026-04-14 07:00:00,2026-04-14 07:59:59.999,616.14,616.15,614.58,614.69,3812.896,2346548.75605
2026-04-14 08:00:00,2026-04-14 08:59:59.999,614.69,614.77,611.88,612.81,7309.735,4479268.47073
2026-04-14 09:00:00,2026-04-14 09:59:59.999,612.81,615.19,612.81,614.84,3471.802,2132837.52277
2026-04-14 10:00:00,2026-04-14 10:59:59.999,614.84,615.63,613.33,613.55,5121.003,3146584.85512
2026-04-14 11:00:00,2026-04-14 11:59:59.999,613.54,618.37,613.43,617.5,10494.58,6475511.58484
2026-04-14 12:00:00,2026-04-14 12:59:59.999,617.51,619.15,617.25,617.9,6991.139,4320769.32544
2026-04-14 13:00:00,2026-04-14 13:59:59.999,617.9,619.4,617.25,617.9,5316.745,3287422.96692
2026-04-14 14:00:00,2026-04-14 14:59:59.999,617.89,617.89,615.53,616.41,5329.565,3286197.51101
2026-04-14 15:00:00,2026-04-14 15:59:59.999,616.42,616.65,615.18,615.55,4192.995,2582178.2859
2026-04-14 16:00:00,2026-04-14 16:59:59.999,615.55,622.53,615.49,622.24,13999.04,8667388.85739
2026-04-14 17:00:00,2026-04-14 17:59:59.999,622.24,622.85,618.33,619.11,15149.936,9392593.27796
2026-04-14 18:00:00,2026-04-14 18:59:59.999,619.12,625.38,618.41,623.45,14598.642,9076369.40075
2026-04-14 19:00:00,2026-04-14 19:59:59.999,623.45,625.12,618.07,618.96,10217.808,6359430.01868
2026-04-14 20:00:00,2026-04-14 20:59:59.999,618.96,620.27,615.72,617.04,17577.652,10858677.48625
2026-04-14 21:00:00,2026-04-14 21:59:59.999,617.04,618.42,613.11,613.92,6577.478,4049088.47772
2026-04-14 22:00:00,2026-04-14 22:59:59.999,613.92,615.3,611.94,613.95,3467.487,2128136.14277
2026-04-14 23:00:00,2026-04-14 23:59:59.999,613.95,615.0,613.13,613.69,2009.374,1233857.54747
2026-04-15 00:00:00,2026-04-15 00:59:59.999,613.7,616.2,613.64,615.79,2007.67,1234263.2172
2026-04-15 01:00:00,2026-04-15 01:59:59.999,615.79,617.16,613.98,614.14,3260.834,2006638.01766
2026-04-15 02:00:00,2026-04-15 02:59:59.999,614.15,614.74,613.38,613.75,4360.001,2677389.15466
2026-04-15 03:00:00,2026-04-15 03:59:59.999,613.75,617.06,613.75,616.85,4624.626,2848616.4365
2026-04-15 04:00:00,2026-04-15 04:59:59.999,616.85,620.0,615.96,619.45,5946.496,3677428.90238
2026-04-15 05:00:00,2026-04-15 05:59:59.999,619.45,619.8,615.46,616.05,4619.903,2850985.98688
2026-04-15 06:00:00,2026-04-15 06:59:59.999,616.05,616.58,615.11,616.14,2036.708,1254132.70606
2026-04-15 07:00:00,2026-04-15 07:59:59.999,616.14,617.27,614.27,615.33,2877.529,1770826.00617
2026-04-15 08:00:00,2026-04-15 08:59:59.999,615.34,616.39,613.02,613.42,3296.564,2024721.49497
2026-04-15 09:00:00,2026-04-15 09:59:59.999,613.43,615.15,612.81,614.09,2643.126,1623265.85092
2026-04-15 10:00:00,2026-04-15 10:59:59.999,614.09,614.57,610.71,611.54,7443.81,4560691.69924
2026-04-15 11:00:00,2026-04-15 11:59:59.999,611.55,614.82,610.45,614.41,8063.772,4934091.06697
2026-04-15 12:00:00,2026-04-15 12:59:59.999,614.42,615.82,613.74,615.55,4830.521,2969995.31616
2026-04-15 13:00:00,2026-04-15 13:59:59.999,615.56,618.55,615.49,617.01,6676.293,4119995.07965
2026-04-15 14:00:00,2026-04-15 14:59:59.999,617.02,620.66,617.02,619.7,5806.256,3594229.91305
2026-04-15 15:00:00,2026-04-15 15:59:59.999,619.71,619.71,617.22,618.06,9220.505,5701234.49276
2026-04-15 16:00:00,2026-04-15 16:59:59.999,618.07,619.24,616.58,618.97,4950.7,3058759.87602
2026-04-15 17:00:00,2026-04-15 17:59:59.999,618.98,620.42,616.99,618.49,5082.054,3145538.09606
2026-04-15 18:00:00,2026-04-15 18:59:59.999,618.49,619.77,616.0,619.04,5419.447,3350010.16839
2026-04-15 19:00:00,2026-04-15 19:59:59.999,619.05,621.42,618.57,620.72,5325.247,3302849.52662
2026-04-15 20:00:00,2026-04-15 20:59:59.999,620.72,621.77,619.95,621.44,3549.374,2203950.74083
2026-04-15 21:00:00,2026-04-15 21:59:59.999,621.44,622.94,621.0,622.38,2784.265,1732693.68724
2026-04-15 22:00:00,2026-04-15 22:59:59.999,622.39,627.64,622.26,625.38,5608.231,3506728.93472
2026-04-15 23:00:00,2026-04-15 23:59:59.999,625.38,625.53,622.13,623.5,3473.033,2164543.19879
2026-04-16 00:00:00,2026-04-16 00:59:59.999,623.49,623.8,622.13,623.28,1992.809,1241610.40643
2026-04-16 01:00:00,2026-04-16 01:59:59.999,623.28,626.8,622.85,624.28,5208.464,3253962.99688
2026-04-16 02:00:00,2026-04-16 02:59:59.999,624.28,624.28,621.42,622.59,3463.487,2156568.67061
2026-04-16 03:00:00,2026-04-16 03:59:59.999,622.58,623.25,620.38,623.24,4832.833,3003829.55688
2026-04-16 04:00:00,2026-04-16 04:59:59.999,623.23,623.24,620.84,622.37,2737.218,1702505.83433
2026-04-16 05:00:00,2026-04-16 05:59:59.999,622.38,626.16,622.15,624.2,3759.276,2346463.56769
2026-04-16 06:00:00,2026-04-16 06:59:59.999,624.19,625.69,623.95,624.25,4712.053,2943578.90851
2026-04-16 07:00:00,2026-04-16 07:59:59.999,624.25,625.17,622.31,623.36,3980.913,2483119.13774
2026-04-16 08:00:00,2026-04-16 08:59:59.999,623.35,625.26,622.57,625.09,4383.426,2736210.53896
2026-04-16 09:00:00,2026-04-16 09:59:59.999,625.1,626.08,624.04,624.8,3088.508,1930956.39961
2026-04-16 10:00:00,2026-04-16 10:59:59.999,624.8,625.36,621.86,622.69,4219.481,2630351.00904
2026-04-16 11:00:00,2026-04-16 11:59:59.999,622.69,623.22,621.0,622.51,4380.804,2725091.77818
2026-04-16 12:00:00,2026-04-16 12:59:59.999,622.51,623.95,621.81,622.75,4091.872,2548751.30182
2026-04-16 13:00:00,2026-04-16 13:59:59.999,622.76,623.36,619.16,619.72,6215.787,3858237.85144
2026-04-16 14:00:00,2026-04-16 14:59:59.999,619.72,621.16,618.86,620.95,2804.01,1738600.10786
2026-04-16 15:00:00,2026-04-16 15:59:59.999,620.95,622.04,620.68,621.58,3261.114,2026122.27122
2026-04-16 16:00:00,2026-04-16 16:59:59.999,621.58,623.98,614.89,617.63,10046.41,6223932.5101
2026-04-16 17:00:00,2026-04-16 17:59:59.999,617.62,620.6,615.3,619.35,9094.038,5617230.05819
2026-04-16 18:00:00,2026-04-16 18:59:59.999,619.35,626.38,618.64,624.89,8652.426,5393309.81094
2026-04-16 19:00:00,2026-04-16 19:59:59.999,624.89,627.99,623.94,625.52,8474.081,5305373.58717
2026-04-16 20:00:00,2026-04-16 20:59:59.999,625.52,627.63,623.6,627.44,4448.705,2784710.779
2026-04-16 21:00:00,2026-04-16 21:59:59.999,627.44,637.31,626.48,635.85,14635.829,9246785.3711
2026-04-16 22:00:00,2026-04-16 22:59:59.999,635.85,637.0,633.92,636.55,7244.874,4605583.76061
2026-04-16 23:00:00,2026-04-16 23:59:59.999,636.55,637.4,633.2,634.6,3497.795,2221395.21041
2026-04-17 00:00:00,2026-04-17 00:59:59.999,634.61,635.08,631.71,632.63,3650.829,2312202.18695
2026-04-17 01:00:00,2026-04-17 01:59:59.999,632.63,634.36,631.89,633.41,3047.206,1929517.26624
2026-04-17 02:00:00,2026-04-17 02:59:59.999,633.42,636.65,633.01,635.77,6287.213,3991785.61911
2026-04-17 03:00:00,2026-04-17 03:59:59.999,635.77,636.55,633.03,633.49,3492.362,2217259.09309
2026-04-17 04:00:00,2026-04-17 04:59:59.999,633.5,634.41,629.44,631.28,3987.094,2519004.98561
2026-04-17 05:00:00,2026-04-17 05:59:59.999,631.28,631.82,628.18,629.66,3523.408,2218346.59575
2026-04-17 06:00:00,2026-04-17 06:59:59.999,629.65,631.22,628.99,629.26,4170.86,2627409.56905
2026-04-17 07:00:00,2026-04-17 07:59:59.999,629.26,630.22,628.73,629.52,3363.605,2117457.86662
2026-04-17 08:00:00,2026-04-17 08:59:59.999,629.53,629.83,627.14,627.87,4511.536,2834153.96235
2026-04-17 09:00:00,2026-04-17 09:59:59.999,627.87,629.09,627.59,628.32,5193.469,3262882.94491
2026-04-17 10:00:00,2026-04-17 10:59:59.999,628.33,629.72,626.66,627.21,6590.644,4139328.39429
2026-04-17 11:00:00,2026-04-17 11:59:59.999,627.21,631.34,626.89,631.0,9413.96,5921821.52756
2026-04-17 12:00:00,2026-04-17 12:59:59.999,631.0,635.0,629.57,632.75,10753.904,6791644.66616
2026-04-17 13:00:00,2026-04-17 13:59:59.999,632.76,633.39,628.92,630.52,6519.334,4113522.20862
2026-04-17 14:00:00,2026-04-17 14:59:59.999,630.52,633.97,630.28,632.5,3596.081,2274447.46416
2026-04-17 15:00:00,2026-04-17 15:59:59.999,632.5,636.62,631.76,635.9,6659.145,4222214.61738
2026-04-17 16:00:00,2026-04-17 16:59:59.999,635.91,643.4,635.43,643.04,23864.745,15274284.46355
2026-04-17 17:00:00,2026-04-17 17:59:59.999,643.05,645.67,640.86,643.86,13825.651,8896394.92778
2026-04-17 18:00:00,2026-04-17 18:59:59.999,643.86,643.86,641.0,643.34,6700.124,4304913.82635
2026-04-17 19:00:00,2026-04-17 19:59:59.999,643.33,645.6,643.16,645.6,6226.093,4013778.39067
2026-04-17 20:00:00,2026-04-17 20:59:59.999,645.59,645.6,640.03,641.84,5387.971,3462430.75034
2026-04-17 21:00:00,2026-04-17 21:59:59.999,641.84,642.16,638.83,639.78,5401.195,3456005.85878
2026-04-17 22:00:00,2026-04-17 22:59:59.999,639.78,642.04,638.88,641.36,2413.1,1546193.97949
2026-04-17 23:00:00,2026-04-17 23:59:59.999,641.36,642.25,639.26,640.88,2713.571,1738401.86066
2026-04-18 00:00:00,2026-04-18 00:59:59.999,640.88,642.62,640.86,642.4,3174.435,2037907.30118
2026-04-18 01:00:00,2026-04-18 01:59:59.999,642.39,644.72,641.58,644.04,5754.871,3702911.10582
2026-04-18 02:00:00,2026-04-18 02:59:59.999,644.04,644.77,641.76,643.12,6249.68,4022520.65132
2026-04-18 03:00:00,2026-04-18 03:59:59.999,643.12,645.5,641.64,644.0,3537.586,2277522.84306
2026-04-18 04:00:00,2026-04-18 04:59:59.999,644.0,646.88,643.19,644.98,7491.983,4835783.15754
2026-04-18 05:00:00,2026-04-18 05:59:59.999,644.99,645.95,643.75,644.16,8183.573,5279202.77519
2026-04-18 06:00:00,2026-04-18 06:59:59.999,644.16,644.16,640.06,640.2,9726.175,6244603.14493
2026-04-18 07:00:00,2026-04-18 07:59:59.999,640.21,644.99,640.08,644.33,4435.583,2850490.26389
2026-04-18 08:00:00,2026-04-18 08:59:59.999,644.33,648.79,644.18,645.08,9964.432,6442687.45952
2026-04-18 09:00:00,2026-04-18 09:59:59.999,645.09,645.82,643.21,643.8,5396.04,3477097.64439
2026-04-18 10:00:00,2026-04-18 10:59:59.999,643.81,644.53,642.76,643.35,7287.064,4691161.7652
2026-04-18 11:00:00,2026-04-18 11:59:59.999,643.35,643.55,634.81,637.1,11006.258,7023819.18342
2026-04-18 12:00:00,2026-04-18 12:59:59.999,637.1,637.1,633.58,635.87,4393.796,2791519.14319
2026-04-18 13:00:00,2026-04-18 13:59:59.999,635.87,635.93,632.0,634.01,5010.051,3173701.70559
2026-04-18 14:00:00,2026-04-18 14:59:59.999,634.01,634.63,631.52,633.37,6264.954,3964653.23914
2026-04-18 15:00:00,2026-04-18 15:59:59.999,633.38,634.73,631.61,634.11,4021.582,2547397.64335
2026-04-18 16:00:00,2026-04-18 16:59:59.999,634.1,634.54,631.42,633.57,3152.118,1996252.06245
2026-04-18 17:00:00,2026-04-18 17:59:59.999,633.57,634.51,632.22,634.2,2920.756,1851177.82337
2026-04-18 18:00:00,2026-04-18 18:59:59.999,634.2,635.0,632.44,633.37,3281.589,2079893.06461
2026-04-18 19:00:00,2026-04-18 19:59:59.999,633.37,634.59,631.21,633.34,4794.005,3036852.08556
2026-04-18 20:00:00,2026-04-18 20:59:59.999,633.34,634.12,631.82,633.51,2204.509,1396092.57203
2026-04-18 21:00:00,2026-04-18 21:59:59.999,633.51,634.05,629.09,629.56,5208.461,3286865.99218
2026-04-18 22:00:00,2026-04-18 22:59:59.999,629.57,631.28,628.03,630.39,3117.549,1963074.07293
2026-04-18 23:00:00,2026-04-18 23:59:59.999,630.39,631.55,629.71,630.22,2054.142,1295017.19392
2026-04-19 00:00:00,2026-04-19 00:59:59.999,630.23,631.84,629.7,631.79,1787.644,1127783.0452
2026-04-19 01:00:00,2026-04-19 01:59:59.999,631.79,631.79,629.69,630.89,3065.429,1932347.92135
2026-04-19 02:00:00,2026-04-19 02:59:59.999,630.88,631.66,629.73,629.9,1360.08,857909.07283
2026-04-19 03:00:00,2026-04-19 03:59:59.999,629.9,630.36,628.36,629.31,2345.629,1476293.39246
2026-04-19 04:00:00,2026-04-19 04:59:59.999,629.32,630.43,627.47,628.07,3684.046,2314691.98389
2026-04-19 05:00:00,2026-04-19 05:59:59.999,628.06,628.07,623.55,625.04,6121.484,3827758.42101
2026-04-19 06:00:00,2026-04-19 06:59:59.999,625.03,625.3,621.08,623.26,4225.906,2633925.82016
2026-04-19 07:00:00,2026-04-19 07:59:59.999,623.26,624.72,620.48,622.06,3836.211,2389233.1729
2026-04-19 08:00:00,2026-04-19 08:59:59.999,622.06,623.49,621.84,622.65,3652.345,2274181.50904
2026-04-19 09:00:00,2026-04-19 09:59:59.999,622.65,623.55,619.77,622.81,5173.484,3215062.68704
2026-04-19 10:00:00,2026-04-19 10:59:59.999,622.81,622.82,618.1,620.32,5159.057,3197764.33964
2026-04-19 11:00:00,2026-04-19 11:59:59.999,620.32,621.47,618.0,621.23,4504.501,2792857.10481
2026-04-19 12:00:00,2026-04-19 12:59:59.999,621.23,621.6,619.08,619.89,3477.162,2156869.64514
2026-04-19 13:00:00,2026-04-19 13:59:59.999,619.89,620.86,619.17,620.35,2915.049,1807153.76364
2026-04-19 14:00:00,2026-04-19 14:59:59.999,620.35,623.33,620.16,622.4,3595.78,2236692.05595
2026-04-19 15:00:00,2026-04-19 15:59:59.999,622.4,623.92,622.06,623.23,3311.745,2062569.2252
2026-04-19 16:00:00,2026-04-19 16:59:59.999,623.23,626.23,623.1,625.16,5557.272,3473259.14883
2026-04-19 17:00:00,2026-04-19 17:59:59.999,625.15,628.36,623.68,627.06,3665.167,2294574.05018
2026-04-19 18:00:00,2026-04-19 18:59:59.999,627.07,627.56,623.33,626.07,6146.471,3846188.80272
