timestamps,end,open,high,low,close,volume,amount
2026-04-14 09:00:00,2026-04-14 09:59:20,90.23,90.85,89.91,90.85,74,0
2026-04-14 10:00:00,2026-04-14 10:59:01,90.74,91.01,89.9,90.97,250,0
2026-04-14 11:00:00,2026-04-14 11:59:20,91.04,91.33,90.9,90.9,119,0
2026-04-14 12:00:00,2026-04-14 12:57:01,90.87,91.35,90.54,91.23,127,0
2026-04-14 13:00:00,2026-04-14 13:57:20,91.09,91.26,90.91,91.07,33,0
2026-04-14 14:00:00,2026-04-14 14:59:59,91.2,91.43,90.53,91.05,112,0
2026-04-14 15:00:00,2026-04-14 15:55:21,91.03,91.03,90.04,90.38,94,0
2026-04-14 16:00:00,2026-04-14 16:59:20,90.35,90.47,89.62,89.65,152,0
2026-04-14 17:00:00,2026-04-14 17:59:01,89.63,89.63,88.29,88.9,393,0
2026-04-14 18:00:00,2026-04-14 18:59:59,89.11,89.68,88.68,88.88,173,0
2026-04-14 19:00:00,2026-04-14 19:59:59,89.04,89.05,88.3,88.5,324,0
2026-04-14 20:00:00,2026-04-14 20:59:59,88.5,88.78,88.3,88.7,275,0
2026-04-14 21:00:00,2026-04-14 21:56:21,88.52,88.78,88.2,88.78,93,0
2026-04-14 22:00:00,2026-04-14 22:59:59,88.6,88.95,88.43,88.95,31,0
2026-04-14 23:00:00,2026-04-14 23:46:01,88.97,89.01,88.65,88.65,58,0
2026-04-15 08:00:00,2026-04-15 08:59:59,89.7,89.7,89.7,89.7,1,0
2026-04-15 09:00:00,2026-04-15 09:59:59,88.86,89.25,88.01,88.38,235,0
2026-04-15 10:00:00,2026-04-15 10:59:01,88.41,88.79,88.16,88.56,95,0
2026-04-15 11:00:00,2026-04-15 11:59:59,88.67,89.66,88.48,89.35,146,0
2026-04-15 12:00:00,2026-04-15 12:59:59,89.5,90.08,89.5,89.96,261,0
2026-04-15 13:00:00,2026-04-15 13:55:01,89.97,90.52,89.96,89.97,382,0
2026-04-15 14:00:00,2026-04-15 14:59:59,89.98,90.23,89.39,89.51,380,0
2026-04-15 15:00:00,2026-04-15 15:59:59,89.54,89.75,89.26,89.26,87,0
2026-04-15 16:00:00,2026-04-15 16:59:01,89.26,89.44,88.57,89.05,188,0
2026-04-15 17:00:00,2026-04-15 17:59:01,88.77,89.4,88.4,89.34,162,0
2026-04-15 18:00:00,2026-04-15 18:56:01,89.45,89.88,89.42,89.79,105,0
2026-04-15 19:00:00,2026-04-15 19:51:01,89.84,89.84,89.27,89.46,35,0
2026-04-15 20:00:00,2026-04-15 20:56:01,89.54,89.56,89.16,89.5,75,0
2026-04-15 21:00:00,2026-04-15 21:59:59,89.5,89.5,88.74,89.05,63,0
2026-04-15 22:00:00,2026-04-15 22:56:22,88.73,89.0,88.73,88.91,22,0
2026-04-15 23:00:00,2026-04-15 23:48:21,88.91,88.97,88.86,88.92,53,0
2026-04-16 08:00:00,2026-04-16 08:59:59,89.68,89.68,89.68,89.68,5,0
2026-04-16 09:00:00,2026-04-16 09:55:01,88.84,88.93,88.45,88.93,89,0
2026-04-16 10:00:00,2026-04-16 10:58:01,88.95,89.68,88.95,89.68,88,0
2026-04-16 11:00:00,2026-04-16 11:58:01,89.71,90.09,89.65,89.7,246,0
2026-04-16 12:00:00,2026-04-16 12:55:01,89.6,89.8,89.51,89.8,33,0
2026-04-16 13:00:00,2026-04-16 13:59:59,89.62,89.72,89.4,89.4,39,0
