timestamps,end,open,high,low,close,volume,amount
2026-04-14 08:00:00,2026-04-14 08:59:59,11.32,11.32,11.32,11.32,67,0
2026-04-14 09:00:00,2026-04-14 09:59:59,11.326,11.339,11.305,11.329,129185,0
2026-04-14 10:00:00,2026-04-14 10:59:59,11.328,11.33,11.268,11.287,878075,0
2026-04-14 11:00:00,2026-04-14 11:59:59,11.286,11.287,11.239,11.25,672888,0
2026-04-14 12:00:00,2026-04-14 12:59:59,11.25,11.257,11.229,11.244,698581,0
2026-04-14 13:00:00,2026-04-14 13:59:59,11.243,11.274,11.236,11.272,913625,0
2026-04-14 14:00:00,2026-04-14 14:59:59,11.272,11.293,11.265,11.274,1230634,0
2026-04-14 15:00:00,2026-04-14 15:59:59,11.272,11.278,11.25,11.268,981174,0
2026-04-14 16:00:00,2026-04-14 16:59:59,11.268,11.274,11.242,11.243,568462,0
2026-04-14 17:00:00,2026-04-14 17:59:59,11.242,11.26,11.21,11.223,988698,0
2026-04-14 18:00:00,2026-04-14 18:59:59,11.223,11.229,11.203,11.21,590541,0
2026-04-14 19:00:00,2026-04-14 19:59:59,11.21,11.225,11.21,11.223,211108,0
2026-04-14 20:00:00,2026-04-14 20:59:59,11.223,11.224,11.205,11.205,148229,0
2026-04-14 21:00:00,2026-04-14 21:59:59,11.205,11.219,11.204,11.212,37877,0
2026-04-14 22:00:00,2026-04-14 22:59:59,11.211,11.213,11.201,11.207,111856,0
2026-04-14 23:00:00,2026-04-14 23:59:41,11.208,11.213,11.19,11.194,59469,0
2026-04-15 08:00:00,2026-04-15 08:59:59,11.19,11.19,11.19,11.19,85,0
2026-04-15 09:00:00,2026-04-15 09:59:59,11.191,11.209,11.161,11.193,283697,0
2026-04-15 10:00:00,2026-04-15 10:59:59,11.193,11.203,11.15,11.164,1486906,0
2026-04-15 11:00:00,2026-04-15 11:59:59,11.164,11.206,11.15,11.199,1322404,0
2026-04-15 12:00:00,2026-04-15 12:59:59,11.199,11.202,11.157,11.168,457069,0
2026-04-15 13:00:00,2026-04-15 13:59:59,11.166,11.268,11.164,11.261,1855054,0
2026-04-15 14:00:00,2026-04-15 14:59:59,11.262,11.338,11.261,11.297,1683203,0
2026-04-15 15:00:00,2026-04-15 15:59:59,11.296,11.32,11.28,11.315,689723,0
2026-04-15 16:00:00,2026-04-15 16:59:59,11.314,11.335,11.27,11.273,1759958,0
2026-04-15 17:00:00,2026-04-15 17:59:59,11.273,11.278,11.244,11.26,761850,0
2026-04-15 18:00:00,2026-04-15 18:59:59,11.259,11.296,11.249,11.271,389552,0
2026-04-15 19:00:00,2026-04-15 19:59:59,11.271,11.297,11.262,11.269,88817,0
2026-04-15 20:00:00,2026-04-15 20:59:59,11.271,11.273,11.264,11.266,28110,0
2026-04-15 21:00:00,2026-04-15 21:59:59,11.266,11.274,11.263,11.274,23195,0
2026-04-15 22:00:00,2026-04-15 22:59:59,11.274,11.275,11.267,11.273,26453,0
2026-04-15 23:00:00,2026-04-15 23:59:41,11.272,11.275,11.264,11.268,34907,0
2026-04-16 08:00:00,2026-04-16 08:59:59,11.275,11.275,11.275,11.275,221,0
2026-04-16 09:00:00,2026-04-16 09:59:59,11.275,11.326,11.26,11.276,311065,0
2026-04-16 10:00:00,2026-04-16 10:59:59,11.277,11.417,11.228,11.372,3175787,0
2026-04-16 11:00:00,2026-04-16 11:59:59,11.372,11.428,11.346,11.393,1892558,0
2026-04-16 12:00:00,2026-04-16 12:59:59,11.394,11.423,11.35,11.373,1716115,0
2026-04-16 13:00:00,2026-04-16 13:59:59,11.371,11.379,11.33,11.353,827373,0
2026-04-16 14:00:00,2026-04-16 14:59:59,11.354,11.368,11.339,11.361,635698,0
2026-04-16 15:00:00,2026-04-16 15:59:59,11.362,11.406,11.35,11.392,792674,0
2026-04-16 16:00:00,2026-04-16 16:59:59,11.392,11.395,11.346,11.358,727055,0
2026-04-16 17:00:00,2026-04-16 17:59:59,11.358,11.369,11.334,11.354,958856,0
2026-04-16 18:00:00,2026-04-16 18:59:59,11.354,11.358,11.306,11.32,484055,0
2026-04-16 19:00:00,2026-04-16 19:59:59,11.319,11.33,11.311,11.322,62414,0
2026-04-16 20:00:00,2026-04-16 20:59:59,11.322,11.325,11.303,11.307,67810,0
2026-04-16 21:00:00,2026-04-16 21:59:59,11.308,11.308,11.282,11.292,135126,0
2026-04-16 22:00:00,2026-04-16 22:59:59,11.293,11.323,11.291,11.321,70286,0
2026-04-16 23:00:00,2026-04-16 23:59:41,11.321,11.337,11.318,11.33,48258,0
2026-04-17 08:00:00,2026-04-17 08:59:59,11.329,11.329,11.329,11.329,208,0
2026-04-17 09:00:00,2026-04-17 09:59:59,11.325,11.357,11.311,11.322,241508,0
2026-04-17 10:00:00,2026-04-17 10:59:59,11.323,11.348,11.301,11.333,813423,0
2026-04-17 11:00:00,2026-04-17 11:59:59,11.332,11.381,11.332,11.335,783482,0
2026-04-17 12:00:00,2026-04-17 12:59:59,11.335,11.343,11.295,11.322,1441799,0
2026-04-17 13:00:00,2026-04-17 13:59:59,11.321,11.333,11.302,11.31,554371,0
2026-04-17 14:00:00,2026-04-17 14:59:59,11.31,11.33,11.304,11.31,212006,0
2026-04-17 15:00:00,2026-04-17 15:59:59,11.31,11.322,11.266,11.298,895715,0
2026-04-17 16:00:00,2026-04-17 16:59:59,11.297,11.311,11.281,11.284,719155,0
2026-04-17 17:00:00,2026-04-17 17:59:59,11.286,11.322,11.26,11.285,580446,0
2026-04-17 18:00:00,2026-04-17 18:59:59,11.285,11.3,11.281,11.288,189670,0
2026-04-17 19:00:00,2026-04-17 19:59:59,11.287,11.298,11.282,11.29,32230,0
2026-04-17 20:00:00,2026-04-17 20:59:59,11.289,11.294,11.281,11.291,27789,0
2026-04-17 21:00:00,2026-04-17 21:59:59,11.291,11.303,11.29,11.297,38117,0
2026-04-17 22:00:00,2026-04-17 22:59:59,11.297,11.308,11.29,11.298,33477,0
2026-04-17 23:00:00,2026-04-17 23:59:41,11.298,11.308,11.29,11.301,103233,0
2026-04-20 08:00:00,2026-04-20 08:59:59,11.282,11.282,11.282,11.282,510,0
2026-04-20 09:00:00,2026-04-20 09:59:59,11.283,11.293,11.212,11.23,389731,0
2026-04-20 10:00:00,2026-04-20 10:59:59,11.231,11.277,11.219,11.226,821671,0
2026-04-20 11:00:00,2026-04-20 11:59:59,11.226,11.234,11.184,11.198,1034767,0
2026-04-20 12:00:00,2026-04-20 12:59:59,11.198,11.22,11.169,11.19,776171,0
2026-04-20 13:00:00,2026-04-20 13:59:59,11.19,11.215,11.182,11.203,739074,0
2026-04-20 14:00:00,2026-04-20 14:59:59,11.203,11.229,11.2,11.221,260833,0
2026-04-20 15:00:00,2026-04-20 15:59:59,11.221,11.226,11.204,11.205,192382,0
2026-04-20 16:00:00,2026-04-20 16:59:59,11.205,11.205,11.181,11.183,345847,0
2026-04-20 17:00:00,2026-04-20 17:59:59,11.184,11.202,11.171,11.189,765436,0
2026-04-20 18:00:00,2026-04-20 18:59:59,11.19,11.2,11.177,11.186,265321,0
2026-04-20 19:00:00,2026-04-20 19:59:59,11.185,11.19,11.172,11.175,62493,0
2026-04-20 20:00:00,2026-04-20 20:59:59,11.177,11.177,11.136,11.143,373848,0
2026-04-20 21:00:00,2026-04-20 21:59:59,11.142,11.156,11.14,11.149,83521,0
2026-04-20 22:00:00,2026-04-20 22:59:59,11.149,11.155,11.148,11.153,23206,0
2026-04-20 23:00:00,2026-04-20 23:59:41,11.152,11.156,11.148,11.155,22699,0
2026-04-21 08:00:00,2026-04-21 08:59:59,11.16,11.16,11.16,11.16,377,0
2026-04-21 09:00:00,2026-04-21 09:59:59,11.156,11.168,11.124,11.127,461238,0
2026-04-21 10:00:00,2026-04-21 10:59:59,11.128,11.146,11.093,11.097,1237395,0
2026-04-21 11:00:00,2026-04-21 11:59:59,11.097,11.105,11.063,11.083,951055,0
2026-04-21 12:00:00,2026-04-21 12:59:59,11.084,11.111,11.067,11.097,896708,0
2026-04-21 13:00:00,2026-04-21 13:59:59,11.098,11.188,11.097,11.141,1639011,0
