timestamps,end,open,high,low,close,volume,amount
2026-04-14 00:00:00,2026-04-14 00:59:59.999,2252.49,2266.66,2249.62,2260.07,8155.7034,18415867.677915
2026-04-14 01:00:00,2026-04-14 01:59:59.999,2260.07,2363.94,2259.81,2352.74,95874.8042,222961804.801229
2026-04-14 02:00:00,2026-04-14 02:59:59.999,2352.74,2394.71,2341.53,2369.46,86324.9515,204744247.548331
2026-04-14 03:00:00,2026-04-14 03:59:59.999,2369.46,2375.9,2359.55,2361.0,27078.1045,64109094.094589
2026-04-14 04:00:00,2026-04-14 04:59:59.999,2361.01,2373.42,2354.6,2368.7,21849.8271,51651285.541023
2026-04-14 05:00:00,2026-04-14 05:59:59.999,2368.7,2378.06,2366.22,2367.62,14924.9864,35391146.782414
2026-04-14 06:00:00,2026-04-14 06:59:59.999,2367.62,2370.53,2361.55,2365.5,10579.9345,25039982.866897
2026-04-14 07:00:00,2026-04-14 07:59:59.999,2365.5,2368.38,2361.81,2364.33,7975.3935,18863000.790141
2026-04-14 08:00:00,2026-04-14 08:59:59.999,2364.34,2369.55,2354.76,2355.49,15577.023,36792197.022971
2026-04-14 09:00:00,2026-04-14 09:59:59.999,2355.49,2376.68,2355.49,2373.08,13857.3449,32795717.278682
2026-04-14 10:00:00,2026-04-14 10:59:59.999,2373.08,2389.99,2370.59,2377.91,26446.3596,62883844.746673
2026-04-14 11:00:00,2026-04-14 11:59:59.999,2377.92,2396.03,2374.04,2387.61,24928.2101,59471018.743958
2026-04-14 12:00:00,2026-04-14 12:59:59.999,2387.62,2394.73,2382.82,2387.14,13416.5833,32053933.818016
2026-04-14 13:00:00,2026-04-14 13:59:59.999,2387.14,2387.85,2373.0,2375.08,13047.6141,31064069.304314
2026-04-14 14:00:00,2026-04-14 14:59:59.999,2375.08,2377.91,2367.61,2374.53,14778.9188,35083010.048833
2026-04-14 15:00:00,2026-04-14 15:59:59.999,2374.54,2377.74,2368.56,2373.94,12278.3595,29134449.377638
2026-04-14 16:00:00,2026-04-14 16:59:59.999,2373.95,2395.97,2372.67,2391.5,37056.2013,88452670.382155
2026-04-14 17:00:00,2026-04-14 17:59:59.999,2391.51,2415.5,2352.59,2353.05,64481.5343,153668866.584445
2026-04-14 18:00:00,2026-04-14 18:59:59.999,2353.05,2372.12,2332.72,2364.63,41191.3033,96837722.489628
2026-04-14 19:00:00,2026-04-14 19:59:59.999,2364.62,2371.48,2329.56,2334.0,20715.8534,48728319.267683
2026-04-14 20:00:00,2026-04-14 20:59:59.999,2334.0,2345.49,2323.66,2338.37,14195.9839,33125853.934055
2026-04-14 21:00:00,2026-04-14 21:59:59.999,2338.37,2344.69,2309.28,2313.89,22655.0283,52740722.315229
2026-04-14 22:00:00,2026-04-14 22:59:59.999,2313.89,2322.73,2302.9,2313.32,15604.0232,36095449.866121
2026-04-14 23:00:00,2026-04-14 23:59:59.999,2313.32,2322.73,2308.53,2315.1,6539.0735,15139638.77214
2026-04-15 00:00:00,2026-04-15 00:59:59.999,2315.1,2326.21,2314.87,2323.72,6233.4385,14462194.586895
2026-04-15 01:00:00,2026-04-15 01:59:59.999,2323.72,2332.35,2311.75,2314.99,9731.0497,22588958.395708
2026-04-15 02:00:00,2026-04-15 02:59:59.999,2314.99,2326.65,2314.32,2322.44,4965.2354,11526502.063914
2026-04-15 03:00:00,2026-04-15 03:59:59.999,2322.44,2342.76,2321.63,2333.81,10921.3059,25503361.745188
2026-04-15 04:00:00,2026-04-15 04:59:59.999,2333.8,2342.6,2331.18,2335.66,7454.8421,17417183.524069
2026-04-15 05:00:00,2026-04-15 05:59:59.999,2335.66,2338.02,2317.56,2324.77,6851.7801,15935320.5362
2026-04-15 06:00:00,2026-04-15 06:59:59.999,2324.78,2329.39,2320.57,2328.81,3673.6185,8540244.122535
2026-04-15 07:00:00,2026-04-15 07:59:59.999,2328.82,2334.7,2328.0,2333.44,4920.3218,11471935.402063
2026-04-15 08:00:00,2026-04-15 08:59:59.999,2333.43,2338.23,2314.0,2319.45,8570.8757,19922079.086856
2026-04-15 09:00:00,2026-04-15 09:59:59.999,2319.44,2321.02,2314.99,2317.37,6070.7059,14069965.274485
2026-04-15 10:00:00,2026-04-15 10:59:59.999,2317.37,2323.53,2308.5,2316.62,11943.6405,27640877.922602
2026-04-15 11:00:00,2026-04-15 11:59:59.999,2316.62,2333.0,2314.07,2327.4,16606.8901,38588897.771445
2026-04-15 12:00:00,2026-04-15 12:59:59.999,2327.4,2329.62,2318.47,2319.95,4819.8486,11193772.245491
2026-04-15 13:00:00,2026-04-15 13:59:59.999,2319.95,2328.52,2312.15,2316.64,7926.8066,18385736.234985
2026-04-15 14:00:00,2026-04-15 14:59:59.999,2316.65,2339.42,2316.65,2337.43,10421.2382,24287226.724252
2026-04-15 15:00:00,2026-04-15 15:59:59.999,2337.42,2340.0,2329.66,2332.98,8755.6666,20448519.807918
2026-04-15 16:00:00,2026-04-15 16:59:59.999,2332.97,2334.76,2317.54,2326.94,11829.0249,27514766.18186
2026-04-15 17:00:00,2026-04-15 17:59:59.999,2326.93,2344.88,2321.94,2338.4,16587.6534,38731440.500857
2026-04-15 18:00:00,2026-04-15 18:59:59.999,2338.41,2349.46,2320.77,2332.04,18184.4927,42447863.383553
2026-04-15 19:00:00,2026-04-15 19:59:59.999,2332.03,2349.87,2329.1,2341.48,11622.9701,27208925.738366
2026-04-15 20:00:00,2026-04-15 20:59:59.999,2341.48,2358.82,2339.65,2348.66,16815.8182,39483567.794414
2026-04-15 21:00:00,2026-04-15 21:59:59.999,2348.66,2359.96,2346.34,2358.66,10732.0648,25256240.87367
2026-04-15 22:00:00,2026-04-15 22:59:59.999,2358.66,2385.61,2357.37,2375.05,20867.7512,49491510.3714
2026-04-15 23:00:00,2026-04-15 23:59:59.999,2375.05,2376.31,2353.72,2362.95,11389.336,26907284.206365
2026-04-16 00:00:00,2026-04-16 00:59:59.999,2362.95,2363.5,2348.58,2361.3,9619.6481,22661663.745641
2026-04-16 01:00:00,2026-04-16 01:59:59.999,2361.29,2380.45,2360.33,2363.45,17952.2343,42570202.147304
2026-04-16 02:00:00,2026-04-16 02:59:59.999,2363.46,2363.46,2349.6,2359.95,13652.1034,32162759.13757
2026-04-16 03:00:00,2026-04-16 03:59:59.999,2359.94,2363.54,2349.93,2360.58,5089.6025,11996522.09654
2026-04-16 04:00:00,2026-04-16 04:59:59.999,2360.58,2360.58,2345.04,2352.06,5778.7342,13589187.745374
2026-04-16 05:00:00,2026-04-16 05:59:59.999,2352.06,2369.59,2350.01,2356.68,8626.0775,20359265.352082
2026-04-16 06:00:00,2026-04-16 06:59:59.999,2356.67,2365.88,2355.91,2357.86,4878.3062,11515256.030378
2026-04-16 07:00:00,2026-04-16 07:59:59.999,2357.85,2364.0,2348.38,2354.13,6478.9831,15269312.224765
2026-04-16 08:00:00,2026-04-16 08:59:59.999,2354.14,2361.79,2349.59,2356.86,7640.4611,18003332.240166
2026-04-16 09:00:00,2026-04-16 09:59:59.999,2356.86,2360.57,2349.77,2356.01,6083.5709,14327334.999857
2026-04-16 10:00:00,2026-04-16 10:59:59.999,2356.02,2357.56,2335.72,2341.52,12827.0905,30106191.341259
2026-04-16 11:00:00,2026-04-16 11:59:59.999,2341.52,2345.98,2334.65,2339.11,9100.1126,21291703.866196
2026-04-16 12:00:00,2026-04-16 12:59:59.999,2339.12,2348.4,2337.79,2338.09,10880.1782,25485797.275973
2026-04-16 13:00:00,2026-04-16 13:59:59.999,2338.09,2340.21,2328.64,2332.42,12442.8726,29031038.152864
2026-04-16 14:00:00,2026-04-16 14:59:59.999,2332.42,2336.26,2329.8,2335.67,6294.7818,14685427.173958
2026-04-16 15:00:00,2026-04-16 15:59:59.999,2335.68,2349.45,2334.99,2340.44,8984.2195,21032296.934124
2026-04-16 16:00:00,2026-04-16 16:59:59.999,2340.44,2351.8,2290.57,2308.29,42907.1349,99616265.238943
2026-04-16 17:00:00,2026-04-16 17:59:59.999,2308.28,2316.34,2285.1,2309.97,39904.1263,91835585.233339
2026-04-16 18:00:00,2026-04-16 18:59:59.999,2309.96,2349.84,2308.5,2339.01,30320.2111,70656392.316309
2026-04-16 19:00:00,2026-04-16 19:59:59.999,2339.01,2348.69,2309.96,2316.76,22375.2714,52134171.952769
2026-04-16 20:00:00,2026-04-16 20:59:59.999,2316.77,2329.48,2310.0,2325.79,11322.7343,26279100.351028
2026-04-16 21:00:00,2026-04-16 21:59:59.999,2325.8,2346.66,2320.4,2343.1,19719.0157,46025175.998975
2026-04-16 22:00:00,2026-04-16 22:59:59.999,2343.11,2361.96,2334.66,2359.7,19102.8217,44875082.924338
2026-04-16 23:00:00,2026-04-16 23:59:59.999,2359.69,2364.68,2341.51,2350.23,17899.2598,42146433.330919
2026-04-17 00:00:00,2026-04-17 00:59:59.999,2350.23,2356.53,2336.25,2341.17,7555.301,17713506.448966
2026-04-17 01:00:00,2026-04-17 01:59:59.999,2341.18,2350.56,2339.3,2342.6,7404.2463,17354544.974292
2026-04-17 02:00:00,2026-04-17 02:59:59.999,2342.59,2355.0,2341.61,2348.17,5345.8245,12553801.689849
2026-04-17 03:00:00,2026-04-17 03:59:59.999,2348.16,2350.9,2341.0,2344.4,5096.9585,11953487.369844
2026-04-17 04:00:00,2026-04-17 04:59:59.999,2344.39,2349.0,2327.34,2335.38,9065.6351,21170250.703983
2026-04-17 05:00:00,2026-04-17 05:59:59.999,2335.37,2338.74,2324.93,2331.75,3963.8143,9236282.119846
2026-04-17 06:00:00,2026-04-17 06:59:59.999,2331.75,2331.77,2323.83,2325.52,3875.5735,9023962.547491
2026-04-17 07:00:00,2026-04-17 07:59:59.999,2325.53,2333.73,2324.21,2328.96,3921.1627,9133741.907664
2026-04-17 08:00:00,2026-04-17 08:59:59.999,2328.96,2329.36,2317.43,2319.29,10909.5799,25326812.17035
2026-04-17 09:00:00,2026-04-17 09:59:59.999,2319.29,2332.4,2317.49,2331.09,8766.8731,20386897.958258
2026-04-17 10:00:00,2026-04-17 10:59:59.999,2331.1,2342.02,2330.09,2334.16,7881.1481,18411780.455274
2026-04-17 11:00:00,2026-04-17 11:59:59.999,2334.15,2359.27,2332.98,2354.87,14930.4864,35041306.959305
2026-04-17 12:00:00,2026-04-17 12:59:59.999,2354.87,2377.0,2348.28,2359.1,22969.8945,54201868.773421
2026-04-17 13:00:00,2026-04-17 13:59:59.999,2359.1,2361.1,2336.45,2344.01,18019.5018,42295827.392405
2026-04-17 14:00:00,2026-04-17 14:59:59.999,2344.01,2356.96,2343.08,2354.99,9954.5648,23409265.294075
2026-04-17 15:00:00,2026-04-17 15:59:59.999,2355.0,2382.66,2349.4,2371.97,25552.7435,60476557.276611
2026-04-17 16:00:00,2026-04-17 16:59:59.999,2371.97,2440.45,2366.8,2437.05,108132.4591,260700536.074629
2026-04-17 17:00:00,2026-04-17 17:59:59.999,2437.05,2456.93,2426.31,2447.25,58878.8986,143762981.531626
2026-04-17 18:00:00,2026-04-17 18:59:59.999,2447.25,2449.99,2433.16,2441.96,28271.7852,69052797.950372
2026-04-17 19:00:00,2026-04-17 19:59:59.999,2441.96,2464.91,2441.49,2451.3,25909.3116,63563713.324938
2026-04-17 20:00:00,2026-04-17 20:59:59.999,2451.31,2452.5,2422.08,2440.42,21460.1278,52271730.905824
2026-04-17 21:00:00,2026-04-17 21:59:59.999,2440.42,2442.68,2415.41,2419.99,18100.8743,43881412.297512
2026-04-17 22:00:00,2026-04-17 22:59:59.999,2420.0,2432.92,2417.17,2427.92,11328.0538,27491041.297947
2026-04-17 23:00:00,2026-04-17 23:59:59.999,2427.92,2435.29,2417.01,2426.78,7432.0733,18032337.249803
2026-04-18 00:00:00,2026-04-18 00:59:59.999,2426.76,2433.48,2418.71,2429.49,10249.1991,24879012.884209
2026-04-18 01:00:00,2026-04-18 01:59:59.999,2429.49,2444.34,2422.78,2433.52,41952.2647,102169492.906217
2026-04-18 02:00:00,2026-04-18 02:59:59.999,2433.52,2433.52,2415.47,2419.0,15108.3778,36594295.254502
2026-04-18 03:00:00,2026-04-18 03:59:59.999,2419.0,2423.58,2410.06,2420.99,9442.6515,22829198.217971
2026-04-18 04:00:00,2026-04-18 04:59:59.999,2420.99,2427.64,2416.8,2420.99,6314.6879,15294184.357122
2026-04-18 05:00:00,2026-04-18 05:59:59.999,2421.0,2424.85,2416.83,2419.2,5207.8575,12608725.592383
2026-04-18 06:00:00,2026-04-18 06:59:59.999,2419.21,2419.83,2399.54,2405.04,8107.5633,19532863.385808
2026-04-18 07:00:00,2026-04-18 07:59:59.999,2405.03,2410.48,2399.52,2407.48,4894.9602,11774388.478479
2026-04-18 08:00:00,2026-04-18 08:59:59.999,2407.48,2413.54,2405.83,2408.95,2586.2278,6231103.206184
2026-04-18 09:00:00,2026-04-18 09:59:59.999,2408.94,2411.87,2405.52,2410.0,2945.3983,7097579.388691
2026-04-18 10:00:00,2026-04-18 10:59:59.999,2410.0,2411.12,2401.67,2403.71,4515.4091,10863343.22778
2026-04-18 11:00:00,2026-04-18 11:59:59.999,2403.71,2404.85,2367.39,2380.57,25832.0067,61576296.217553
2026-04-18 12:00:00,2026-04-18 12:59:59.999,2380.57,2380.93,2369.75,2376.04,9571.8861,22741060.141723
2026-04-18 13:00:00,2026-04-18 13:59:59.999,2376.03,2376.03,2353.88,2359.34,18142.5656,42837095.42401
2026-04-18 14:00:00,2026-04-18 14:59:59.999,2359.34,2360.47,2343.44,2352.96,14433.3994,33953637.709624
2026-04-18 15:00:00,2026-04-18 15:59:59.999,2352.96,2362.5,2351.15,2357.93,8121.2724,19144570.573524
2026-04-18 16:00:00,2026-04-18 16:59:59.999,2357.92,2360.07,2345.25,2355.13,9779.7365,23006579.157
2026-04-18 17:00:00,2026-04-18 17:59:59.999,2355.13,2366.0,2349.72,2365.23,26117.5187,61587697.204067
2026-04-18 18:00:00,2026-04-18 18:59:59.999,2365.23,2369.66,2359.11,2363.64,13336.9852,31513398.057889
2026-04-18 19:00:00,2026-04-18 19:59:59.999,2363.64,2375.14,2357.57,2360.87,12285.7588,29025019.631739
2026-04-18 20:00:00,2026-04-18 20:59:59.999,2360.86,2364.87,2355.0,2361.46,10741.1145,25342142.154506
2026-04-18 21:00:00,2026-04-18 21:59:59.999,2361.47,2363.64,2339.92,2347.44,11078.9477,26051853.578112
2026-04-18 22:00:00,2026-04-18 22:59:59.999,2347.45,2356.02,2346.49,2348.59,5076.6851,11934682.4409
