timestamps,end,open,high,low,close,volume,amount
2026-04-14 08:00:00,2026-04-14 08:59:59,4803.6,4803.6,4803.6,4803.6,41,0
2026-04-14 09:00:00,2026-04-14 09:59:59,4804.0,4824.0,4803.1,4823.2,8514,0
2026-04-14 10:00:00,2026-04-14 10:59:59,4823.1,4837.0,4809.0,4817.6,18536,0
2026-04-14 11:00:00,2026-04-14 11:59:59,4817.4,4825.0,4815.0,4824.0,9354,0
2026-04-14 12:00:00,2026-04-14 12:59:59,4824.3,4828.1,4815.0,4819.2,10214,0
2026-04-14 13:00:00,2026-04-14 13:59:59,4819.7,4827.1,4795.8,4809.4,16439,0
2026-04-14 14:00:00,2026-04-14 14:59:59,4809.5,4822.7,4808.2,4815.9,9751,0
2026-04-14 15:00:00,2026-04-14 15:59:59,4816.3,4819.5,4804.4,4813.7,6141,0
2026-04-14 16:00:00,2026-04-14 16:59:59,4814.0,4838.7,4814.0,4830.8,20282,0
2026-04-14 17:00:00,2026-04-14 17:59:59,4830.9,4850.8,4827.3,4842.3,23116,0
2026-04-14 18:00:00,2026-04-14 18:59:59,4842.3,4851.0,4830.0,4843.0,10303,0
2026-04-14 19:00:00,2026-04-14 19:59:59,4843.0,4857.7,4841.9,4846.2,9560,0
2026-04-14 20:00:00,2026-04-14 20:59:59,4846.4,4876.3,4846.4,4870.6,11608,0
2026-04-14 21:00:00,2026-04-14 21:59:59,4871.0,4877.9,4864.2,4869.0,5467,0
2026-04-14 22:00:00,2026-04-14 22:59:59,4869.0,4877.8,4868.9,4877.7,3451,0
2026-04-14 23:00:00,2026-04-14 23:59:41,4877.2,4880.0,4870.3,4880.0,4792,0
2026-04-15 08:00:00,2026-04-15 08:59:59,4861.9,4861.9,4861.9,4861.9,19,0
2026-04-15 09:00:00,2026-04-15 09:59:59,4861.0,4861.0,4846.8,4849.2,9051,0
2026-04-15 10:00:00,2026-04-15 10:59:59,4849.1,4852.5,4841.5,4845.4,7135,0
2026-04-15 11:00:00,2026-04-15 11:59:59,4845.0,4851.0,4838.2,4848.6,8922,0
2026-04-15 12:00:00,2026-04-15 12:59:59,4848.5,4848.9,4816.8,4826.4,17093,0
2026-04-15 13:00:00,2026-04-15 13:59:59,4826.4,4830.6,4817.2,4823.9,9588,0
2026-04-15 14:00:00,2026-04-15 14:59:59,4823.8,4836.5,4819.2,4835.0,13378,0
2026-04-15 15:00:00,2026-04-15 15:59:59,4834.3,4838.0,4828.8,4832.3,6044,0
2026-04-15 16:00:00,2026-04-15 16:59:59,4832.5,4849.8,4829.4,4849.1,7974,0
2026-04-15 17:00:00,2026-04-15 17:59:59,4848.9,4853.1,4835.2,4836.9,9253,0
2026-04-15 18:00:00,2026-04-15 18:59:59,4836.9,4837.5,4811.1,4824.8,12586,0
2026-04-15 19:00:00,2026-04-15 19:59:59,4824.4,4835.0,4823.8,4827.7,4979,0
2026-04-15 20:00:00,2026-04-15 20:59:59,4827.6,4832.5,4816.1,4817.1,4861,0
2026-04-15 21:00:00,2026-04-15 21:59:59,4817.2,4825.0,4815.8,4822.8,4947,0
2026-04-15 22:00:00,2026-04-15 22:59:59,4822.8,4826.4,4819.0,4819.7,1819,0
2026-04-15 23:00:00,2026-04-15 23:59:41,4820.2,4821.2,4806.2,4809.4,3125,0
2026-04-16 08:00:00,2026-04-16 08:59:59,4841.8,4841.8,4841.8,4841.8,232,0
2026-04-16 09:00:00,2026-04-16 09:59:59,4841.8,4848.0,4832.0,4842.1,9284,0
2026-04-16 10:00:00,2026-04-16 10:59:59,4842.8,4849.8,4833.8,4835.9,11199,0
2026-04-16 11:00:00,2026-04-16 11:59:59,4836.2,4836.2,4822.0,4829.4,7846,0
2026-04-16 12:00:00,2026-04-16 12:59:59,4828.9,4834.6,4822.1,4825.9,8418,0
2026-04-16 13:00:00,2026-04-16 13:59:59,4825.9,4828.6,4816.8,4828.5,8778,0
2026-04-16 14:00:00,2026-04-16 14:59:59,4828.5,4837.4,4827.2,4836.1,7156,0
2026-04-16 15:00:00,2026-04-16 15:59:59,4836.1,4836.3,4825.6,4829.5,6865,0
2026-04-16 16:00:00,2026-04-16 16:59:59,4830.2,4837.0,4803.4,4814.7,12136,0
2026-04-16 17:00:00,2026-04-16 17:59:59,4814.0,4822.9,4790.9,4808.0,17719,0
2026-04-16 18:00:00,2026-04-16 18:59:59,4807.1,4827.7,4806.8,4822.9,11621,0
2026-04-16 19:00:00,2026-04-16 19:59:59,4823.5,4825.7,4803.5,4810.0,6321,0
2026-04-16 20:00:00,2026-04-16 20:59:59,4810.0,4814.5,4800.5,4801.3,7078,0
2026-04-16 21:00:00,2026-04-16 21:59:59,4801.3,4808.8,4800.4,4805.0,6544,0
2026-04-16 22:00:00,2026-04-16 22:59:59,4805.0,4812.0,4804.9,4807.5,2985,0
2026-04-16 23:00:00,2026-04-16 23:59:41,4807.5,4809.3,4803.7,4809.0,2759,0
2026-04-17 08:00:00,2026-04-17 08:59:59,4816.8,4816.8,4816.8,4816.8,31,0
2026-04-17 09:00:00,2026-04-17 09:59:59,4816.8,4816.8,4803.5,4807.1,8507,0
2026-04-17 10:00:00,2026-04-17 10:59:59,4807.1,4812.0,4796.2,4801.5,8704,0
2026-04-17 11:00:00,2026-04-17 11:59:59,4801.5,4814.7,4800.0,4814.5,5343,0
2026-04-17 12:00:00,2026-04-17 12:59:59,4814.2,4820.6,4811.0,4812.7,7749,0
2026-04-17 13:00:00,2026-04-17 13:59:59,4812.5,4817.3,4805.0,4812.9,6852,0
2026-04-17 14:00:00,2026-04-17 14:59:59,4812.7,4832.8,4808.2,4821.7,6605,0
2026-04-17 15:00:00,2026-04-17 15:59:59,4821.7,4880.0,4820.3,4879.4,38907,0
2026-04-17 16:00:00,2026-04-17 16:59:59,4879.8,4922.3,4870.1,4906.7,66367,0
2026-04-17 17:00:00,2026-04-17 17:59:59,4906.8,4912.0,4888.3,4902.2,19543,0
2026-04-17 18:00:00,2026-04-17 18:59:59,4902.3,4908.8,4883.9,4890.6,15370,0
2026-04-17 19:00:00,2026-04-17 19:59:59,4891.0,4896.7,4888.0,4890.5,5436,0
2026-04-17 20:00:00,2026-04-17 20:59:59,4890.6,4893.3,4877.3,4888.3,5555,0
