timestamps,end,open,high,low,close,volume,amount
2026-04-14 06:00:00,2026-04-14 06:59:59,2840.0,2840.0,2840.0,2840.0,7,19880.0
2026-04-14 07:00:00,2026-04-14 07:59:59,2844.5,2852.0,2835.5,2842.0,6420,18263836.0
2026-04-14 08:00:00,2026-04-14 08:59:59,2843.5,2866.0,2840.5,2852.5,11233,32064843.0
2026-04-14 09:00:00,2026-04-14 09:59:59,2852.5,2852.5,2837.0,2846.5,5690,16175224.5
2026-04-14 10:00:00,2026-04-14 10:59:59,2847.5,2851.5,2836.5,2838.5,13073,37151626.5
2026-04-14 11:00:00,2026-04-14 11:59:59,2839.5,2870.0,2821.5,2826.0,42996,121904710.5
2026-04-14 12:00:00,2026-04-14 12:59:59,2826.0,2832.5,2820.5,2827.0,26437,74728675.0
2026-04-14 13:00:00,2026-04-14 13:59:59,2826.5,2848.0,2822.5,2837.5,37256,105558099.5
2026-04-14 14:00:00,2026-04-14 14:59:59,2837.5,2845.5,2825.0,2832.5,31155,88325529.5
2026-04-14 15:00:00,2026-04-14 15:59:59,2832.5,2835.0,2821.0,2824.0,18792,53098215.5
2026-04-14 16:00:00,2026-04-14 16:59:59,2824.0,2838.0,2822.0,2823.5,28392,80306911.0
2026-04-14 17:00:00,2026-04-14 17:59:59,2823.5,2834.0,2815.5,2820.5,40813,115270550.5
2026-04-14 18:00:00,2026-04-14 18:59:03,2822.0,2834.0,2821.5,2834.0,9112,25769696.0
2026-04-14 19:00:00,2026-04-14 19:59:59,2832.5,2834.0,2821.5,2822.0,2543,7185459.5
2026-04-14 20:00:00,2026-04-14 20:59:59,2822.0,2831.5,2815.5,2826.0,12296,34694704.5
2026-04-14 21:00:00,2026-04-14 21:59:04,2826.0,2830.0,2825.5,2830.0,1015,2870206.0
2026-04-14 22:00:00,2026-04-14 22:59:59,2829.5,2830.5,2820.5,2820.5,2843,8030082.5
2026-04-14 23:00:00,2026-04-14 23:59:58,2823.0,2823.0,2816.5,2820.0,3060,8627053.0
2026-04-15 06:00:00,2026-04-15 06:59:59,2834.0,2834.0,2834.0,2834.0,200,566800.0
2026-04-15 07:00:00,2026-04-15 07:59:59,2822.5,2833.5,2821.5,2827.0,4786,13530518.0
2026-04-15 08:00:00,2026-04-15 08:59:59,2827.0,2830.0,2822.5,2829.5,1748,4939460.5
2026-04-15 09:00:00,2026-04-15 09:59:59,2828.0,2832.5,2820.5,2821.0,7987,22585812.0
2026-04-15 10:00:00,2026-04-15 10:59:59,2822.5,2839.5,2821.5,2836.0,11523,32635610.0
2026-04-15 11:00:00,2026-04-15 11:59:59,2835.0,2837.0,2813.0,2820.0,18876,53333390.5
2026-04-15 12:00:00,2026-04-15 12:59:59,2820.0,2822.0,2813.0,2815.0,8362,23563029.5
2026-04-15 13:00:00,2026-04-15 13:59:59,2814.5,2833.5,2812.0,2825.5,17848,50346170.0
2026-04-15 14:00:00,2026-04-15 14:59:59,2823.0,2832.0,2814.5,2821.0,23038,65019803.0
2026-04-15 15:00:00,2026-04-15 15:59:59,2821.0,2826.5,2820.0,2824.0,8387,23681224.5
2026-04-15 16:00:00,2026-04-15 16:59:59,2823.0,2823.0,2813.0,2817.0,14306,40299336.0
