timestamps,end,open,high,low,close,volume,amount
2026-04-14 09:00:00,2026-04-14 09:59:59,3.195,3.203,3.181,3.199,515,0
2026-04-14 10:00:00,2026-04-14 10:57:01,3.188,3.192,3.181,3.186,144,0
2026-04-14 11:00:00,2026-04-14 11:59:59,3.187,3.189,3.185,3.186,169,0
2026-04-14 12:00:00,2026-04-14 12:58:01,3.186,3.193,3.186,3.193,254,0
2026-04-14 13:00:00,2026-04-14 13:59:01,3.186,3.191,3.185,3.185,22,0
2026-04-14 14:00:00,2026-04-14 14:59:59,3.192,3.192,3.163,3.175,241,0
2026-04-14 15:00:00,2026-04-14 15:59:59,3.176,3.192,3.164,3.192,352,0
2026-04-14 16:00:00,2026-04-14 16:59:59,3.193,3.221,3.175,3.18,268,0
2026-04-14 17:00:00,2026-04-14 17:58:01,3.179,3.192,3.169,3.178,458,0
2026-04-14 18:00:00,2026-04-14 18:59:21,3.18,3.181,3.154,3.159,276,0
2026-04-14 19:00:00,2026-04-14 19:59:02,3.159,3.162,3.141,3.161,333,0
2026-04-14 20:00:00,2026-04-14 20:59:01,3.153,3.174,3.152,3.165,203,0
2026-04-14 21:00:00,2026-04-14 21:56:21,3.166,3.176,3.161,3.17,161,0
2026-04-14 22:00:00,2026-04-14 22:55:01,3.168,3.171,3.162,3.164,253,0
2026-04-14 23:00:00,2026-04-14 23:59:41,3.162,3.17,3.15,3.15,25,0
2026-04-15 09:00:00,2026-04-15 09:52:20,3.171,3.171,3.155,3.155,87,0
2026-04-15 10:00:00,2026-04-15 10:59:01,3.159,3.161,3.155,3.155,56,0
2026-04-15 11:00:00,2026-04-15 11:57:01,3.154,3.166,3.154,3.16,90,0
2026-04-15 12:00:00,2026-04-15 12:55:02,3.166,3.166,3.157,3.159,46,0
2026-04-15 13:00:00,2026-04-15 13:57:01,3.159,3.162,3.152,3.16,100,0
2026-04-15 14:00:00,2026-04-15 14:59:01,3.161,3.164,3.138,3.154,181,0
2026-04-15 15:00:00,2026-04-15 15:59:59,3.16,3.178,3.155,3.168,245,0
2026-04-15 16:00:00,2026-04-15 16:56:01,3.168,3.17,3.144,3.151,210,0
2026-04-15 17:00:00,2026-04-15 17:56:02,3.156,3.177,3.146,3.166,106,0
2026-04-15 18:00:00,2026-04-15 18:59:59,3.165,3.166,3.149,3.166,95,0
2026-04-15 19:00:00,2026-04-15 19:48:02,3.165,3.165,3.144,3.159,224,0
2026-04-15 20:00:00,2026-04-15 20:57:01,3.162,3.166,3.152,3.164,70,0
2026-04-15 21:00:00,2026-04-15 21:58:01,3.165,3.175,3.156,3.172,242,0
2026-04-15 22:00:00,2026-04-15 22:56:22,3.172,3.175,3.161,3.163,141,0
2026-04-15 23:00:00,2026-04-15 23:59:41,3.164,3.165,3.162,3.165,24,0
2026-04-16 09:00:00,2026-04-16 09:59:59,3.15,3.157,3.143,3.157,80,0
2026-04-16 10:00:00,2026-04-16 10:59:21,3.157,3.184,3.157,3.178,168,0
2026-04-16 11:00:00,2026-04-16 11:59:01,3.173,3.174,3.164,3.164,148,0
2026-04-16 12:00:00,2026-04-16 12:59:01,3.167,3.167,3.16,3.164,30,0
2026-04-16 13:00:00,2026-04-16 13:56:01,3.166,3.166,3.155,3.156,61,0
2026-04-16 14:00:00,2026-04-16 14:59:59,3.156,3.177,3.156,3.175,178,0
2026-04-16 15:00:00,2026-04-16 15:59:02,3.169,3.18,3.164,3.172,304,0
2026-04-16 16:00:00,2026-04-16 16:59:59,3.166,3.193,3.16,3.189,533,0
2026-04-16 17:00:00,2026-04-16 17:59:59,3.19,3.204,3.18,3.201,597,0
2026-04-16 18:00:00,2026-04-16 18:59:59,3.196,3.2,3.183,3.183,343,0
2026-04-16 19:00:00,2026-04-16 19:59:59,3.185,3.188,3.172,3.184,114,0
2026-04-16 20:00:00,2026-04-16 20:57:01,3.182,3.182,3.175,3.182,65,0
2026-04-16 21:00:00,2026-04-16 21:59:59,3.18,3.201,3.18,3.199,103,0
2026-04-16 22:00:00,2026-04-16 22:59:59,3.203,3.204,3.196,3.198,297,0
2026-04-16 23:00:00,2026-04-16 23:59:41,3.198,3.204,3.198,3.204,108,0
2026-04-17 09:00:00,2026-04-17 09:59:00,3.196,3.206,3.195,3.201,106,0
2026-04-17 10:00:00,2026-04-17 10:52:01,3.205,3.206,3.197,3.198,101,0
2026-04-17 11:00:00,2026-04-17 11:59:20,3.203,3.212,3.201,3.202,232,0
2026-04-17 12:00:00,2026-04-17 12:57:21,3.202,3.204,3.19,3.193,98,0
2026-04-17 13:00:00,2026-04-17 13:59:59,3.194,3.203,3.192,3.202,45,0
2026-04-17 14:00:00,2026-04-17 14:59:59,3.201,3.222,3.2,3.222,245,0
2026-04-17 15:00:00,2026-04-17 15:59:59,3.222,3.229,3.17,3.174,750,0
2026-04-17 16:00:00,2026-04-17 16:59:59,3.173,3.191,3.153,3.187,808,0
2026-04-17 17:00:00,2026-04-17 17:59:59,3.187,3.188,3.168,3.187,832,0
2026-04-17 18:00:00,2026-04-17 18:57:01,3.186,3.205,3.184,3.195,283,0
2026-04-17 19:00:00,2026-04-17 19:59:01,3.196,3.208,3.196,3.198,296,0
2026-04-17 20:00:00,2026-04-17 20:58:01,3.204,3.213,3.203,3.208,515,0
2026-04-17 21:00:00,2026-04-17 21:55:21,3.207,3.207,3.178,3.189,137,0
2026-04-17 22:00:00,2026-04-17 22:57:02,3.192,3.192,3.186,3.191,19,0
2026-04-17 23:00:00,2026-04-17 23:59:42,3.188,3.188,3.185,3.186,135,0
2026-04-18 10:00:00,2026-04-18 10:57:01,3.206,3.223,3.2,3.2,28,0
2026-04-18 11:00:00,2026-04-18 11:42:20,3.201,3.215,3.199,3.213,27,0
2026-04-18 12:00:00,2026-04-18 12:59:59,3.207,3.213,3.206,3.206,6,0
2026-04-18 13:00:00,2026-04-18 13:49:01,3.209,3.209,3.197,3.204,56,0
2026-04-18 14:00:00,2026-04-18 14:54:01,3.209,3.21,3.2,3.209,6,0
2026-04-18 15:00:00,2026-04-18 15:54:21,3.21,3.213,3.198,3.203,31,0
2026-04-18 16:00:00,2026-04-18 16:06:00,3.205,3.206,3.205,3.206,2,0
2026-04-18 17:00:00,2026-04-18 17:38:01,3.207,3.21,3.202,3.21,25,0
2026-04-18 18:00:00,2026-04-18 18:35:01,3.21,3.21,3.191,3.21,28,0
2026-04-19 10:00:00,2026-04-19 10:59:59,3.211,3.219,3.207,3.219,20,0
2026-04-19 11:00:00,2026-04-19 11:19:01,3.219,3.22,3.215,3.215,18,0
2026-04-19 12:00:00,2026-04-19 12:59:20,3.214,3.215,3.213,3.213,19,0
2026-04-19 13:00:00,2026-04-19 13:53:21,3.212,3.213,3.21,3.21,7,0
2026-04-19 14:00:00,2026-04-19 14:55:01,3.213,3.215,3.212,3.215,3,0
2026-04-19 15:00:00,2026-04-19 15:44:20,3.208,3.213,3.208,3.211,6,0
2026-04-19 16:00:00,2026-04-19 16:59:59,3.212,3.214,3.207,3.207,62,0
2026-04-19 17:00:00,2026-04-19 17:11:01,3.207,3.207,3.204,3.204,26,0
2026-04-19 18:00:00,2026-04-19 18:42:01,3.205,3.213,3.205,3.213,12,0
2026-04-20 09:00:00,2026-04-20 09:59:59,3.224,3.231,3.222,3.225,249,0
2026-04-20 10:00:00,2026-04-20 10:59:59,3.227,3.227,3.212,3.224,272,0
2026-04-20 11:00:00,2026-04-20 11:59:59,3.223,3.227,3.221,3.221,174,0
2026-04-20 12:00:00,2026-04-20 12:59:59,3.222,3.232,3.222,3.231,104,0
