timestamps,end,open,high,low,close,volume,amount
2026-04-14 06:00:00,2026-04-14 06:59:59,2131.0,2131.0,2131.0,2131.0,1167,2486877.0
2026-04-14 07:00:00,2026-04-14 07:59:59,2132.0,2154.0,2132.0,2146.2,59810,128353701.39999998
2026-04-14 08:00:00,2026-04-14 08:59:59,2146.0,2159.6,2146.0,2156.2,39056,84114445.4
2026-04-14 09:00:00,2026-04-14 09:59:59,2155.4,2168.4,2146.0,2164.4,68745,148344396.39999995
2026-04-14 10:00:00,2026-04-14 10:59:59,2164.4,2168.0,2145.8,2148.6,77603,167318890.4
2026-04-14 11:00:00,2026-04-14 11:59:59,2148.6,2155.6,2140.4,2141.2,56453,121208584.40000004
2026-04-14 12:00:00,2026-04-14 12:59:59,2141.2,2156.4,2141.0,2147.4,57223,122992011.00000001
2026-04-14 13:00:00,2026-04-14 13:59:59,2147.8,2168.6,2145.6,2165.6,55273,119303451.00000003
2026-04-14 14:00:00,2026-04-14 14:59:59,2165.4,2167.6,2160.0,2166.0,39634,85775561.0
2026-04-14 15:00:00,2026-04-14 15:59:59,2165.6,2168.0,2160.0,2166.4,42127,91186025.40000002
2026-04-14 16:00:00,2026-04-14 16:59:59,2165.8,2196.8,2160.6,2188.6,165695,361868929.6000002
2026-04-14 17:00:00,2026-04-14 17:59:59,2188.6,2216.0,2181.6,2212.0,395757,872542410.8000001
2026-04-14 18:00:00,2026-04-14 18:59:59,2212.0,2214.4,2194.2,2208.4,131688,290556319.59999996
2026-04-14 19:00:00,2026-04-14 19:59:59,2208.4,2215.6,2200.2,2200.4,71977,158914623.40000004
2026-04-14 20:00:00,2026-04-14 20:59:59,2200.4,2210.0,2195.8,2206.8,50516,111331966.39999999
2026-04-14 21:00:00,2026-04-14 21:59:59,2206.4,2214.4,2202.6,2210.0,37377,82556677.60000001
2026-04-14 22:00:00,2026-04-14 22:59:59,2210.4,2217.0,2208.0,2216.6,51381,113684488.39999998
2026-04-14 23:00:00,2026-04-14 23:59:58,2216.8,2218.8,2202.0,2207.4,53366,117934462.0
2026-04-15 06:00:00,2026-04-15 06:59:59,2209.0,2209.0,2209.0,2209.0,1600,3534400.0
2026-04-15 07:00:00,2026-04-15 07:59:59,2209.4,2238.8,2209.2,2231.6,142210,316995040.8000001
2026-04-15 08:00:00,2026-04-15 08:59:59,2231.6,2234.0,2225.6,2229.8,48853,108952298.4
2026-04-15 09:00:00,2026-04-15 09:59:59,2229.8,2236.0,2226.0,2226.0,45773,102034942.99999999
