timestamps,end,open,high,low,close,volume,amount
2026-04-14 00:00:00,2026-04-14 00:59:59.999,83.93,84.14,83.83,83.95,71960.207,6042248.27002
2026-04-14 01:00:00,2026-04-14 01:59:59.999,83.95,86.47,83.94,86.22,440130.762,37669122.30693
2026-04-14 02:00:00,2026-04-14 02:59:59.999,86.22,86.81,85.91,86.51,363524.647,31399885.62557
2026-04-14 03:00:00,2026-04-14 03:59:59.999,86.51,86.75,85.37,85.91,332884.834,28695397.12135
2026-04-14 04:00:00,2026-04-14 04:59:59.999,85.9,86.12,85.67,85.95,121817.323,10468573.3171
2026-04-14 05:00:00,2026-04-14 05:59:59.999,85.96,86.39,85.8,86.22,156685.606,13496725.23289
2026-04-14 06:00:00,2026-04-14 06:59:59.999,86.21,86.27,85.98,86.05,65868.901,5672472.95428
2026-04-14 07:00:00,2026-04-14 07:59:59.999,86.05,86.06,85.56,85.89,96691.973,8296585.14537
2026-04-14 08:00:00,2026-04-14 08:59:59.999,85.89,85.92,85.43,85.5,56679.203,4857356.24439
2026-04-14 09:00:00,2026-04-14 09:59:59.999,85.5,86.09,85.5,85.94,78580.524,6742000.70408
2026-04-14 10:00:00,2026-04-14 10:59:59.999,85.95,86.2,85.79,85.88,133553.61,11483076.94485
2026-04-14 11:00:00,2026-04-14 11:59:59.999,85.88,86.38,85.72,86.12,100718.988,8668522.23096
2026-04-14 12:00:00,2026-04-14 12:59:59.999,86.13,86.26,85.97,86.08,72971.6,6283154.11331
2026-04-14 13:00:00,2026-04-14 13:59:59.999,86.08,86.56,86.0,86.01,105853.747,9129321.27948
2026-04-14 14:00:00,2026-04-14 14:59:59.999,86.01,86.11,85.6,85.78,174896.812,15018790.22244
2026-04-14 15:00:00,2026-04-14 15:59:59.999,85.78,86.0,85.6,85.96,96400.846,8271542.45988
2026-04-14 16:00:00,2026-04-14 16:59:59.999,85.96,87.41,85.92,87.29,300261.898,26062021.62211
2026-04-14 17:00:00,2026-04-14 17:59:59.999,87.3,87.67,86.01,86.02,365845.854,31774808.37649
2026-04-14 18:00:00,2026-04-14 18:59:59.999,86.02,86.32,85.25,85.95,229750.816,19701554.14043
2026-04-14 19:00:00,2026-04-14 19:59:59.999,85.95,86.17,84.77,85.04,190450.408,16282409.46451
