timestamps,end,open,high,low,close,volume,amount
2026-04-14 08:00:00,2026-04-14 08:59:59,77220,77220,77220,77220,56,0
2026-04-14 09:00:00,2026-04-14 09:59:59,77200,77274,76985,77158,23224,0
2026-04-14 10:00:00,2026-04-14 10:59:59,77153,77179,76708,76762,129853,0
2026-04-14 11:00:00,2026-04-14 11:59:59,76763,76790,76426,76493,104918,0
2026-04-14 12:00:00,2026-04-14 12:59:59,76497,76541,76304,76418,148055,0
2026-04-14 13:00:00,2026-04-14 13:59:59,76418,76627,76411,76609,120065,0
2026-04-14 14:00:00,2026-04-14 14:59:59,76615,76715,76542,76552,170820,0
2026-04-14 15:00:00,2026-04-14 15:59:59,76554,76590,76374,76431,182591,0
2026-04-14 16:00:00,2026-04-14 16:59:59,76432,76475,76160,76167,144775,0
2026-04-14 17:00:00,2026-04-14 17:59:59,76168,76255,75930,75965,183494,0
2026-04-14 18:00:00,2026-04-14 18:59:59,75964,76073,75885,75952,78422,0
2026-04-14 19:00:00,2026-04-14 19:59:59,75949,76040,75776,75999,44125,0
2026-04-14 20:00:00,2026-04-14 20:59:59,76000,76007,75837,75890,15201,0
2026-04-14 21:00:00,2026-04-14 21:59:59,75890,75991,75888,75911,11118,0
2026-04-14 22:00:00,2026-04-14 22:59:59,75911,75958,75891,75955,13366,0
2026-04-14 23:00:00,2026-04-14 23:59:41,75957,75996,75845,75859,10264,0
2026-04-15 08:00:00,2026-04-15 08:59:59,75900,75900,75900,75900,90,0
2026-04-15 09:00:00,2026-04-15 09:59:59,75900,76030,75663,75948,65210,0
2026-04-15 10:00:00,2026-04-15 10:59:59,75952,75998,75615,75709,131938,0
2026-04-15 11:00:00,2026-04-15 11:59:59,75707,76017,75573,75974,115236,0
2026-04-15 12:00:00,2026-04-15 12:59:59,75975,75996,75677,75768,96174,0
2026-04-15 13:00:00,2026-04-15 13:59:59,75768,76530,75756,76501,192538,0
2026-04-15 14:00:00,2026-04-15 14:59:59,76504,76968,76504,76673,211313,0
2026-04-15 15:00:00,2026-04-15 15:59:59,76678,76839,76550,76774,121966,0
2026-04-15 16:00:00,2026-04-15 16:59:59,76776,76910,76534,76553,87490,0
2026-04-15 17:00:00,2026-04-15 17:59:59,76555,76578,76390,76482,100673,0
2026-04-15 18:00:00,2026-04-15 18:59:59,76482,76745,76405,76600,44512,0
2026-04-15 19:00:00,2026-04-15 19:59:59,76599,76735,76525,76571,17257,0
2026-04-15 20:00:00,2026-04-15 20:59:59,76571,76590,76543,76566,4851,0
2026-04-15 21:00:00,2026-04-15 21:59:59,76566,76630,76549,76616,3778,0
2026-04-15 22:00:00,2026-04-15 22:59:59,76621,76625,76536,76593,3543,0
2026-04-15 23:00:00,2026-04-15 23:59:41,76590,76615,76570,76581,3772,0
2026-04-16 08:00:00,2026-04-16 08:59:59,76551,76551,76551,76551,47,0
2026-04-16 09:00:00,2026-04-16 09:59:59,76569,76950,76503,76603,61210,0
2026-04-16 10:00:00,2026-04-16 10:59:59,76604,77574,76185,77311,357117,0
2026-04-16 11:00:00,2026-04-16 11:59:59,77307,77772,77170,77557,216750,0
2026-04-16 12:00:00,2026-04-16 12:59:59,77557,77748,77282,77404,134601,0
2026-04-16 13:00:00,2026-04-16 13:59:59,77394,77456,77074,77242,87745,0
2026-04-16 14:00:00,2026-04-16 14:59:59,77242,77363,77087,77232,67511,0
2026-04-16 15:00:00,2026-04-16 15:59:59,77234,77548,77165,77458,79973,0
2026-04-16 16:00:00,2026-04-16 16:59:59,77454,77536,77171,77276,69230,0
2026-04-16 17:00:00,2026-04-16 17:59:59,77278,77342,77035,77192,67416,0
2026-04-16 18:00:00,2026-04-16 18:59:59,77193,77220,76834,76931,66011,0
2026-04-16 19:00:00,2026-04-16 19:59:59,76935,77033,76869,76954,16603,0
2026-04-16 20:00:00,2026-04-16 20:59:59,76953,76981,76867,76908,8482,0
2026-04-16 21:00:00,2026-04-16 21:59:59,76908,76908,76713,76776,20408,0
2026-04-16 22:00:00,2026-04-16 22:59:59,76777,77099,76768,76950,18950,0
2026-04-16 23:00:00,2026-04-16 23:59:41,76950,77064,76950,77035,8549,0
2026-04-17 08:00:00,2026-04-17 08:59:59,77050,77050,77050,77050,30,0
2026-04-17 09:00:00,2026-04-17 09:59:59,77050,77271,76921,77050,53395,0
