timestamps,end,open,high,low,close,volume,amount
2026-04-14 06:00:00,2026-04-14 06:59:59,92.01,92.01,92.01,92.01,8980,826249.8000000002
2026-04-14 07:00:00,2026-04-14 07:59:59,92.015,92.09,91.9,91.98,1667568,153408485.36000004
2026-04-14 08:00:00,2026-04-14 08:59:59,91.985,92.085,91.96,92.055,1439497,132462945.96000001
2026-04-14 09:00:00,2026-04-14 09:59:59,92.055,92.055,91.76,92.0,2177291,200099109.45999986
2026-04-14 10:00:00,2026-04-14 10:59:59,91.995,92.0,91.435,91.445,3019267,276942449.22
2026-04-14 11:00:00,2026-04-14 11:59:59,91.445,91.63,90.66,91.235,9769923,890121393.7100004
2026-04-14 12:00:00,2026-04-14 12:59:59,91.225,91.725,91.205,91.47,5041189,460914988.1000001
2026-04-14 13:00:00,2026-04-14 13:59:59,91.475,91.685,91.43,91.525,3034738,277852814.1800001
2026-04-14 14:00:00,2026-04-14 14:59:59,91.53,91.9,91.49,91.795,3353503,307374002.72999996
2026-04-14 15:00:00,2026-04-14 15:59:59,91.8,91.84,91.66,91.715,1637912,150264632.56
2026-04-14 16:00:00,2026-04-14 16:59:59,91.715,92.04,91.635,91.83,2629611,241631360.86999997
2026-04-14 17:00:00,2026-04-14 17:59:59,91.865,91.92,91.635,91.88,1837981,168703814.63000005
2026-04-14 18:00:00,2026-04-14 18:59:03,91.885,91.945,91.7,91.78,1800049,165273025.57000014
2026-04-14 19:00:00,2026-04-14 19:59:59,91.775,91.8,91.485,91.625,1560987,143059048.46999997
2026-04-14 20:00:00,2026-04-14 20:59:59,91.625,91.77,91.59,91.73,409165,37506769.23000002
2026-04-14 21:00:00,2026-04-14 21:59:59,91.73,92.1,91.72,92.01,2808121,258326401.26000002
2026-04-14 22:00:00,2026-04-14 22:59:59,92.01,92.1,91.925,92.08,816823,75159442.41000001
2026-04-14 23:00:00,2026-04-14 23:59:58,92.08,92.085,91.85,91.93,1218519,112084945.75999999
2026-04-15 06:00:00,2026-04-15 06:59:59,91.93,91.93,91.93,91.93,10828,995418.0400000007
2026-04-15 07:00:00,2026-04-15 07:59:59,91.93,92.07,91.77,91.83,753353,69244112.70999998
2026-04-15 08:00:00,2026-04-15 08:59:59,91.83,91.895,91.66,91.82,602452,55280484.62
2026-04-15 09:00:00,2026-04-15 09:59:59,91.82,91.965,91.75,91.78,827942,76052769.61999997
2026-04-15 10:00:00,2026-04-15 10:59:59,91.78,91.8,91.295,91.405,3900948,357008180.71000004
2026-04-15 11:00:00,2026-04-15 11:59:59,91.405,91.82,91.325,91.73,3115114,285262482.03000003
2026-04-15 12:00:00,2026-04-15 12:59:59,91.735,91.84,91.67,91.67,1851201,169839432.96999997
2026-04-15 13:00:00,2026-04-15 13:59:59,91.67,91.95,91.405,91.94,5037760,461712236.68000007
2026-04-15 14:00:00,2026-04-15 14:59:59,91.94,92.23,91.795,92.095,7520839,692363771.5400002
2026-04-15 15:00:00,2026-04-15 15:59:59,92.1,92.225,92.05,92.08,2507677,231124595.55000004
2026-04-15 16:00:00,2026-04-15 16:59:59,92.085,93.8,91.905,93.21,23016255,2142357174.7199998
2026-04-15 17:00:00,2026-04-15 17:59:59,93.21,93.4,93.04,93.185,6988296,651460667.2099999
2026-04-15 18:00:00,2026-04-15 18:59:59,93.185,93.44,93.18,93.205,4501309,420012859.3499999
2026-04-15 19:00:00,2026-04-15 19:59:59,93.21,93.44,93.075,93.355,4162153,388101705.59
2026-04-15 20:00:00,2026-04-15 20:59:59,93.36,93.435,93.265,93.29,2305445,215221367.62000003
2026-04-15 21:00:00,2026-04-15 21:59:59,93.29,93.6,93.27,93.55,2397814,224098931.18000022
2026-04-15 22:00:00,2026-04-15 22:59:59,93.55,93.66,93.51,93.595,2105062,197025035.25000006
2026-04-15 23:00:00,2026-04-15 23:59:58,93.595,93.875,93.59,93.75,2807435,263189052.36000016
2026-04-16 06:00:00,2026-04-16 06:59:59,93.83,93.83,93.83,93.83,22344,2096537.5200000019
2026-04-16 07:00:00,2026-04-16 07:59:59,93.83,94.96,93.57,94.575,10267379,968904721.4700005
2026-04-16 08:00:00,2026-04-16 08:59:59,94.57,95.98,94.53,95.455,13231005,1261670920.3600004
2026-04-16 09:00:00,2026-04-16 09:59:59,95.455,95.705,95.1,95.22,12313977,1174036390.7899995
2026-04-16 10:00:00,2026-04-16 10:59:59,95.235,95.365,94.7,95.13,9123960,866895817.2700001
2026-04-16 11:00:00,2026-04-16 11:59:59,95.125,95.35,94.27,94.625,11675476,1105998700.7300003
2026-04-16 12:00:00,2026-04-16 12:59:59,94.625,94.91,94.46,94.85,2827285,267546990.05999997
2026-04-16 13:00:00,2026-04-16 13:59:59,94.845,94.95,94.555,94.695,3115929,295189006.85999995
2026-04-16 14:00:00,2026-04-16 14:59:59,94.7,94.775,94.405,94.54,3918925,370760757.0499999
2026-04-16 15:00:00,2026-04-16 15:59:59,94.54,94.95,94.54,94.74,2491211,235990543.05999994
2026-04-16 16:00:00,2026-04-16 16:59:59,94.735,94.905,94.5,94.855,3624695,342964963.01999986
