timestamps,end,open,high,low,close,volume,amount
2026-04-14 06:00:00,2026-04-14 06:59:59,4089.0,4089.0,4089.0,4089.0,151,617439.0
2026-04-14 07:00:00,2026-04-14 07:59:59,4088.5,4094.0,4072.5,4092.0,11848,48396373.5
2026-04-14 08:00:00,2026-04-14 08:59:59,4090.5,4095.5,4082.0,4087.5,10573,43242415.0
2026-04-14 09:00:00,2026-04-14 09:59:59,4086.0,4089.0,4072.0,4087.0,21727,88677373.0
2026-04-14 10:00:00,2026-04-14 10:59:59,4086.5,4104.5,4068.5,4100.5,52479,214360410.5
2026-04-14 11:00:00,2026-04-14 11:59:59,4100.5,4120.0,4073.0,4107.5,71970,294715223.0
2026-04-14 12:00:00,2026-04-14 12:59:59,4108.5,4121.0,4092.5,4106.5,66700,274065645.0
2026-04-14 13:00:00,2026-04-14 13:59:59,4107.0,4140.0,4102.0,4132.5,83333,343453544.5
2026-04-14 14:00:00,2026-04-14 14:59:59,4132.5,4166.0,4127.0,4155.0,63379,262819862.0
2026-04-14 15:00:00,2026-04-14 15:59:59,4155.5,4162.0,4127.0,4130.5,40261,166683418.5
2026-04-14 16:00:00,2026-04-14 16:59:59,4130.5,4157.0,4129.0,4137.5,45338,187808179.5
2026-04-14 17:00:00,2026-04-14 17:59:59,4138.5,4179.0,4134.5,4176.0,70391,292912134.5
2026-04-14 18:00:00,2026-04-14 18:59:59,4178.0,4187.0,4166.0,4181.5,65203,272320727.5
2026-04-14 19:00:00,2026-04-14 19:59:59,4182.0,4182.5,4163.0,4169.0,21656,90312704.0
2026-04-14 20:00:00,2026-04-14 20:59:59,4169.0,4172.5,4161.0,4169.0,10944,45595768.0
2026-04-14 21:00:00,2026-04-14 21:59:59,4169.0,4172.0,4158.0,4166.5,12372,51516331.5
2026-04-14 22:00:00,2026-04-14 22:59:59,4166.5,4178.0,4162.0,4174.5,12055,50279084.5
2026-04-14 23:00:00,2026-04-14 23:59:58,4174.5,4175.0,4158.0,4169.0,10698,44561948.5
2026-04-15 06:00:00,2026-04-15 06:59:59,4169.0,4169.0,4169.0,4169.0,113,471097.0
2026-04-15 07:00:00,2026-04-15 07:59:59,4170.0,4201.5,4169.0,4201.0,36001,150865118.5
2026-04-15 08:00:00,2026-04-15 08:59:59,4201.5,4209.0,4192.5,4195.5,43679,183485860.0
2026-04-15 09:00:00,2026-04-15 09:59:59,4194.5,4198.5,4183.0,4194.5,22339,93595566.5
2026-04-15 10:00:00,2026-04-15 10:59:59,4195.0,4228.0,4183.5,4198.0,107670,453440334.0
2026-04-15 11:00:00,2026-04-15 11:59:59,4198.5,4225.0,4197.0,4210.0,60426,254580589.5
2026-04-15 12:00:00,2026-04-15 12:59:59,4210.0,4219.5,4201.5,4215.0,33726,142002750.5
2026-04-15 13:00:00,2026-04-15 13:59:59,4214.0,4242.5,4210.5,4239.0,72614,307103240.5
2026-04-15 14:00:00,2026-04-15 14:59:59,4239.0,4250.0,4228.0,4249.5,147733,627006173.5
2026-04-15 15:00:00,2026-04-15 15:59:59,4249.5,4285.0,4249.0,4276.5,224867,960017957.5
2026-04-15 16:00:00,2026-04-15 16:59:59,4277.0,4287.0,4256.0,4272.5,199764,853254431.5
2026-04-15 17:00:00,2026-04-15 17:59:59,4273.0,4297.5,4264.5,4296.5,154651,662190969.0
2026-04-15 18:00:00,2026-04-15 18:59:59,4296.5,4316.0,4280.0,4280.0,159896,687196802.5
2026-04-15 19:00:00,2026-04-15 19:59:59,4281.0,4314.0,4281.0,4307.5,84381,363159713.5
2026-04-15 20:00:00,2026-04-15 20:59:59,4307.0,4314.5,4302.5,4304.5,34352,147920518.5
2026-04-15 21:00:00,2026-04-15 21:59:59,4304.0,4311.0,4302.0,4308.5,17965,77334151.0
2026-04-15 22:00:00,2026-04-15 22:59:59,4308.5,4314.5,4303.5,4313.0,25152,108406123.0
2026-04-15 23:00:00,2026-04-15 23:59:58,4312.5,4333.0,4310.5,4331.0,50014,215977595.0
2026-04-16 06:00:00,2026-04-16 06:59:59,4331.0,4331.0,4331.0,4331.0,933,4040823.0
2026-04-16 07:00:00,2026-04-16 07:59:59,4331.0,4339.0,4300.5,4313.0,64315,277556344.0
2026-04-16 08:00:00,2026-04-16 08:59:59,4313.5,4320.5,4302.0,4302.5,23229,100165858.5
2026-04-16 09:00:00,2026-04-16 09:59:59,4302.5,4314.0,4258.5,4301.0,104865,450235300.0
2026-04-16 10:00:00,2026-04-16 10:59:59,4301.0,4349.5,4292.5,4321.0,164370,711049331.5
2026-04-16 11:00:00,2026-04-16 11:59:59,4320.5,4326.0,4294.5,4304.0,86287,371600666.5
2026-04-16 12:00:00,2026-04-16 12:59:59,4302.0,4320.5,4294.5,4306.0,55030,237020819.5
2026-04-16 13:00:00,2026-04-16 13:59:59,4306.0,4318.0,4299.5,4305.5,29465,126915616.5
2026-04-16 14:00:00,2026-04-16 14:59:59,4306.0,4308.5,4290.5,4302.5,45134,194017815.5
2026-04-16 15:00:00,2026-04-16 15:59:59,4301.5,4306.0,4276.0,4289.5,71391,306039447.5
2026-04-16 16:00:00,2026-04-16 16:59:59,4289.5,4296.5,4280.0,4289.0,44490,190762774.0
2026-04-16 17:00:00,2026-04-16 17:59:59,4289.5,4292.5,4280.0,4287.5,33819,144961705.5
2026-04-16 18:00:00,2026-04-16 18:59:59,4286.0,4289.5,4254.5,4268.0,65436,279268932.0
2026-04-16 19:00:00,2026-04-16 19:59:59,4270.0,4274.0,4258.5,4259.5,20839,88944478.0
2026-04-16 20:00:00,2026-04-16 20:59:59,4259.5,4276.0,4258.0,4270.0,18722,79875402.5
2026-04-16 21:00:00,2026-04-16 21:59:59,4270.0,4272.0,4261.5,4264.5,9546,40732316.0
2026-04-16 22:00:00,2026-04-16 22:59:59,4264.5,4284.5,4262.5,4277.0,11932,51002016.0
2026-04-16 23:00:00,2026-04-16 23:59:58,4276.5,4287.5,4274.5,4278.0,11029,47214223.0
2026-04-17 06:00:00,2026-04-17 06:59:59,4279.5,4279.5,4279.5,4279.5,171,731794.5
2026-04-17 07:00:00,2026-04-17 07:59:59,4279.5,4295.0,4278.0,4282.5,14404,61724427.0
2026-04-17 08:00:00,2026-04-17 08:59:59,4282.5,4288.5,4273.0,4276.0,7330,31367092.5
2026-04-17 09:00:00,2026-04-17 09:59:59,4277.5,4277.5,4255.0,4260.5,29328,125013782.5
2026-04-17 10:00:00,2026-04-17 10:59:59,4261.0,4271.5,4237.0,4256.0,154758,657820759.0
2026-04-17 11:00:00,2026-04-17 11:59:59,4257.0,4273.0,4253.5,4268.0,27853,118771293.0
2026-04-17 12:00:00,2026-04-17 12:59:59,4268.5,4272.0,4253.0,4268.0,16287,69447881.0
2026-04-17 13:00:00,2026-04-17 13:59:59,4268.5,4277.0,4261.5,4262.0,23910,102068619.5
2026-04-17 14:00:00,2026-04-17 14:59:59,4263.5,4286.0,4261.5,4278.0,31418,134440262.0
2026-04-17 15:00:00,2026-04-17 15:59:59,4278.0,4294.5,4265.0,4280.0,50296,215354975.5
2026-04-17 16:00:00,2026-04-17 16:59:59,4279.0,4303.0,4265.5,4299.0,88486,378954131.0
2026-04-17 17:00:00,2026-04-17 17:59:59,4297.0,4324.5,4284.0,4287.0,80758,347631842.0
2026-04-17 18:00:00,2026-04-17 18:59:59,4287.0,4295.5,4282.0,4287.0,25894,111045242.0
2026-04-17 19:00:00,2026-04-17 19:59:59,4288.0,4297.0,4288.0,4293.0,13498,57941378.5
2026-04-17 20:00:00,2026-04-17 20:59:59,4293.5,4299.5,4292.5,4293.0,7423,31894352.0
2026-04-17 21:00:00,2026-04-17 21:59:59,4294.0,4299.0,4290.0,4290.5,7949,34138506.0
2026-04-17 22:00:00,2026-04-17 22:59:59,4290.5,4294.0,4287.0,4292.0,5557,23838596.0
2026-04-17 23:00:00,2026-04-17 23:59:55,4291.5,4292.0,4286.5,4288.0,8489,36407389.5
2026-04-18 09:00:00,2026-04-18 09:59:59,4292.0,4292.0,4292.0,4292.0,134,575128.0
2026-04-18 10:00:00,2026-04-18 10:59:59,4292.0,4305.0,4289.5,4300.0,12396,53289612.0
2026-04-18 11:00:00,2026-04-18 11:59:59,4300.0,4305.0,4298.0,4299.0,4649,19997321.5
2026-04-18 12:00:00,2026-04-18 12:59:59,4299.0,4299.0,4295.0,4295.0,4599,19758489.0
2026-04-18 13:00:00,2026-04-18 13:59:59,4295.0,4298.0,4292.0,4293.0,2761,11856325.5
2026-04-18 14:00:00,2026-04-18 14:59:59,4294.0,4294.0,4288.5,4291.5,4851,20813085.0
2026-04-18 15:00:00,2026-04-18 15:59:59,4292.0,4294.0,4287.0,4288.5,5546,23792367.5
2026-04-18 16:00:00,2026-04-18 16:59:59,4288.5,4298.5,4288.0,4294.0,2500,10736976.5
2026-04-18 17:00:00,2026-04-18 17:59:59,4293.5,4300.0,4293.5,4298.5,3195,13733338.0
2026-04-18 18:00:00,2026-04-18 18:59:59,4296.5,4299.5,4288.5,4290.0,3276,14064865.0
2026-04-19 09:00:00,2026-04-19 09:59:59,4295.0,4295.0,4295.0,4295.0,172,738740.0
2026-04-19 10:00:00,2026-04-19 10:59:59,4298.5,4302.5,4287.5,4292.5,5379,23090101.5
2026-04-19 11:00:00,2026-04-19 11:59:59,4292.5,4296.0,4281.5,4293.5,5848,25075985.5
2026-04-19 12:00:00,2026-04-19 12:59:59,4295.0,4298.0,4293.0,4296.5,2570,11042292.5
2026-04-19 13:00:00,2026-04-19 13:59:59,4296.5,4296.5,4293.0,4294.0,1837,7888837.0
2026-04-19 14:00:00,2026-04-19 14:59:59,4293.5,4296.0,4293.5,4295.0,1149,4934631.0
2026-04-19 15:00:00,2026-04-19 15:59:59,4294.5,4296.0,4293.0,4293.5,2048,8795038.0
2026-04-19 16:00:00,2026-04-19 16:59:59,4293.5,4297.0,4293.0,4295.5,2369,10173461.0
2026-04-19 17:00:00,2026-04-19 17:59:59,4295.5,4298.0,4293.0,4296.5,2239,9617902.5
2026-04-19 18:00:00,2026-04-19 18:59:59,4296.0,4300.0,4293.5,4298.0,4550,19551215.0
2026-04-20 06:00:00,2026-04-20 06:59:59,4309.0,4309.0,4309.0,4309.0,205,883345.0
2026-04-20 07:00:00,2026-04-20 07:59:59,4304.5,4320.0,4298.5,4313.5,26417,113828624.0
2026-04-20 08:00:00,2026-04-20 08:59:59,4314.0,4314.0,4302.5,4304.0,8767,37760111.5
2026-04-20 09:00:00,2026-04-20 09:59:59,4303.5,4306.5,4293.0,4298.5,21993,94517700.5
2026-04-20 10:00:00,2026-04-20 10:59:59,4298.0,4303.5,4274.0,4279.0,70096,300562941.0
2026-04-20 11:00:00,2026-04-20 11:59:59,4278.5,4285.0,4263.5,4271.0,44600,190602718.5
2026-04-20 12:00:00,2026-04-20 12:59:59,4270.5,4288.0,4270.0,4287.5,47131,201692914.5
2026-04-20 13:00:00,2026-04-20 13:59:59,4288.0,4297.0,4281.0,4285.0,18191,78001908.5
2026-04-20 14:00:00,2026-04-20 14:59:59,4285.0,4293.5,4278.0,4283.0,19443,83287984.5
2026-04-20 15:00:00,2026-04-20 15:59:59,4282.5,4286.0,4275.5,4283.0,16620,71146749.5
2026-04-20 16:00:00,2026-04-20 16:59:59,4283.0,4292.5,4281.5,4289.5,16749,71822212.0
2026-04-20 17:00:00,2026-04-20 17:59:59,4290.5,4340.0,4288.0,4323.5,78870,340838979.5
2026-04-20 18:00:00,2026-04-20 18:59:59,4324.0,4335.0,4315.5,4320.0,51738,223870710.5
2026-04-20 19:00:00,2026-04-20 19:59:59,4326.5,4328.5,4313.5,4323.0,14677,63401643.5
2026-04-20 20:00:00,2026-04-20 20:59:59,4323.0,4325.0,4320.0,4324.0,6141,26545486.0
2026-04-20 21:00:00,2026-04-20 21:59:59,4324.5,4324.5,4300.0,4313.0,14282,61578048.0
2026-04-20 22:00:00,2026-04-20 22:59:59,4313.0,4316.5,4311.5,4312.0,4536,19567490.5
2026-04-20 23:00:00,2026-04-20 23:59:59,4312.5,4316.0,4305.0,4315.5,6033,26012267.0
2026-04-21 06:00:00,2026-04-21 06:59:59,4316.0,4316.0,4316.0,4316.0,139,599924.0
2026-04-21 07:00:00,2026-04-21 07:59:59,4316.5,4340.0,4308.0,4337.0,22811,98642144.0
2026-04-21 08:00:00,2026-04-21 08:59:59,4336.5,4345.0,4327.5,4335.5,23658,102611368.0
2026-04-21 09:00:00,2026-04-21 09:59:59,4334.0,4354.5,4334.0,4351.0,45055,195764333.0
2026-04-21 10:00:00,2026-04-21 10:59:59,4351.5,4368.0,4346.0,4355.5,90448,394347419.5
2026-04-21 11:00:00,2026-04-21 11:59:59,4356.0,4365.0,4348.5,4359.5,47778,208172723.0
2026-04-21 12:00:00,2026-04-21 12:59:59,4358.5,4379.0,4331.0,4335.0,110273,480375036.0
2026-04-21 13:00:00,2026-04-21 13:59:59,4335.5,4347.0,4300.0,4315.5,96644,417601774.5
2026-04-21 14:00:00,2026-04-21 14:59:59,4315.5,4327.5,4290.0,4327.0,72185,311109450.5
2026-04-21 15:00:00,2026-04-21 15:59:59,4327.5,4329.5,4312.0,4312.0,21389,92404953.5
2026-04-21 16:00:00,2026-04-21 16:59:59,4311.5,4317.5,4295.5,4315.0,37388,160946521.0
2026-04-21 17:00:00,2026-04-21 17:59:59,4315.0,4342.5,4315.0,4333.5,50563,218989529.0
2026-04-21 18:00:00,2026-04-21 18:59:59,4334.5,4340.0,4325.0,4328.0,21647,93750522.5
2026-04-21 19:00:00,2026-04-21 19:59:59,4328.5,4328.5,4315.5,4318.0,16791,72545252.0
2026-04-21 20:00:00,2026-04-21 20:59:59,4317.5,4323.5,4317.0,4321.5,8248,35627216.5
2026-04-21 21:00:00,2026-04-21 21:59:59,4322.5,4322.5,4317.5,4320.0,2572,11110402.0
2026-04-21 22:00:00,2026-04-21 22:59:59,4320.0,4338.0,4317.5,4325.5,17554,75934277.5
2026-04-21 23:00:00,2026-04-21 23:59:59,4326.0,4326.0,4315.5,4317.0,11934,51541186.0
2026-04-22 06:00:00,2026-04-22 06:59:59,4317.5,4317.5,4317.5,4317.5,43,185652.5
2026-04-22 07:00:00,2026-04-22 07:59:59,4320.0,4340.0,4317.5,4337.0,15775,68293838.0
2026-04-22 08:00:00,2026-04-22 08:59:59,4335.5,4346.5,4331.0,4336.5,15814,68615688.5
2026-04-22 09:00:00,2026-04-22 09:59:59,4335.0,4343.0,4333.0,4340.0,12221,53028889.0
2026-04-22 10:00:00,2026-04-22 10:59:59,4339.5,4359.0,4335.5,4341.0,30194,131261766.5
2026-04-22 11:00:00,2026-04-22 11:59:59,4340.5,4352.0,4338.0,4338.5,26342,114463587.5
2026-04-22 12:00:00,2026-04-22 12:59:59,4338.5,4340.0,4318.5,4323.5,42470,183820354.0
2026-04-22 13:00:00,2026-04-22 13:59:59,4323.5,4329.5,4319.0,4321.0,48297,208832272.0
