timestamps,end,open,high,low,close,volume,amount
2026-04-15 06:00:00,2026-04-15 06:59:59,531.7,531.7,531.7,531.7,4,2126.8
2026-04-15 07:00:00,2026-04-15 07:59:02,531.7,532.1,530.2,531.4,13688,7270025.099999999
2026-04-15 08:00:00,2026-04-15 08:59:59,531.8,531.9,530.9,531.2,6209,3299751.8000000003
2026-04-15 09:00:00,2026-04-15 09:59:59,531.2,531.2,529.1,529.8,39308,20831916.8
2026-04-15 10:00:00,2026-04-15 10:59:59,529.7,532.5,529.2,531.8,86585,45947523.30000002
2026-04-15 11:00:00,2026-04-15 11:59:59,532.0,532.7,531.2,532.0,42552,22635302.300000004
2026-04-15 12:00:00,2026-04-15 12:59:59,531.9,532.6,531.5,531.6,10136,5392560.3
2026-04-15 13:00:00,2026-04-15 13:59:59,531.6,533.0,531.6,532.9,15728,8374795.300000001
2026-04-15 14:00:00,2026-04-15 14:59:59,532.9,533.0,531.9,532.0,8063,4294785.7
2026-04-15 15:00:00,2026-04-15 15:58:03,532.0,532.8,531.6,532.3,10787,5739966.699999999
2026-04-15 16:00:00,2026-04-15 16:59:03,532.3,533.0,531.5,532.8,30658,16321315.9
2026-04-15 17:00:00,2026-04-15 17:59:59,532.8,533.0,531.4,531.5,19251,10250851.1
2026-04-15 18:00:00,2026-04-15 18:58:03,531.6,532.5,530.7,531.1,25811,13709915.999999998
2026-04-15 19:00:00,2026-04-15 19:58:04,531.2,532.0,531.0,531.5,11450,6088038.199999999
2026-04-15 20:00:00,2026-04-15 20:59:59,531.5,531.8,531.1,531.4,5514,2930416.499999999
2026-04-15 21:00:00,2026-04-15 21:59:59,531.4,531.7,531.0,531.5,7250,3852785.499999999
2026-04-15 22:00:00,2026-04-15 22:59:59,531.4,532.0,531.4,531.5,5017,2667623.5
2026-04-15 23:00:00,2026-04-15 23:59:58,531.5,532.5,531.0,532.4,12575,6686354.3999999985
2026-04-16 06:00:00,2026-04-16 06:59:59,532.3,532.3,532.3,532.3,41,21824.299999999996
2026-04-16 07:00:00,2026-04-16 07:59:59,531.7,535.0,531.5,533.5,39196,20933139.8
2026-04-16 08:00:00,2026-04-16 08:59:01,533.5,533.9,533.4,533.8,6202,3310811.7
2026-04-16 09:00:00,2026-04-16 09:59:59,533.6,533.8,532.5,532.7,21825,11636809.999999998
2026-04-16 10:00:00,2026-04-16 10:59:59,532.7,533.7,530.9,531.7,148834,79116792.60000001
2026-04-16 11:00:00,2026-04-16 11:59:59,531.6,531.9,530.9,531.1,24056,12777464.899999997
2026-04-16 12:00:00,2026-04-16 12:59:59,531.1,532.3,531.1,531.5,20211,10745510.600000001
2026-04-16 13:00:00,2026-04-16 13:59:59,531.6,531.8,531.1,531.6,11468,6094106.799999999
2026-04-16 14:00:00,2026-04-16 14:59:59,531.7,531.9,531.2,531.2,47811,25401018.900000002
2026-04-16 15:00:00,2026-04-16 15:59:59,531.2,531.8,531.2,531.5,21527,11439301.999999998
2026-04-16 16:00:00,2026-04-16 16:59:59,531.5,532.3,531.2,532.3,39391,20931331.400000002
2026-04-16 17:00:00,2026-04-16 17:59:59,532.3,532.3,531.2,531.5,11975,6362816.699999999
2026-04-16 18:00:00,2026-04-16 18:58:08,531.3,532.1,531.2,531.2,12245,6507202.6000000015
2026-04-16 19:00:00,2026-04-16 19:58:03,531.4,533.0,531.3,532.1,83588,44527059.49999997
2026-04-16 20:00:00,2026-04-16 20:53:03,532.1,532.1,531.7,531.7,2268,1206275.3000000003
2026-04-16 21:00:00,2026-04-16 21:57:08,531.7,532.1,531.6,531.6,1775,943742.6
2026-04-16 22:00:00,2026-04-16 22:59:59,531.8,532.0,531.6,532.0,1607,854666.3000000002
2026-04-16 23:00:00,2026-04-16 23:59:58,531.9,532.5,531.6,532.1,6549,3483240.0000000005
2026-04-17 06:00:00,2026-04-17 06:59:59,531.3,531.3,531.3,531.3,27,14345.1
2026-04-17 07:00:00,2026-04-17 07:59:59,532.1,532.8,530.1,530.5,31226,16578930.4
2026-04-17 08:00:00,2026-04-17 08:59:59,530.5,531.2,530.5,530.9,11900,6314042.500000001
2026-04-17 09:00:00,2026-04-17 09:59:59,530.9,531.5,530.2,530.8,39369,20890999.20000001
2026-04-17 10:00:00,2026-04-17 10:59:02,530.8,532.0,530.4,532.0,50179,26639400.000000004
2026-04-17 11:00:00,2026-04-17 11:59:59,531.9,532.1,531.5,531.5,23735,12622661.700000001
2026-04-17 12:00:00,2026-04-17 12:59:59,531.5,531.8,531.5,531.6,14058,7473172.399999997
2026-04-17 13:00:00,2026-04-17 13:59:02,531.5,531.8,531.1,531.5,9890,5255530.000000001
2026-04-17 14:00:00,2026-04-17 14:59:59,531.5,532.2,531.4,531.9,46693,24838972.7
2026-04-17 15:00:00,2026-04-17 15:59:03,532.1,532.4,531.8,532.0,21851,11625838.000000002
2026-04-17 16:00:00,2026-04-17 16:59:59,532.0,532.0,531.1,531.6,44088,23435455.300000012
2026-04-17 17:00:00,2026-04-17 17:59:59,531.6,532.3,531.6,532.0,22138,11775443.7
2026-04-17 18:00:00,2026-04-17 18:58:08,532.0,533.0,532.0,532.0,29880,15914849.299999995
2026-04-17 19:00:00,2026-04-17 19:59:04,532.1,533.4,532.1,532.8,5682,3027181.2
2026-04-17 20:00:00,2026-04-17 20:58:03,532.8,533.0,532.4,532.6,2438,1298579.4000000004
