timestamps,end,open,high,low,close,volume,amount
2026-04-15 00:00:00,2026-04-15 00:59:59.999,83.61,83.95,83.54,83.82,75895.949,6353522.80441
2026-04-15 01:00:00,2026-04-15 01:59:59.999,83.81,83.94,83.3,83.51,159541.969,13325576.84154
2026-04-15 02:00:00,2026-04-15 02:59:59.999,83.51,84.06,83.46,83.72,112006.345,9382692.06108
2026-04-15 03:00:00,2026-04-15 03:59:59.999,83.72,84.06,83.53,83.78,191698.643,16056190.44356
2026-04-15 04:00:00,2026-04-15 04:59:59.999,83.78,84.03,83.55,83.91,132604.639,11110748.50651
2026-04-15 05:00:00,2026-04-15 05:59:59.999,83.92,84.02,83.13,83.4,129297.803,10798002.22262
2026-04-15 06:00:00,2026-04-15 06:59:59.999,83.4,83.52,83.29,83.45,39882.139,3325838.20208
2026-04-15 07:00:00,2026-04-15 07:59:59.999,83.45,83.66,83.32,83.61,53482.98,4467257.73448
2026-04-15 08:00:00,2026-04-15 08:59:59.999,83.6,83.79,82.95,83.14,129880.496,10808328.81428
2026-04-15 09:00:00,2026-04-15 09:59:59.999,83.13,83.14,82.86,83.01,66020.402,5479220.5844
2026-04-15 10:00:00,2026-04-15 10:59:59.999,83.01,83.22,82.65,82.92,114464.794,9485049.964
2026-04-15 11:00:00,2026-04-15 11:59:59.999,82.92,83.29,82.71,83.14,81498.952,6764055.76491
2026-04-15 12:00:00,2026-04-15 12:59:59.999,83.14,83.24,82.87,83.16,73375.286,6095518.63231
2026-04-15 13:00:00,2026-04-15 13:59:59.999,83.16,83.66,82.9,83.15,93362.487,7768277.62384
2026-04-15 14:00:00,2026-04-15 14:59:59.999,83.16,83.68,83.06,83.61,98363.239,8205468.74641
2026-04-15 15:00:00,2026-04-15 15:59:59.999,83.6,83.89,83.38,83.72,100348.268,8392841.22194
2026-04-15 16:00:00,2026-04-15 16:59:59.999,83.71,83.81,83.21,83.63,120686.845,10077535.30342
2026-04-15 17:00:00,2026-04-15 17:59:59.999,83.63,84.49,83.41,84.3,157451.702,13236649.75816
2026-04-15 18:00:00,2026-04-15 18:59:59.999,84.31,84.47,83.5,84.0,141872.258,11906871.36488
2026-04-15 19:00:00,2026-04-15 19:59:59.999,84.0,84.7,83.9,84.54,128392.206,10842361.896
2026-04-15 20:00:00,2026-04-15 20:59:59.999,84.54,85.14,84.44,84.69,129574.96,10983534.74854
2026-04-15 21:00:00,2026-04-15 21:59:59.999,84.7,85.06,84.59,85.03,78508.136,6666205.06475
2026-04-15 22:00:00,2026-04-15 22:59:59.999,85.03,85.83,84.93,85.51,151069.121,12899809.78023
2026-04-15 23:00:00,2026-04-15 23:59:59.999,85.51,85.56,84.63,84.79,135827.107,11533242.17162
2026-04-16 00:00:00,2026-04-16 00:59:59.999,84.79,84.89,84.18,84.78,92419.998,7810092.04715
2026-04-16 01:00:00,2026-04-16 01:59:59.999,84.78,85.59,84.73,85.02,93709.131,7981516.84197
2026-04-16 02:00:00,2026-04-16 02:59:59.999,85.02,85.03,84.62,84.9,68657.001,5823841.10212
2026-04-16 03:00:00,2026-04-16 03:59:59.999,84.9,85.06,84.48,84.92,60078.792,5093178.4983
2026-04-16 04:00:00,2026-04-16 04:59:59.999,84.93,84.93,84.45,84.85,48658.324,4121946.9751
2026-04-16 05:00:00,2026-04-16 05:59:59.999,84.84,85.58,84.71,85.1,87837.026,7482371.5154
2026-04-16 06:00:00,2026-04-16 06:59:59.999,85.1,85.5,85.08,85.28,73354.387,6257686.07144
2026-04-16 07:00:00,2026-04-16 07:59:59.999,85.29,85.56,84.99,85.24,61129.352,5213842.97722
2026-04-16 08:00:00,2026-04-16 08:59:59.999,85.23,85.52,85.06,85.4,46915.043,4002106.69487
2026-04-16 09:00:00,2026-04-16 09:59:59.999,85.41,85.54,85.18,85.47,41697.542,3560927.12026
2026-04-16 10:00:00,2026-04-16 10:59:59.999,85.48,85.71,85.11,85.21,92560.619,7913514.42032
2026-04-16 11:00:00,2026-04-16 11:59:59.999,85.21,85.31,84.9,85.03,101991.841,8679787.85382
2026-04-16 12:00:00,2026-04-16 12:59:59.999,85.04,85.51,84.96,85.2,112014.378,9554130.70787
2026-04-16 13:00:00,2026-04-16 13:59:59.999,85.2,85.25,84.64,85.04,98249.506,8353594.54353
2026-04-16 14:00:00,2026-04-16 14:59:59.999,85.04,85.17,84.94,85.07,45443.987,3864072.84961
2026-04-16 15:00:00,2026-04-16 15:59:59.999,85.07,85.5,85.06,85.38,56250.489,4799155.28967
