timestamps,end,open,high,low,close,volume,amount
2026-05-14 06:00:00,2026-05-14 06:59:59,28.7,28.7,28.7,28.7,170,4879.0
2026-05-14 07:00:00,2026-05-14 07:59:59,28.71,28.81,28.6,28.77,544590,15625782.3
2026-05-14 08:00:00,2026-05-14 08:59:59,28.78,28.8,28.67,28.72,303110,8710939.499999998
2026-05-14 09:00:00,2026-05-14 09:59:59,28.69,28.72,28.51,28.54,1103310,31527175.799999986
2026-05-14 10:00:00,2026-05-14 10:59:59,28.55,28.6,28.45,28.48,1074380,30639981.900000002
2026-05-14 11:00:00,2026-05-14 11:59:59,28.47,28.74,28.45,28.71,1381690,39552576.39999999
2026-05-14 12:00:00,2026-05-14 12:59:59,28.73,28.79,28.57,28.64,1269240,36380316.599999994
2026-05-14 13:00:00,2026-05-14 13:59:59,28.62,28.69,28.56,28.58,1226700,35081089.000000015
2026-05-14 14:00:00,2026-05-14 14:59:59,28.58,28.7,28.53,28.68,762680,21825674.299999997
2026-05-14 15:00:00,2026-05-14 15:59:59,28.68,28.68,28.12,28.18,4903360,138854138.0
2026-05-14 16:00:00,2026-05-14 16:59:59,28.18,28.32,28.12,28.29,1989960,56162577.500000015
2026-05-14 17:00:00,2026-05-14 17:59:59,28.29,28.34,28.26,28.3,995290,28166981.299999993
2026-05-14 18:00:00,2026-05-14 18:58:07,28.28,28.29,28.05,28.13,1703420,47991155.800000004
2026-05-14 19:00:00,2026-05-14 19:59:59,28.13,28.23,28.13,28.16,640290,18047548.099999994
2026-05-14 20:00:00,2026-05-14 20:59:59,28.17,28.2,28.07,28.08,416290,11707673.0
2026-05-14 21:00:00,2026-05-14 21:59:59,28.08,28.11,28.06,28.11,255300,7171791.0
2026-05-14 22:00:00,2026-05-14 22:59:59,28.1,28.11,28.06,28.07,249520,7005537.6
2026-05-14 23:00:00,2026-05-14 23:59:58,28.07,28.11,28.02,28.08,580560,16292272.699999997
2026-05-15 06:00:00,2026-05-15 06:59:59,28.02,28.02,28.02,28.02,10560,295891.19999999995
2026-05-15 07:00:00,2026-05-15 07:59:59,28.08,28.24,28.02,28.15,928490,26136413.4
2026-05-15 08:00:00,2026-05-15 08:59:59,28.14,28.23,28.1,28.15,450590,12686816.5
2026-05-15 09:00:00,2026-05-15 09:59:59,28.13,28.24,28.11,28.2,526030,14826959.300000003
2026-05-15 10:00:00,2026-05-15 10:59:59,28.2,28.24,28.03,28.1,1128130,31745602.599999994
2026-05-15 11:00:00,2026-05-15 11:59:59,28.11,28.12,27.81,27.84,3643330,101784070.70000002
2026-05-15 12:00:00,2026-05-15 12:59:59,27.84,27.96,27.74,27.83,2060000,57344602.3
2026-05-15 13:00:00,2026-05-15 13:59:59,27.83,27.87,27.8,27.86,470640,13098654.200000001
2026-05-15 14:00:00,2026-05-15 14:59:59,27.86,27.87,27.78,27.83,745310,20734421.3
2026-05-15 15:00:00,2026-05-15 15:59:59,27.85,27.85,27.6,27.7,1699310,47065372.59999999
