timestamps,end,open,high,low,close,volume,amount
2026-05-14 00:00:00,2026-05-14 00:59:59.999,672.47,672.5,669.07,669.28,2931.105,1964398.50293
2026-05-14 01:00:00,2026-05-14 01:59:59.999,669.28,672.25,668.2,672.08,2829.462,1896410.13979
2026-05-14 02:00:00,2026-05-14 02:59:59.999,672.09,673.84,671.15,671.68,3472.638,2334259.96371
2026-05-14 03:00:00,2026-05-14 03:59:59.999,671.68,677.52,671.51,675.18,9694.164,6546699.14915
2026-05-14 04:00:00,2026-05-14 04:59:59.999,675.18,676.39,673.86,675.5,4853.945,3277572.06593
2026-05-14 05:00:00,2026-05-14 05:59:59.999,675.5,675.69,669.34,669.93,4115.397,2768994.00104
2026-05-14 06:00:00,2026-05-14 06:59:59.999,669.94,671.64,665.42,665.92,6888.812,4602473.24299
2026-05-14 07:00:00,2026-05-14 07:59:59.999,665.91,668.53,665.47,667.47,5541.643,3699117.79503
2026-05-14 08:00:00,2026-05-14 08:59:59.999,667.47,671.5,667.05,669.75,6766.685,4526566.26006
2026-05-14 09:00:00,2026-05-14 09:59:59.999,669.75,671.49,668.8,670.11,5589.752,3746089.27491
2026-05-14 10:00:00,2026-05-14 10:59:59.999,670.11,672.06,668.2,669.34,6346.653,4255077.00282
2026-05-14 11:00:00,2026-05-14 11:59:59.999,669.33,673.45,668.55,673.02,5586.126,3750735.08527
2026-05-14 12:00:00,2026-05-14 12:59:59.999,673.02,673.39,669.33,670.63,5811.41,3899344.12308
2026-05-14 13:00:00,2026-05-14 13:59:59.999,670.63,673.34,670.46,673.2,4702.751,3159274.40224
2026-05-14 14:00:00,2026-05-14 14:59:59.999,673.21,673.96,670.84,670.85,4787.91,3218734.93483
2026-05-14 15:00:00,2026-05-14 15:59:59.999,670.85,678.56,670.62,678.25,11877.128,8018914.49383
2026-05-14 16:00:00,2026-05-14 16:59:59.999,678.25,678.64,673.79,674.36,8359.154,5651417.52169
2026-05-14 17:00:00,2026-05-14 17:59:59.999,674.37,680.36,673.89,678.29,12136.988,8226247.54965
2026-05-14 18:00:00,2026-05-14 18:59:59.999,678.29,680.58,676.4,679.98,10891.433,7393676.0074
2026-05-14 19:00:00,2026-05-14 19:59:59.999,679.98,682.74,678.48,682.51,8495.615,5786030.65395
2026-05-14 20:00:00,2026-05-14 20:59:59.999,682.51,687.66,680.67,682.0,12991.006,8886800.42871
2026-05-14 21:00:00,2026-05-14 21:59:59.999,682.01,685.11,680.47,682.51,8836.665,6031452.83162
2026-05-14 22:00:00,2026-05-14 22:59:59.999,682.51,683.06,679.18,680.2,4189.792,2853430.24375
2026-05-14 23:00:00,2026-05-14 23:59:59.999,680.21,680.55,677.84,680.55,3658.797,2486201.39736
2026-05-15 00:00:00,2026-05-15 00:59:59.999,680.54,681.3,679.33,681.13,2530.387,1721794.30855
2026-05-15 01:00:00,2026-05-15 01:59:59.999,681.14,681.99,680.3,680.75,2004.445,1365235.75953
2026-05-15 02:00:00,2026-05-15 02:59:59.999,680.75,680.75,677.2,678.27,3143.372,2132747.43926
2026-05-15 03:00:00,2026-05-15 03:59:59.999,678.28,686.0,677.98,683.43,10947.224,7482003.55844
2026-05-15 04:00:00,2026-05-15 04:59:59.999,683.43,685.04,679.56,679.82,6118.282,4173764.27618
2026-05-15 05:00:00,2026-05-15 05:59:59.999,679.83,680.63,677.24,679.83,8477.249,5756039.88351
2026-05-15 06:00:00,2026-05-15 06:59:59.999,679.84,683.8,678.67,681.95,6048.032,4123009.25201
2026-05-15 07:00:00,2026-05-15 07:59:59.999,681.95,681.95,678.25,678.38,3103.505,2109652.45591
2026-05-15 08:00:00,2026-05-15 08:59:59.999,678.38,679.68,673.79,676.36,7709.472,5215786.78778
2026-05-15 09:00:00,2026-05-15 09:59:59.999,676.36,683.57,675.82,683.06,6801.311,4628488.03887
2026-05-15 10:00:00,2026-05-15 10:59:59.999,683.07,689.14,681.29,684.3,17240.806,11816364.3722
2026-05-15 11:00:00,2026-05-15 11:59:59.999,684.31,687.24,682.69,685.81,9857.393,6751241.15126
2026-05-15 12:00:00,2026-05-15 12:59:59.999,685.82,686.17,681.63,683.03,8038.876,5494986.58283
2026-05-15 13:00:00,2026-05-15 13:59:59.999,683.04,689.98,682.24,689.11,7127.836,4895636.97672
2026-05-15 14:00:00,2026-05-15 14:59:59.999,689.12,689.67,685.4,686.47,6917.469,4759918.7181
2026-05-15 15:00:00,2026-05-15 15:59:59.999,686.47,686.74,682.15,682.74,9412.363,6439545.63465
2026-05-15 16:00:00,2026-05-15 16:59:59.999,682.75,682.75,670.65,671.51,18900.497,12791817.93861
2026-05-15 17:00:00,2026-05-15 17:59:59.999,671.51,676.73,670.0,676.04,9644.948,6500161.49928
2026-05-15 18:00:00,2026-05-15 18:59:59.999,676.03,676.5,669.16,671.73,8287.86,5574443.72711
2026-05-15 19:00:00,2026-05-15 19:59:59.999,671.73,675.24,671.16,674.66,3406.597,2294924.98344
2026-05-15 20:00:00,2026-05-15 20:59:59.999,674.67,676.72,674.44,675.31,2985.079,2016677.55647
2026-05-15 21:00:00,2026-05-15 21:59:59.999,675.32,676.59,673.13,674.41,2132.772,1439108.19196
2026-05-15 22:00:00,2026-05-15 22:59:59.999,674.4,675.31,672.42,674.04,1891.43,1274857.42078
2026-05-15 23:00:00,2026-05-15 23:59:59.999,674.04,674.46,671.92,673.69,2122.954,1429566.21314
2026-05-16 00:00:00,2026-05-16 00:59:59.999,673.69,674.56,671.68,672.1,4261.595,2867901.58719
2026-05-16 01:00:00,2026-05-16 01:59:59.999,672.1,673.67,671.89,673.55,2522.184,1696663.42144
2026-05-16 02:00:00,2026-05-16 02:59:59.999,673.54,673.59,671.21,672.38,2548.637,1713790.74686
2026-05-16 03:00:00,2026-05-16 03:59:59.999,672.37,674.92,671.87,672.26,2742.209,1846556.89273
2026-05-16 04:00:00,2026-05-16 04:59:59.999,672.27,673.68,670.44,670.46,3614.52,2427444.73227
2026-05-16 05:00:00,2026-05-16 05:59:59.999,670.47,671.17,667.0,668.69,4504.025,3014002.91141
2026-05-16 06:00:00,2026-05-16 06:59:59.999,668.69,668.91,664.9,665.29,7387.447,4923351.64888
2026-05-16 07:00:00,2026-05-16 07:59:59.999,665.29,665.29,660.51,662.74,10775.312,7138225.24249
2026-05-16 08:00:00,2026-05-16 08:59:59.999,662.73,665.04,661.59,664.48,5574.851,3702107.28118
2026-05-16 09:00:00,2026-05-16 09:59:59.999,664.48,665.06,659.29,660.4,8232.783,5452938.13971
2026-05-16 10:00:00,2026-05-16 10:59:59.999,660.4,661.32,656.2,660.68,15480.441,10207233.61524
2026-05-16 11:00:00,2026-05-16 11:59:59.999,660.68,661.84,659.64,661.74,5644.244,3730485.2684
2026-05-16 12:00:00,2026-05-16 12:59:59.999,661.74,661.97,651.21,652.49,18817.327,12320012.69673
2026-05-16 13:00:00,2026-05-16 13:59:59.999,652.49,655.59,650.7,654.12,9706.976,6339351.13644
2026-05-16 14:00:00,2026-05-16 14:59:59.999,654.13,656.2,654.12,654.28,4323.165,2832288.01587
2026-05-16 15:00:00,2026-05-16 15:59:59.999,654.28,654.62,652.96,653.54,4630.365,3026895.19131
2026-05-16 16:00:00,2026-05-16 16:59:59.999,653.54,653.62,651.95,652.28,3655.441,2385755.98005
2026-05-16 17:00:00,2026-05-16 17:59:59.999,652.28,655.09,651.1,653.21,6065.412,3960279.55239
2026-05-16 18:00:00,2026-05-16 18:59:59.999,653.2,658.0,653.11,655.2,4904.965,3214520.96982
2026-05-16 19:00:00,2026-05-16 19:59:59.999,655.19,657.0,654.92,656.85,2932.385,1924270.29526
2026-05-16 20:00:00,2026-05-16 20:59:59.999,656.86,657.47,655.2,655.78,2214.518,1453073.34368
2026-05-16 21:00:00,2026-05-16 21:59:59.999,655.78,658.34,655.47,657.82,2277.304,1495184.84518
2026-05-16 22:00:00,2026-05-16 22:59:59.999,657.82,657.89,655.9,656.16,1408.328,924965.75455
2026-05-16 23:00:00,2026-05-16 23:59:59.999,656.16,657.51,656.04,656.67,1303.568,856241.11622
2026-05-17 00:00:00,2026-05-17 00:59:59.999,656.67,657.62,656.2,657.4,1296.581,851683.30962
2026-05-17 01:00:00,2026-05-17 01:59:59.999,657.39,657.44,656.34,656.47,767.459,504106.19709
2026-05-17 02:00:00,2026-05-17 02:59:59.999,656.47,657.13,655.73,656.2,1518.71,996887.73532
2026-05-17 03:00:00,2026-05-17 03:59:59.999,656.2,657.28,651.14,652.0,7138.043,4666145.86053
2026-05-17 04:00:00,2026-05-17 04:59:59.999,652.0,654.02,650.0,650.68,5365.333,3495730.35954
2026-05-17 05:00:00,2026-05-17 05:59:59.999,650.68,652.51,650.67,651.36,3310.043,2157227.41714
2026-05-17 06:00:00,2026-05-17 06:59:59.999,651.36,653.88,651.36,652.77,2524.614,1647950.5135
2026-05-17 07:00:00,2026-05-17 07:59:59.999,652.77,654.91,652.41,654.74,2455.685,1606248.92436
2026-05-17 08:00:00,2026-05-17 08:59:59.999,654.74,656.35,654.66,655.16,3311.555,2170778.76922
2026-05-17 09:00:00,2026-05-17 09:59:59.999,655.16,656.06,654.45,655.26,2305.544,1510555.86277
2026-05-17 10:00:00,2026-05-17 10:59:59.999,655.26,655.89,654.47,655.31,1842.571,1207388.41335
2026-05-17 11:00:00,2026-05-17 11:59:59.999,655.31,655.39,653.64,653.83,2240.036,1465760.11665
2026-05-17 12:00:00,2026-05-17 12:59:59.999,653.84,654.47,650.0,653.21,10620.711,6924396.15128
2026-05-17 13:00:00,2026-05-17 13:59:59.999,653.21,655.44,653.21,654.81,3981.816,2606952.80249
2026-05-17 14:00:00,2026-05-17 14:59:59.999,654.81,655.45,653.65,655.07,3250.843,2128246.93326
2026-05-17 15:00:00,2026-05-17 15:59:59.999,655.07,657.51,654.63,656.5,3357.966,2203230.82854
2026-05-17 16:00:00,2026-05-17 16:59:59.999,656.49,656.5,653.0,653.63,4035.602,2640400.16826
2026-05-17 17:00:00,2026-05-17 17:59:59.999,653.64,653.77,650.57,652.11,4503.24,2937632.87036
2026-05-17 18:00:00,2026-05-17 18:59:59.999,652.11,653.0,651.09,652.4,2566.47,1673561.85048
2026-05-17 19:00:00,2026-05-17 19:59:59.999,652.41,653.56,651.36,651.71,2113.895,1379349.47464
2026-05-17 20:00:00,2026-05-17 20:59:59.999,651.7,652.07,650.22,651.74,2269.568,1477719.57126
2026-05-17 21:00:00,2026-05-17 21:59:59.999,651.75,653.46,650.87,653.46,2258.338,1472610.89224
2026-05-17 22:00:00,2026-05-17 22:59:59.999,653.47,656.35,653.47,656.04,1484.697,972384.8477
2026-05-17 23:00:00,2026-05-17 23:59:59.999,656.04,656.27,653.87,654.59,1269.624,831322.32851
2026-05-18 00:00:00,2026-05-18 00:59:59.999,654.59,657.6,654.27,657.0,2352.223,1543503.97918
2026-05-18 01:00:00,2026-05-18 01:59:59.999,657.0,657.0,653.06,653.77,2221.008,1454285.71184
2026-05-18 02:00:00,2026-05-18 02:59:59.999,653.77,653.84,640.01,649.48,19032.527,12302076.6756
2026-05-18 03:00:00,2026-05-18 03:59:59.999,649.48,649.7,644.86,646.24,9471.044,6122201.18202
2026-05-18 04:00:00,2026-05-18 04:59:59.999,646.25,646.66,642.13,646.38,5666.936,3649843.48411
2026-05-18 05:00:00,2026-05-18 05:59:59.999,646.37,648.07,644.0,644.5,5366.753,3466539.97172
2026-05-18 06:00:00,2026-05-18 06:59:59.999,644.5,645.72,643.13,643.44,3565.387,2296958.4061
2026-05-18 07:00:00,2026-05-18 07:59:59.999,643.44,644.53,640.96,643.74,5489.751,3528910.82468
2026-05-18 08:00:00,2026-05-18 08:59:59.999,643.75,644.58,641.6,641.84,3495.885,2248464.73196
2026-05-18 09:00:00,2026-05-18 09:59:59.999,641.85,642.72,637.54,640.62,8953.74,5727465.00515
2026-05-18 10:00:00,2026-05-18 10:59:59.999,640.62,642.36,639.0,641.85,4169.67,2673032.10003
2026-05-18 11:00:00,2026-05-18 11:59:59.999,641.86,642.14,638.74,640.21,4494.243,2876924.73804
2026-05-18 12:00:00,2026-05-18 12:59:59.999,640.21,640.63,638.8,639.36,4317.78,2763079.41383
2026-05-18 13:00:00,2026-05-18 13:59:59.999,639.36,639.46,637.54,638.34,3453.508,2204005.37603
2026-05-18 14:00:00,2026-05-18 14:59:59.999,638.35,643.69,637.64,641.75,3999.973,2561880.47308
2026-05-18 15:00:00,2026-05-18 15:59:59.999,641.75,645.54,641.67,643.28,6425.742,4136568.9956
2026-05-18 16:00:00,2026-05-18 16:59:59.999,643.29,643.34,637.77,640.06,6242.88,3999064.70396
2026-05-18 17:00:00,2026-05-18 17:59:59.999,640.05,640.05,635.11,636.89,9282.81,5916256.9058
2026-05-18 18:00:00,2026-05-18 18:59:59.999,636.89,637.63,634.3,637.03,6847.297,4354374.80713
2026-05-18 19:00:00,2026-05-18 19:59:59.999,637.04,640.19,635.74,639.49,11370.24,7263416.12618
2026-05-18 20:00:00,2026-05-18 20:59:59.999,639.49,641.06,638.85,640.45,2109.492,1350651.50358
2026-05-18 21:00:00,2026-05-18 21:59:59.999,640.45,640.49,636.08,637.78,2827.363,1804670.83019
2026-05-18 22:00:00,2026-05-18 22:59:59.999,637.79,644.92,637.47,644.78,9105.763,5846155.06607
2026-05-18 23:00:00,2026-05-18 23:59:59.999,644.79,645.51,642.19,642.7,2224.343,1432893.21199
2026-05-19 00:00:00,2026-05-19 00:59:59.999,642.71,646.05,641.89,645.54,2323.409,1496939.46312
2026-05-19 01:00:00,2026-05-19 01:59:59.999,645.54,646.4,644.0,645.02,3050.464,1968968.69821
2026-05-19 02:00:00,2026-05-19 02:59:59.999,645.02,645.85,642.97,643.53,1926.747,1241326.68193
2026-05-19 03:00:00,2026-05-19 03:59:59.999,643.53,647.19,643.42,645.73,2592.654,1673865.24263
2026-05-19 04:00:00,2026-05-19 04:59:59.999,645.73,645.99,642.99,642.99,2961.477,1909605.63402
2026-05-19 05:00:00,2026-05-19 05:59:59.999,642.99,644.64,641.17,641.96,4070.303,2615660.59975
2026-05-19 06:00:00,2026-05-19 06:59:59.999,641.96,644.78,641.32,642.88,5457.332,3511636.39986
2026-05-19 07:00:00,2026-05-19 07:59:59.999,642.87,644.53,641.71,643.38,2419.53,1556076.22356
2026-05-19 08:00:00,2026-05-19 08:59:59.999,643.37,643.93,640.95,643.84,2463.012,1582913.09049
2026-05-19 09:00:00,2026-05-19 09:59:59.999,643.84,645.33,643.12,644.45,3525.525,2270921.26236
