timestamps,end,open,high,low,close,volume,amount
2026-05-14 08:00:00,2026-05-14 08:59:59,102.38,102.38,102.35,102.36,3,0
2026-05-14 09:00:00,2026-05-14 09:59:59,102.39,102.49,101.03,102.01,2059,0
2026-05-14 10:00:00,2026-05-14 10:59:59,102.02,103.02,102.0,102.91,2023,0
2026-05-14 11:00:00,2026-05-14 11:59:59,102.9,103.32,102.18,102.55,1773,0
2026-05-14 12:00:00,2026-05-14 12:59:59,102.52,102.96,102.0,102.26,1522,0
2026-05-14 13:00:00,2026-05-14 13:59:59,102.34,102.42,101.48,101.87,3000,0
2026-05-14 14:00:00,2026-05-14 14:59:59,101.82,102.05,100.88,101.08,2537,0
2026-05-14 15:00:00,2026-05-14 15:59:59,101.05,101.32,100.17,101.0,4822,0
2026-05-14 16:00:00,2026-05-14 16:59:59,101.0,101.75,100.92,101.64,2109,0
2026-05-14 17:00:00,2026-05-14 17:59:59,101.55,102.2,100.99,101.12,1877,0
2026-05-14 18:00:00,2026-05-14 18:59:59,101.14,101.6,100.92,101.11,1212,0
2026-05-14 19:00:00,2026-05-14 19:59:59,101.2,101.68,100.8,101.45,1272,0
2026-05-14 20:00:00,2026-05-14 20:59:59,101.45,102.16,101.36,102.01,1656,0
2026-05-14 21:00:00,2026-05-14 21:59:59,101.99,102.29,101.66,101.92,961,0
2026-05-14 22:00:00,2026-05-14 22:59:59,101.93,102.45,101.92,102.43,636,0
2026-05-14 23:00:00,2026-05-14 23:59:42,102.45,102.75,102.44,102.52,643,0
2026-05-15 08:00:00,2026-05-15 08:59:59,103.04,103.27,103.04,103.27,14,0
2026-05-15 09:00:00,2026-05-15 09:59:59,103.35,103.61,103.21,103.34,2433,0
2026-05-15 10:00:00,2026-05-15 10:59:59,103.32,103.75,102.94,103.75,1344,0
2026-05-15 11:00:00,2026-05-15 11:59:59,103.74,105.08,103.58,104.69,4560,0
2026-05-15 12:00:00,2026-05-15 12:59:59,104.75,105.23,104.34,104.91,2073,0
2026-05-15 13:00:00,2026-05-15 13:59:59,104.92,104.92,103.23,103.63,3908,0
2026-05-15 14:00:00,2026-05-15 14:59:59,103.61,104.47,103.51,104.42,1957,0
2026-05-15 15:00:00,2026-05-15 15:59:59,104.41,104.49,103.73,104.1,1062,0
2026-05-15 16:00:00,2026-05-15 16:59:01,104.11,104.61,103.84,104.58,2980,0
2026-05-15 17:00:00,2026-05-15 17:59:59,104.53,104.91,103.87,104.65,2595,0
2026-05-15 18:00:00,2026-05-15 18:59:59,104.63,105.2,104.33,105.0,1549,0
2026-05-15 19:00:00,2026-05-15 19:59:59,104.98,105.23,104.74,104.81,1104,0
2026-05-15 20:00:00,2026-05-15 20:59:59,104.75,105.02,104.6,104.8,1089,0
2026-05-15 21:00:00,2026-05-15 21:59:59,104.84,105.35,104.84,105.09,2060,0
2026-05-15 22:00:00,2026-05-15 22:59:59,105.11,105.31,105.0,105.15,494,0
2026-05-15 23:00:00,2026-05-15 23:59:41,105.17,105.42,105.02,105.19,463,0
2026-05-16 09:00:00,2026-05-16 09:59:59,105.75,105.75,105.75,105.75,20,0
2026-05-16 10:00:00,2026-05-16 10:59:59,105.32,106.06,105.26,105.94,994,0
2026-05-16 11:00:00,2026-05-16 11:59:59,105.94,106.0,105.88,105.88,200,0
2026-05-16 12:00:00,2026-05-16 12:56:21,105.88,105.96,105.71,105.96,218,0
2026-05-16 13:00:00,2026-05-16 13:57:21,105.9,105.98,105.85,105.95,149,0
2026-05-16 14:00:00,2026-05-16 14:59:21,105.92,105.92,105.85,105.88,68,0
2026-05-16 15:00:00,2026-05-16 15:57:01,105.86,105.95,105.86,105.94,66,0
2026-05-16 16:00:00,2026-05-16 16:51:20,105.91,105.94,105.85,105.85,58,0
2026-05-16 17:00:00,2026-05-16 17:59:20,105.86,105.86,105.75,105.78,100,0
2026-05-16 18:00:00,2026-05-16 18:59:59,105.73,105.79,105.47,105.55,153,0
2026-05-17 09:00:00,2026-05-17 09:59:59,105.63,105.64,105.63,105.64,4,0
2026-05-17 10:00:00,2026-05-17 10:59:59,105.74,105.93,105.7,105.72,263,0
2026-05-17 11:00:00,2026-05-17 11:57:21,105.72,105.72,105.61,105.69,235,0
2026-05-17 12:00:00,2026-05-17 12:59:00,105.67,105.82,105.67,105.77,101,0
2026-05-17 13:00:00,2026-05-17 13:59:59,105.76,105.81,105.69,105.77,105,0
2026-05-17 14:00:00,2026-05-17 14:59:21,105.77,105.87,105.69,105.85,74,0
2026-05-17 15:00:00,2026-05-17 15:59:21,105.85,105.87,105.77,105.87,63,0
2026-05-17 16:00:00,2026-05-17 16:58:01,105.86,105.89,105.81,105.88,81,0
2026-05-17 17:00:00,2026-05-17 17:59:59,105.89,106.1,105.85,106.09,627,0
