timestamps,end,open,high,low,close,volume,amount
2026-05-14 08:00:00,2026-05-14 08:59:59,10.941,10.941,10.941,10.941,173,0
2026-05-14 09:00:00,2026-05-14 09:59:59,10.943,10.956,10.934,10.944,137508,0
2026-05-14 10:00:00,2026-05-14 10:59:59,10.944,10.947,10.903,10.91,803114,0
2026-05-14 11:00:00,2026-05-14 11:59:59,10.91,10.914,10.889,10.906,758078,0
2026-05-14 12:00:00,2026-05-14 12:59:59,10.906,10.927,10.903,10.919,480638,0
2026-05-14 13:00:00,2026-05-14 13:59:59,10.919,10.923,10.9,10.914,499778,0
2026-05-14 14:00:00,2026-05-14 14:59:59,10.914,10.919,10.875,10.889,982401,0
2026-05-14 15:00:00,2026-05-14 15:59:59,10.89,10.913,10.884,10.906,1531044,0
2026-05-14 16:00:00,2026-05-14 16:59:59,10.905,10.914,10.895,10.906,932874,0
2026-05-14 17:00:00,2026-05-14 17:59:59,10.907,10.918,10.9,10.913,460012,0
2026-05-14 18:00:00,2026-05-14 18:59:59,10.913,10.915,10.899,10.901,203322,0
2026-05-14 19:00:00,2026-05-14 19:59:59,10.9,10.907,10.895,10.896,38142,0
2026-05-14 20:00:00,2026-05-14 20:59:59,10.896,10.903,10.895,10.9,19469,0
2026-05-14 21:00:00,2026-05-14 21:59:59,10.901,10.901,10.891,10.892,24528,0
2026-05-14 22:00:00,2026-05-14 22:59:59,10.891,10.895,10.887,10.887,35278,0
2026-05-14 23:00:00,2026-05-14 23:59:42,10.887,10.892,10.887,10.89,19700,0
2026-05-15 08:00:00,2026-05-15 08:59:59,10.88,10.889,10.88,10.889,501,0
2026-05-15 09:00:00,2026-05-15 09:59:59,10.884,10.896,10.862,10.866,217434,0
2026-05-15 10:00:00,2026-05-15 10:59:59,10.867,10.894,10.85,10.867,720332,0
2026-05-15 11:00:00,2026-05-15 11:59:59,10.867,10.875,10.848,10.855,703578,0
2026-05-15 12:00:00,2026-05-15 12:59:59,10.855,10.863,10.819,10.823,797066,0
2026-05-15 13:00:00,2026-05-15 13:59:59,10.822,10.842,10.82,10.83,403469,0
2026-05-15 14:00:00,2026-05-15 14:59:59,10.829,10.836,10.82,10.822,195631,0
2026-05-15 15:00:00,2026-05-15 15:59:59,10.822,10.841,10.82,10.838,347090,0
2026-05-15 16:00:00,2026-05-15 16:59:59,10.838,10.839,10.82,10.821,294169,0
2026-05-15 17:00:00,2026-05-15 17:59:59,10.821,10.821,10.794,10.805,466551,0
2026-05-15 18:00:00,2026-05-15 18:59:59,10.806,10.82,10.802,10.816,156833,0
2026-05-15 19:00:00,2026-05-15 19:59:59,10.815,10.818,10.802,10.802,55668,0
2026-05-15 20:00:00,2026-05-15 20:59:59,10.802,10.804,10.796,10.8,32700,0
2026-05-15 21:00:00,2026-05-15 21:59:59,10.8,10.806,10.798,10.804,33583,0
2026-05-15 22:00:00,2026-05-15 22:59:59,10.805,10.808,10.804,10.806,27728,0
2026-05-15 23:00:00,2026-05-15 23:59:41,10.806,10.808,10.799,10.805,34422,0
2026-05-18 08:00:00,2026-05-18 08:59:59,10.8,10.8,10.796,10.796,1022,0
2026-05-18 09:00:00,2026-05-18 09:59:59,10.795,10.81,10.77,10.775,224422,0
2026-05-18 10:00:00,2026-05-18 10:59:59,10.775,10.779,10.736,10.742,1004628,0
2026-05-18 11:00:00,2026-05-18 11:59:59,10.742,10.757,10.723,10.739,607468,0
2026-05-18 12:00:00,2026-05-18 12:59:59,10.739,10.746,10.73,10.745,1015033,0
2026-05-18 13:00:00,2026-05-18 13:59:59,10.745,10.758,10.714,10.729,812721,0
2026-05-18 14:00:00,2026-05-18 14:59:59,10.73,10.731,10.711,10.713,336589,0
2026-05-18 15:00:00,2026-05-18 15:59:59,10.713,10.74,10.695,10.734,1002348,0
2026-05-18 16:00:00,2026-05-18 16:59:59,10.734,10.742,10.721,10.732,347937,0
2026-05-18 17:00:00,2026-05-18 17:59:59,10.732,10.744,10.719,10.737,296985,0
2026-05-18 18:00:00,2026-05-18 18:59:59,10.737,10.743,10.719,10.726,202068,0
2026-05-18 19:00:00,2026-05-18 19:59:59,10.727,10.728,10.703,10.707,80854,0
2026-05-18 20:00:00,2026-05-18 20:59:59,10.707,10.711,10.704,10.705,22179,0
2026-05-18 21:00:00,2026-05-18 21:59:59,10.704,10.706,10.693,10.698,43769,0
2026-05-18 22:00:00,2026-05-18 22:59:59,10.698,10.702,10.691,10.7,44867,0
2026-05-18 23:00:00,2026-05-18 23:59:41,10.7,10.7,10.681,10.685,68822,0
2026-05-19 08:00:00,2026-05-19 08:59:59,10.685,10.685,10.681,10.683,286,0
2026-05-19 09:00:00,2026-05-19 09:59:59,10.683,10.694,10.643,10.646,425777,0
2026-05-19 10:00:00,2026-05-19 10:59:59,10.647,10.648,10.552,10.553,1964005,0
2026-05-19 11:00:00,2026-05-19 11:59:59,10.553,10.587,10.553,10.56,776548,0
2026-05-19 12:00:00,2026-05-19 12:59:59,10.561,10.567,10.53,10.538,1111561,0
2026-05-19 13:00:00,2026-05-19 13:59:59,10.539,10.549,10.53,10.539,596696,0
2026-05-19 14:00:00,2026-05-19 14:59:59,10.539,10.572,10.533,10.565,1171207,0
2026-05-19 15:00:00,2026-05-19 15:59:59,10.564,10.576,10.513,10.523,877142,0
2026-05-19 16:00:00,2026-05-19 16:59:59,10.523,10.531,10.505,10.514,669491,0
2026-05-19 17:00:00,2026-05-19 17:59:59,10.514,10.539,10.493,10.502,1571304,0
2026-05-19 18:00:00,2026-05-19 18:59:59,10.502,10.505,10.46,10.465,893624,0
2026-05-19 19:00:00,2026-05-19 19:59:59,10.465,10.473,10.45,10.453,236744,0
2026-05-19 20:00:00,2026-05-19 20:59:59,10.454,10.457,10.44,10.453,142945,0
2026-05-19 21:00:00,2026-05-19 21:59:59,10.453,10.453,10.43,10.433,134632,0
2026-05-19 22:00:00,2026-05-19 22:59:59,10.435,10.441,10.43,10.435,85814,0
2026-05-19 23:00:00,2026-05-19 23:59:41,10.435,10.436,10.42,10.427,110234,0
2026-05-20 08:00:00,2026-05-20 08:59:59,10.424,10.424,10.424,10.424,200,0
2026-05-20 09:00:00,2026-05-20 09:59:59,10.423,10.424,10.367,10.403,818242,0
2026-05-20 10:00:00,2026-05-20 10:59:59,10.405,10.57,10.402,10.54,3350202,0
2026-05-20 11:00:00,2026-05-20 11:59:59,10.541,10.57,10.512,10.563,1249353,0
2026-05-20 12:00:00,2026-05-20 12:59:59,10.563,10.567,10.526,10.553,952931,0
2026-05-20 13:00:00,2026-05-20 13:59:59,10.554,10.605,10.545,10.586,1835356,0
2026-05-20 14:00:00,2026-05-20 14:59:59,10.586,10.589,10.557,10.58,544793,0
