timestamps,end,open,high,low,close,volume,amount
2026-05-14 00:00:00,2026-05-14 00:59:59.999,2263.76,2264.07,2253.7,2255.79,3683.1732,8313398.040208
2026-05-14 01:00:00,2026-05-14 01:59:59.999,2255.8,2260.55,2251.0,2259.6,4213.4589,9503010.512846
2026-05-14 02:00:00,2026-05-14 02:59:59.999,2259.59,2261.79,2254.83,2258.65,3474.1615,7847776.395846
2026-05-14 03:00:00,2026-05-14 03:59:59.999,2258.66,2269.37,2258.14,2266.58,6486.757,14696989.330866
2026-05-14 04:00:00,2026-05-14 04:59:59.999,2266.58,2269.37,2259.9,2264.91,4348.5964,9848223.714694
2026-05-14 05:00:00,2026-05-14 05:59:59.999,2264.9,2266.75,2247.71,2251.53,8195.2617,18516751.662768
2026-05-14 06:00:00,2026-05-14 06:59:59.999,2251.54,2255.0,2238.64,2242.14,9365.1462,21027677.670569
2026-05-14 07:00:00,2026-05-14 07:59:59.999,2242.14,2258.25,2239.54,2256.7,5139.3202,11573317.327876
2026-05-14 08:00:00,2026-05-14 08:59:59.999,2256.69,2273.71,2255.53,2268.44,10348.163,23435916.810265
2026-05-14 09:00:00,2026-05-14 09:59:59.999,2268.44,2275.2,2266.86,2267.71,8095.9777,18385282.6513
2026-05-14 10:00:00,2026-05-14 10:59:59.999,2267.72,2270.79,2263.88,2265.48,5020.0728,11384964.278469
2026-05-14 11:00:00,2026-05-14 11:59:59.999,2265.49,2270.99,2262.05,2266.36,7411.1537,16800379.580159
2026-05-14 12:00:00,2026-05-14 12:59:59.999,2266.35,2267.72,2252.76,2257.8,8310.4377,18784676.686169
2026-05-14 13:00:00,2026-05-14 13:59:59.999,2257.8,2265.51,2255.84,2262.14,7115.7591,16089879.473615
2026-05-14 14:00:00,2026-05-14 14:59:59.999,2262.13,2264.0,2252.53,2253.81,8187.7599,18479610.29347
2026-05-14 15:00:00,2026-05-14 15:59:59.999,2253.81,2263.24,2248.0,2261.48,8236.3744,18584335.954448
2026-05-14 16:00:00,2026-05-14 16:59:59.999,2261.48,2265.32,2248.43,2249.42,15476.0602,34937176.457468
2026-05-14 17:00:00,2026-05-14 17:59:59.999,2249.42,2289.0,2246.13,2286.99,22674.6006,51511942.651411
2026-05-14 18:00:00,2026-05-14 18:59:59.999,2287.0,2299.7,2280.63,2298.48,22364.7492,51206716.808978
2026-05-14 19:00:00,2026-05-14 19:59:59.999,2298.48,2318.66,2293.96,2316.36,28595.7539,65938238.550022
2026-05-14 20:00:00,2026-05-14 20:59:59.999,2316.35,2319.33,2296.57,2308.18,20630.7928,47621166.062352
2026-05-14 21:00:00,2026-05-14 21:59:59.999,2308.17,2316.78,2303.0,2309.63,11885.1714,27471219.692692
2026-05-14 22:00:00,2026-05-14 22:59:59.999,2309.64,2312.22,2297.5,2298.34,10168.4499,23420738.586001
2026-05-14 23:00:00,2026-05-14 23:59:59.999,2298.34,2301.43,2288.7,2298.08,8543.8195,19597729.074634
2026-05-15 00:00:00,2026-05-15 00:59:59.999,2298.08,2300.27,2290.0,2297.19,6869.1293,15769403.499381
2026-05-15 01:00:00,2026-05-15 01:59:59.999,2297.2,2301.67,2295.2,2298.16,4426.4912,10173315.044262
2026-05-15 02:00:00,2026-05-15 02:59:59.999,2298.16,2298.16,2280.18,2283.25,8785.0381,20113056.735551
2026-05-15 03:00:00,2026-05-15 03:59:59.999,2283.26,2300.29,2281.78,2291.39,9357.0866,21433842.813917
2026-05-15 04:00:00,2026-05-15 04:59:59.999,2291.39,2294.74,2274.06,2275.45,14053.4348,32093708.586177
2026-05-15 05:00:00,2026-05-15 05:59:59.999,2275.46,2279.26,2260.45,2276.37,21187.1974,48087551.787995
2026-05-15 06:00:00,2026-05-15 06:59:59.999,2276.37,2279.64,2267.98,2273.34,12349.3,28075451.625884
2026-05-15 07:00:00,2026-05-15 07:59:59.999,2273.35,2273.91,2262.74,2263.33,5390.7915,12227413.536069
2026-05-15 08:00:00,2026-05-15 08:59:59.999,2263.33,2267.0,2237.95,2245.41,25297.9003,56916319.260713
2026-05-15 09:00:00,2026-05-15 09:59:59.999,2245.4,2256.92,2243.8,2255.35,8254.6943,18582805.247382
2026-05-15 10:00:00,2026-05-15 10:59:59.999,2255.36,2271.64,2253.63,2265.11,11363.6377,25732894.796833
2026-05-15 11:00:00,2026-05-15 11:59:59.999,2265.11,2265.42,2250.0,2257.56,10928.0066,24668468.715352
2026-05-15 12:00:00,2026-05-15 12:59:59.999,2257.56,2260.0,2250.82,2254.5,5542.7633,12500424.172039
2026-05-15 13:00:00,2026-05-15 13:59:59.999,2254.5,2264.49,2252.35,2262.44,7868.504,17768064.679125
2026-05-15 14:00:00,2026-05-15 14:59:59.999,2262.44,2263.95,2257.26,2257.57,6432.378,14535738.693068
2026-05-15 15:00:00,2026-05-15 15:59:59.999,2257.56,2260.72,2251.14,2254.29,7355.9121,16591278.578965
2026-05-15 16:00:00,2026-05-15 16:59:59.999,2254.29,2254.29,2210.31,2213.68,42412.9939,94582856.39288
2026-05-15 17:00:00,2026-05-15 17:59:59.999,2213.69,2223.79,2205.11,2213.35,36623.717,81078949.202559
2026-05-15 18:00:00,2026-05-15 18:59:59.999,2213.35,2223.96,2209.79,2222.85,11937.2392,26467640.61299
2026-05-15 19:00:00,2026-05-15 19:59:59.999,2222.86,2231.11,2218.9,2224.59,11576.2953,25753772.490606
2026-05-15 20:00:00,2026-05-15 20:59:59.999,2224.59,2232.88,2224.26,2229.47,8834.4347,19685729.055962
2026-05-15 21:00:00,2026-05-15 21:59:59.999,2229.47,2232.86,2224.97,2228.36,6715.7959,14967878.560841
2026-05-15 22:00:00,2026-05-15 22:59:59.999,2228.35,2228.42,2222.27,2223.35,5728.0131,12744214.691978
2026-05-15 23:00:00,2026-05-15 23:59:59.999,2223.35,2226.13,2216.99,2220.14,6208.4965,13790929.908183
