timestamps,end,open,high,low,close,volume,amount
2026-05-14 06:00:00,2026-05-14 06:59:59,2540.0,2540.0,2540.0,2540.0,1,2540.0
2026-05-14 07:00:00,2026-05-14 07:59:01,2540.0,2540.0,2533.0,2533.5,1452,3680466.5
2026-05-14 08:00:00,2026-05-14 08:59:59,2533.5,2543.0,2532.0,2540.0,3065,7780330.0
2026-05-14 09:00:00,2026-05-14 09:59:59,2540.0,2541.0,2537.5,2537.5,1604,4071340.5
2026-05-14 10:00:00,2026-05-14 10:59:59,2537.0,2541.0,2531.0,2534.0,3864,9802226.5
2026-05-14 11:00:00,2026-05-14 11:59:59,2533.0,2533.0,2526.0,2529.5,5851,14800087.0
2026-05-14 12:00:00,2026-05-14 12:59:59,2529.5,2529.5,2519.0,2522.0,13256,33435828.0
2026-05-14 13:00:00,2026-05-14 13:59:59,2522.0,2525.0,2521.0,2521.5,6116,15430383.0
2026-05-14 14:00:00,2026-05-14 14:59:59,2522.0,2522.0,2515.0,2517.0,12487,31436573.5
2026-05-14 15:00:00,2026-05-14 15:59:59,2516.5,2523.0,2494.5,2499.0,57862,144947778.5
2026-05-14 16:00:00,2026-05-14 16:59:59,2499.0,2515.0,2491.5,2496.0,59347,148462537.5
2026-05-14 17:00:00,2026-05-14 17:59:59,2496.0,2500.0,2486.0,2492.0,48429,120710836.0
2026-05-14 18:00:00,2026-05-14 18:58:07,2492.5,2497.5,2491.5,2491.5,9632,24022671.0
2026-05-14 19:00:00,2026-05-14 19:59:59,2496.0,2498.5,2491.5,2496.0,6816,17005451.0
2026-05-14 20:00:00,2026-05-14 20:59:59,2496.0,2498.5,2493.0,2496.0,4234,10568158.0
2026-05-14 21:00:00,2026-05-14 21:59:59,2496.0,2497.0,2490.0,2493.5,13473,33581225.0
2026-05-14 22:00:00,2026-05-14 22:59:59,2492.0,2493.5,2478.5,2481.5,20492,50939500.5
2026-05-14 23:00:00,2026-05-14 23:59:58,2481.5,2482.0,2470.0,2470.5,27728,68612477.5
2026-05-15 06:00:00,2026-05-15 06:59:59,2472.0,2472.0,2472.0,2472.0,69,170568.0
2026-05-15 07:00:00,2026-05-15 07:59:59,2472.0,2499.5,2471.5,2475.0,26100,64817469.0
2026-05-15 08:00:00,2026-05-15 08:59:59,2474.5,2484.0,2472.5,2475.5,9124,22603925.0
2026-05-15 09:00:00,2026-05-15 09:59:59,2474.5,2486.0,2472.0,2481.0,12646,31374309.0
2026-05-15 10:00:00,2026-05-15 10:59:59,2480.0,2484.5,2465.0,2483.5,36404,90113868.5
2026-05-15 11:00:00,2026-05-15 11:59:59,2483.5,2485.0,2452.5,2467.5,70161,173022145.0
2026-05-15 12:00:00,2026-05-15 12:59:59,2467.0,2477.5,2461.5,2466.0,32361,79926371.0
2026-05-15 13:00:00,2026-05-15 13:59:59,2465.5,2472.0,2458.5,2461.5,19633,48356198.5
2026-05-15 14:00:00,2026-05-15 14:59:59,2461.5,2463.5,2441.5,2449.5,49005,120183240.5
2026-05-15 15:00:00,2026-05-15 15:59:59,2449.0,2449.0,2418.0,2429.0,93779,228022827.0
2026-05-15 16:00:00,2026-05-15 16:59:59,2429.0,2442.0,2426.0,2435.0,26600,64777679.0
2026-05-15 17:00:00,2026-05-15 17:59:59,2435.5,2436.0,2414.0,2425.0,42604,103167363.5
2026-05-15 18:00:00,2026-05-15 18:59:59,2425.0,2433.0,2421.5,2433.0,13279,32220739.0
2026-05-15 19:00:00,2026-05-15 19:59:59,2432.5,2432.5,2426.5,2428.0,5373,13054047.0
2026-05-15 20:00:00,2026-05-15 20:59:59,2430.0,2435.0,2426.0,2433.0,7264,17661643.5
2026-05-15 21:00:00,2026-05-15 21:59:59,2433.5,2434.0,2429.0,2432.5,4317,10495610.5
2026-05-15 22:00:00,2026-05-15 22:59:59,2432.0,2432.5,2426.0,2428.5,3885,9436815.0
2026-05-15 23:00:00,2026-05-15 23:59:57,2428.5,2434.5,2425.5,2432.0,4884,11862515.5
2026-05-16 09:00:00,2026-05-16 09:59:59,2430.0,2430.0,2430.0,2430.0,46,111780.0
2026-05-16 10:00:00,2026-05-16 10:59:59,2430.0,2435.0,2430.0,2433.5,1761,4284039.5
2026-05-16 11:00:00,2026-05-16 11:59:59,2433.5,2434.0,2423.5,2428.0,5800,14076877.5
2026-05-16 12:00:00,2026-05-16 12:59:05,2428.0,2431.5,2427.0,2431.5,4300,10443167.5
2026-05-16 13:00:00,2026-05-16 13:59:59,2431.0,2431.0,2426.0,2428.5,1365,3313530.0
2026-05-16 14:00:00,2026-05-16 14:59:59,2428.5,2429.0,2427.0,2429.0,1091,2648836.5
