timestamps,end,open,high,low,close,volume,amount
2026-05-14 08:00:00,2026-05-14 08:59:59,3.107,3.108,3.107,3.108,22,0
2026-05-14 09:00:00,2026-05-14 09:59:59,3.109,3.118,3.105,3.113,2931,0
2026-05-14 10:00:00,2026-05-14 10:59:59,3.114,3.124,3.108,3.12,3522,0
2026-05-14 11:00:00,2026-05-14 11:59:59,3.12,3.121,3.098,3.101,1653,0
2026-05-14 12:00:00,2026-05-14 12:59:59,3.099,3.111,3.095,3.102,1997,0
2026-05-14 13:00:00,2026-05-14 13:59:59,3.103,3.103,3.07,3.083,6530,0
2026-05-14 14:00:00,2026-05-14 14:59:59,3.082,3.092,3.064,3.065,3681,0
2026-05-14 15:00:00,2026-05-14 15:59:59,3.066,3.083,3.056,3.059,9928,0
2026-05-14 16:00:00,2026-05-14 16:59:59,3.056,3.069,3.036,3.047,12558,0
2026-05-14 17:00:00,2026-05-14 17:59:59,3.045,3.1,3.043,3.092,11948,0
2026-05-14 18:00:00,2026-05-14 18:59:59,3.089,3.121,3.088,3.117,7322,0
2026-05-14 19:00:00,2026-05-14 19:59:01,3.117,3.14,3.106,3.133,7477,0
2026-05-14 20:00:00,2026-05-14 20:58:02,3.13,3.138,3.113,3.118,5226,0
2026-05-14 21:00:00,2026-05-14 21:59:59,3.117,3.14,3.112,3.138,6031,0
2026-05-14 22:00:00,2026-05-14 22:59:59,3.139,3.14,3.124,3.125,1213,0
2026-05-14 23:00:00,2026-05-14 23:59:42,3.125,3.142,3.125,3.137,1040,0
2026-05-15 08:00:00,2026-05-15 08:59:59,3.143,3.143,3.143,3.143,1,0
2026-05-15 09:00:00,2026-05-15 09:59:59,3.142,3.149,3.131,3.149,3891,0
2026-05-15 10:00:00,2026-05-15 10:59:59,3.149,3.157,3.146,3.15,2930,0
2026-05-15 11:00:00,2026-05-15 11:59:59,3.151,3.162,3.142,3.144,4812,0
2026-05-15 12:00:00,2026-05-15 12:59:59,3.143,3.143,3.122,3.122,3616,0
2026-05-15 13:00:00,2026-05-15 13:59:59,3.123,3.13,3.117,3.129,4209,0
2026-05-15 14:00:00,2026-05-15 14:59:59,3.129,3.159,3.114,3.131,6653,0
2026-05-15 15:00:00,2026-05-15 15:59:59,3.129,3.174,3.124,3.15,12266,0
2026-05-15 16:00:00,2026-05-15 16:59:59,3.151,3.171,3.138,3.15,6591,0
2026-05-15 17:00:00,2026-05-15 17:59:59,3.151,3.163,3.118,3.158,6880,0
2026-05-15 18:00:00,2026-05-15 18:59:59,3.158,3.162,3.148,3.158,2499,0
2026-05-15 19:00:00,2026-05-15 19:59:59,3.155,3.169,3.145,3.161,3534,0
2026-05-15 20:00:00,2026-05-15 20:59:59,3.161,3.163,3.143,3.146,3076,0
2026-05-15 21:00:00,2026-05-15 21:59:59,3.142,3.158,3.142,3.156,2063,0
2026-05-15 22:00:00,2026-05-15 22:59:59,3.157,3.162,3.152,3.155,1198,0
2026-05-15 23:00:00,2026-05-15 23:59:42,3.157,3.157,3.147,3.148,1235,0
2026-05-16 10:00:00,2026-05-16 10:59:01,3.147,3.162,3.136,3.157,601,0
2026-05-16 11:00:00,2026-05-16 11:59:59,3.156,3.165,3.156,3.161,572,0
2026-05-16 12:00:00,2026-05-16 12:58:20,3.16,3.161,3.159,3.159,210,0
2026-05-16 13:00:00,2026-05-16 13:59:21,3.159,3.165,3.158,3.161,180,0
2026-05-16 14:00:00,2026-05-16 14:58:21,3.16,3.163,3.16,3.162,110,0
2026-05-16 15:00:00,2026-05-16 15:57:01,3.162,3.163,3.16,3.161,179,0
2026-05-16 16:00:00,2026-05-16 16:58:21,3.161,3.163,3.16,3.161,159,0
2026-05-16 17:00:00,2026-05-16 17:53:21,3.162,3.164,3.16,3.164,85,0
2026-05-16 18:00:00,2026-05-16 18:57:21,3.164,3.166,3.163,3.166,97,0
2026-05-17 10:00:00,2026-05-17 10:59:59,3.166,3.175,3.164,3.173,291,0
2026-05-17 11:00:00,2026-05-17 11:54:01,3.174,3.175,3.164,3.167,354,0
2026-05-17 12:00:00,2026-05-17 12:59:59,3.165,3.168,3.164,3.168,82,0
2026-05-17 13:00:00,2026-05-17 13:59:21,3.169,3.176,3.169,3.173,323,0
2026-05-17 14:00:00,2026-05-17 14:59:21,3.174,3.181,3.174,3.179,365,0
2026-05-17 15:00:00,2026-05-17 15:59:21,3.179,3.185,3.179,3.181,237,0
2026-05-17 16:00:00,2026-05-17 16:57:21,3.183,3.183,3.17,3.174,586,0
2026-05-17 17:00:00,2026-05-17 17:59:59,3.174,3.176,3.173,3.175,235,0
2026-05-17 18:00:00,2026-05-17 18:59:59,3.175,3.184,3.174,3.184,483,0
2026-05-18 08:00:00,2026-05-18 08:59:59,3.209,3.231,3.209,3.221,600,0
2026-05-18 09:00:00,2026-05-18 09:59:59,3.225,3.231,3.21,3.227,7906,0
2026-05-18 10:00:00,2026-05-18 10:59:59,3.226,3.227,3.217,3.22,3493,0
2026-05-18 11:00:00,2026-05-18 11:59:02,3.219,3.228,3.216,3.227,2038,0
2026-05-18 12:00:00,2026-05-18 12:59:59,3.227,3.235,3.223,3.232,2055,0
2026-05-18 13:00:00,2026-05-18 13:59:59,3.231,3.243,3.228,3.238,2561,0
2026-05-18 14:00:00,2026-05-18 14:59:59,3.238,3.239,3.197,3.212,8153,0
2026-05-18 15:00:00,2026-05-18 15:59:59,3.212,3.248,3.194,3.206,13043,0
2026-05-18 16:00:00,2026-05-18 16:59:59,3.206,3.221,3.158,3.168,11121,0
2026-05-18 17:00:00,2026-05-18 17:59:59,3.167,3.202,3.167,3.19,4581,0
2026-05-18 18:00:00,2026-05-18 18:59:59,3.188,3.206,3.176,3.2,4600,0
2026-05-18 19:00:00,2026-05-18 19:59:59,3.199,3.212,3.192,3.208,3070,0
2026-05-18 20:00:00,2026-05-18 20:59:59,3.208,3.223,3.208,3.218,2563,0
2026-05-18 21:00:00,2026-05-18 21:59:59,3.219,3.22,3.201,3.208,2757,0
2026-05-18 22:00:00,2026-05-18 22:59:59,3.208,3.211,3.197,3.21,1086,0
2026-05-18 23:00:00,2026-05-18 23:59:41,3.209,3.211,3.201,3.202,555,0
2026-05-19 09:00:00,2026-05-19 09:59:59,3.2,3.21,3.193,3.199,1635,0
2026-05-19 10:00:00,2026-05-19 10:59:59,3.199,3.207,3.197,3.201,1333,0
