timestamps,end,open,high,low,close,volume,amount
2026-05-14 06:00:00,2026-05-14 06:59:59,2186.0,2186.0,2186.0,2186.0,1197,2616642.0
2026-05-14 07:00:00,2026-05-14 07:59:59,2178.2,2185.4,2175.2,2180.0,14329,31232616.600000005
2026-05-14 08:00:00,2026-05-14 08:59:59,2180.0,2182.0,2178.6,2180.0,6349,13841542.999999996
2026-05-14 09:00:00,2026-05-14 09:59:59,2179.6,2180.0,2175.0,2175.4,18340,39926667.599999994
2026-05-14 10:00:00,2026-05-14 10:59:59,2175.8,2175.8,2164.0,2167.0,37676,81710695.99999999
2026-05-14 11:00:00,2026-05-14 11:59:59,2166.8,2178.0,2165.6,2173.4,28514,62006233.79999998
2026-05-14 12:00:00,2026-05-14 12:59:59,2173.0,2180.0,2173.0,2179.8,23334,50787579.80000001
2026-05-14 13:00:00,2026-05-14 13:59:59,2179.8,2180.8,2175.0,2179.6,17693,38531519.60000001
2026-05-14 14:00:00,2026-05-14 14:59:59,2179.6,2179.8,2176.0,2177.0,10262,22345831.400000006
2026-05-14 15:00:00,2026-05-14 15:59:59,2177.0,2177.0,2148.6,2153.2,82292,177806144.60000005
2026-05-14 16:00:00,2026-05-14 16:59:59,2153.2,2156.2,2149.0,2154.2,27876,59993629.2
2026-05-14 17:00:00,2026-05-14 17:59:59,2153.8,2159.8,2152.2,2154.0,21683,46769685.0
2026-05-14 18:00:00,2026-05-14 18:59:07,2153.8,2155.0,2125.4,2134.0,57327,122657480.4
2026-05-14 19:00:00,2026-05-14 19:59:59,2134.2,2138.4,2127.4,2137.0,29668,63290873.80000001
2026-05-14 20:00:00,2026-05-14 20:59:59,2137.6,2143.8,2134.0,2134.2,27223,58243506.000000015
2026-05-14 21:00:00,2026-05-14 21:59:59,2134.4,2141.0,2132.8,2136.0,14610,31211344.6
2026-05-14 22:00:00,2026-05-14 22:59:59,2135.4,2138.8,2132.0,2136.0,7817,16696489.000000002
2026-05-14 23:00:00,2026-05-14 23:59:58,2136.0,2139.4,2131.8,2132.2,14141,30198762.2
2026-05-15 06:00:00,2026-05-15 06:59:59,2129.0,2129.0,2129.0,2129.0,401,853729.0
2026-05-15 07:00:00,2026-05-15 07:59:59,2128.2,2129.8,2108.0,2118.0,68391,144902276.4
2026-05-15 08:00:00,2026-05-15 08:59:59,2118.2,2119.2,2093.0,2093.0,96249,202422742.60000002
2026-05-15 09:00:00,2026-05-15 09:59:59,2093.2,2119.0,2092.8,2112.0,74092,156157635.8
2026-05-15 10:00:00,2026-05-15 10:59:59,2112.2,2118.8,2108.8,2113.0,43314,91603581.40000002
2026-05-15 11:00:00,2026-05-15 11:59:59,2113.0,2136.2,2104.8,2123.2,66836,141659424.8
2026-05-15 12:00:00,2026-05-15 12:59:59,2124.0,2141.0,2120.0,2128.8,64689,137968203.00000003
2026-05-15 13:00:00,2026-05-15 13:59:59,2129.0,2144.0,2128.8,2140.6,39262,84017040.60000001
2026-05-15 14:00:00,2026-05-15 14:59:59,2140.8,2145.0,2129.2,2136.2,50055,106950959.80000001
2026-05-15 15:00:00,2026-05-15 15:59:59,2136.0,2146.4,2132.0,2138.6,28064,60050896.99999999
2026-05-15 16:00:00,2026-05-15 16:59:59,2138.4,2141.6,2126.6,2128.2,28437,60660684.39999998
2026-05-15 17:00:00,2026-05-15 17:59:59,2128.0,2140.2,2123.0,2139.8,114147,243353322.20000002
2026-05-15 18:00:00,2026-05-15 18:59:07,2139.8,2139.8,2106.0,2116.6,150491,319378996.8000001
2026-05-15 19:00:00,2026-05-15 19:59:59,2117.6,2122.0,2113.6,2113.8,19634,41591731.00000002
2026-05-15 20:00:00,2026-05-15 20:59:59,2114.0,2119.0,2110.4,2114.4,18595,39317364.99999999
2026-05-15 21:00:00,2026-05-15 21:59:59,2115.2,2119.0,2112.8,2116.4,12116,25640192.400000006
2026-05-15 22:00:00,2026-05-15 22:59:59,2116.2,2119.0,2110.2,2118.2,18677,39507695.199999996
2026-05-15 23:00:00,2026-05-15 23:59:57,2118.2,2120.0,2115.0,2120.0,78007,165307789.4
2026-05-16 09:00:00,2026-05-16 09:59:59,2078.6,2078.6,2078.6,2078.6,5505,11442692.99999999
2026-05-16 10:00:00,2026-05-16 10:59:59,2078.6,2091.4,2065.2,2072.2,81776,170078634.39999995
2026-05-16 11:00:00,2026-05-16 11:59:59,2071.8,2075.2,2068.4,2074.0,24008,49753731.199999996
2026-05-16 12:00:00,2026-05-16 12:59:59,2073.2,2084.4,2073.2,2084.0,19024,39561612.400000006
2026-05-16 13:00:00,2026-05-16 13:59:59,2083.8,2085.0,2076.8,2083.0,13266,27613314.199999996
2026-05-16 14:00:00,2026-05-16 14:59:59,2082.8,2083.0,2077.4,2079.8,5208,10831225.799999997
2026-05-16 15:00:00,2026-05-16 15:59:59,2080.2,2080.2,2076.2,2078.0,7693,15984751.2
2026-05-16 16:00:00,2026-05-16 16:59:59,2078.0,2078.0,2073.4,2076.0,8040,16688316.399999999
2026-05-16 17:00:00,2026-05-16 17:59:59,2076.0,2077.6,2075.4,2077.6,3483,7234092.400000002
2026-05-16 18:00:00,2026-05-16 18:59:59,2077.4,2078.0,2075.2,2077.0,4493,9330249.999999998
2026-05-17 09:00:00,2026-05-17 09:59:59,2077.6,2077.6,2077.6,2077.6,139,288786.4
2026-05-17 10:00:00,2026-05-17 10:59:59,2078.4,2083.8,2074.0,2079.6,12588,26171352.599999994
2026-05-17 11:00:00,2026-05-17 11:59:59,2079.0,2080.8,2079.0,2079.8,2247,4673708.4
2026-05-17 12:00:00,2026-05-17 12:59:59,2079.6,2080.0,2078.0,2079.0,3584,7451093.399999999
2026-05-17 13:00:00,2026-05-17 13:59:59,2078.4,2080.6,2077.0,2077.6,5710,11871315.800000004
2026-05-17 14:00:00,2026-05-17 14:59:59,2077.6,2081.8,2077.6,2079.0,6877,14309017.400000004
2026-05-17 15:00:00,2026-05-17 15:59:59,2078.8,2080.8,2076.4,2079.4,5086,10572065.0
2026-05-17 16:00:00,2026-05-17 16:59:59,2079.4,2081.0,2078.4,2080.4,3898,8108371.799999997
2026-05-17 17:00:00,2026-05-17 17:59:59,2080.8,2080.8,2076.4,2077.0,3411,7093118.0
2026-05-17 18:00:00,2026-05-17 18:59:59,2077.0,2080.4,2076.4,2076.4,8472,17604008.599999994
2026-05-18 06:00:00,2026-05-18 06:59:59,2076.0,2076.0,2076.0,2076.0,6002,12460152.0
2026-05-18 07:00:00,2026-05-18 07:59:59,2076.0,2080.0,2070.4,2078.4,27080,56232500.0
2026-05-18 08:00:00,2026-05-18 08:59:59,2078.4,2079.4,2072.0,2077.4,14226,29531152.2
2026-05-18 09:00:00,2026-05-18 09:59:59,2076.6,2080.0,2071.0,2076.0,41264,85714615.79999998
2026-05-18 10:00:00,2026-05-18 10:59:59,2075.8,2077.0,2060.0,2069.0,125706,259822303.3999999
2026-05-18 11:00:00,2026-05-18 11:59:59,2069.2,2069.6,2061.0,2066.6,24021,49616486.800000004
2026-05-18 12:00:00,2026-05-18 12:59:59,2066.6,2089.8,2064.8,2088.0,70657,146618818.79999998
2026-05-18 13:00:00,2026-05-18 13:59:59,2088.0,2089.6,2080.0,2080.6,23053,48039336.400000006
2026-05-18 14:00:00,2026-05-18 14:59:59,2080.2,2102.0,2079.2,2092.0,64513,134908439.00000003
2026-05-18 15:00:00,2026-05-18 15:59:59,2092.0,2097.6,2091.0,2093.8,22782,47696100.59999998
2026-05-18 16:00:00,2026-05-18 16:59:59,2093.8,2094.0,2090.2,2094.0,18072,37826656.4
2026-05-18 17:00:00,2026-05-18 17:59:59,2094.0,2118.4,2086.0,2117.6,90080,189559776.00000003
2026-05-18 18:00:00,2026-05-18 18:59:08,2117.8,2119.0,2102.0,2105.8,59917,126414857.39999996
2026-05-18 19:00:00,2026-05-18 19:59:59,2105.8,2105.8,2095.0,2098.6,29180,61306399.4
2026-05-18 20:00:00,2026-05-18 20:59:59,2098.8,2099.0,2096.4,2098.4,11731,24620330.4
2026-05-18 21:00:00,2026-05-18 21:59:59,2098.6,2098.6,2087.0,2087.0,17042,35641628.19999999
2026-05-18 22:00:00,2026-05-18 22:59:59,2087.0,2096.4,2086.4,2094.6,41737,87258022.4
2026-05-18 23:00:00,2026-05-18 23:59:58,2093.4,2096.2,2090.4,2090.4,8555,17906981.000000004
2026-05-19 06:00:00,2026-05-19 06:59:59,2093.0,2093.0,2093.0,2093.0,52,108836.0
2026-05-19 07:00:00,2026-05-19 07:59:59,2097.2,2099.4,2090.4,2096.4,11626,24362445.599999998
2026-05-19 08:00:00,2026-05-19 08:59:59,2096.4,2099.0,2094.0,2094.0,4969,10418797.600000001
2026-05-19 09:00:00,2026-05-19 09:59:59,2094.0,2094.4,2082.0,2085.6,17730,37012065.599999994
2026-05-19 10:00:00,2026-05-19 10:59:59,2085.2,2088.4,2079.2,2085.6,30756,64056289.19999999
2026-05-19 11:00:00,2026-05-19 11:59:59,2086.0,2096.6,2070.0,2078.0,77925,162106187.40000004
2026-05-19 12:00:00,2026-05-19 12:59:59,2078.4,2082.0,2071.6,2079.0,36981,76809928.20000002
2026-05-19 13:00:00,2026-05-19 13:59:59,2078.8,2081.6,2071.6,2075.8,21111,43845105.000000015
2026-05-19 14:00:00,2026-05-19 14:59:59,2075.6,2080.0,2071.0,2075.4,18595,38591079.99999999
2026-05-19 15:00:00,2026-05-19 15:59:59,2075.4,2085.0,2074.2,2084.2,21612,44967874.19999999
2026-05-19 16:00:00,2026-05-19 16:59:59,2084.2,2084.2,2065.0,2075.0,71288,147634415.4
