timestamps,end,open,high,low,close,volume,amount
2026-05-14 06:00:00,2026-05-14 06:59:59,93.495,93.495,93.495,93.495,8475,792370.25
2026-05-14 07:00:00,2026-05-14 07:59:59,93.495,93.51,93.38,93.48,219255,20492314.12
2026-05-14 08:00:00,2026-05-14 08:59:59,93.48,93.52,93.39,93.465,297702,27821366.339999996
2026-05-14 09:00:00,2026-05-14 09:59:59,93.465,93.465,93.28,93.345,581429,54280804.40000001
2026-05-14 10:00:00,2026-05-14 10:59:59,93.35,93.49,93.3,93.305,664198,62018337.18000001
2026-05-14 11:00:00,2026-05-14 11:59:59,93.3,93.42,92.94,93.115,1822349,169748550.84999996
2026-05-14 12:00:00,2026-05-14 12:59:59,93.115,93.225,92.285,92.405,5351692,496073934.1700001
2026-05-14 13:00:00,2026-05-14 13:59:59,92.4,92.45,91.27,91.49,12236396,1124094712.04
2026-05-14 14:00:00,2026-05-14 14:59:59,91.485,91.595,91.23,91.34,8798322,804583814.6999998
2026-05-14 15:00:00,2026-05-14 15:59:59,91.33,91.34,90.0,90.225,22915627,2072665270.78
2026-05-14 16:00:00,2026-05-14 16:59:59,90.225,90.62,90.04,90.575,9381543,847175674.1600001
2026-05-14 17:00:00,2026-05-14 17:59:59,90.575,90.735,90.345,90.41,5633967,510328850.7399999
2026-05-14 18:00:00,2026-05-14 18:59:59,90.415,90.43,89.9,90.065,7269473,655399521.6100001
2026-05-14 19:00:00,2026-05-14 19:59:59,90.07,90.395,90.065,90.235,2267833,204639394.56999993
2026-05-14 20:00:00,2026-05-14 20:59:59,90.235,90.495,90.15,90.275,1883858,170167867.31
2026-05-14 21:00:00,2026-05-14 21:59:59,90.275,90.445,90.24,90.39,973027,87896688.19999999
2026-05-14 22:00:00,2026-05-14 22:59:59,90.39,90.41,90.2,90.255,737318,66584624.72999999
2026-05-14 23:00:00,2026-05-14 23:59:58,90.255,90.27,90.065,90.11,1464819,132050392.46
2026-05-15 06:00:00,2026-05-15 06:59:59,90.15,90.15,90.15,90.15,7510,677026.5000000001
2026-05-15 07:00:00,2026-05-15 07:59:59,90.15,90.57,90.15,90.34,2270606,205230897.03000006
2026-05-15 08:00:00,2026-05-15 08:59:59,90.34,90.51,90.185,90.225,1872587,169287067.10000002
2026-05-15 09:00:00,2026-05-15 09:59:59,90.23,90.415,90.05,90.2,2250038,202915158.45
2026-05-15 10:00:00,2026-05-15 10:59:59,90.2,90.51,90.17,90.265,2804321,253398325.35
2026-05-15 11:00:00,2026-05-15 11:59:59,90.27,90.345,90.075,90.325,2059559,185756463.68999997
2026-05-15 12:00:00,2026-05-15 12:59:59,90.325,90.4,90.1,90.135,1917059,172946260.9399999
2026-05-15 13:00:00,2026-05-15 13:59:59,90.135,90.22,89.545,89.855,7746353,696458706.08
2026-05-15 14:00:00,2026-05-15 14:59:59,89.855,89.88,89.575,89.675,3120409,279965965.75999993
2026-05-15 15:00:00,2026-05-15 15:59:59,89.675,89.68,89.1,89.2,8251685,736585759.9200001
2026-05-15 16:00:00,2026-05-15 16:59:59,89.2,89.98,89.195,89.63,4367741,391326073.91999996
2026-05-15 17:00:00,2026-05-15 17:59:59,89.625,89.63,89.11,89.26,4800725,428717416.6599998
2026-05-15 18:00:00,2026-05-15 18:59:59,89.255,89.435,89.15,89.365,2375749,212060397.66999993
2026-05-15 19:00:00,2026-05-15 19:59:59,89.365,90.06,89.365,89.805,2930529,262981596.15999997
2026-05-15 20:00:00,2026-05-15 20:59:59,89.79,89.855,89.75,89.79,651388,58493102.72999999
2026-05-15 21:00:00,2026-05-15 21:59:59,89.785,89.865,89.705,89.84,934534,83911186.24999997
2026-05-15 22:00:00,2026-05-15 22:59:59,89.825,89.84,89.65,89.68,1036276,92953896.22999996
2026-05-15 23:00:00,2026-05-15 23:59:58,89.66,89.875,89.56,89.79,955884,85780376.76
2026-05-16 09:00:00,2026-05-16 09:59:59,89.865,89.865,89.865,89.865,44882,4033321.08
2026-05-16 10:00:00,2026-05-16 10:59:59,89.865,89.965,89.72,89.95,624292,56089027.78000001
2026-05-16 11:00:00,2026-05-16 11:59:59,89.945,90.2,89.865,90.065,1007103,90726708.92
2026-05-16 12:00:00,2026-05-16 12:59:59,90.065,90.135,89.82,89.94,396561,35690615.620000005
2026-05-16 13:00:00,2026-05-16 13:59:59,89.94,90.03,89.9,89.99,211745,19051767.590000007
2026-05-16 14:00:00,2026-05-16 14:59:59,89.98,90.1,89.94,90.035,214514,19309858.37
2026-05-16 15:00:00,2026-05-16 15:59:59,90.035,90.075,89.81,89.835,167848,15090432.099999998
2026-05-16 16:00:00,2026-05-16 16:59:59,89.82,89.84,89.7,89.795,293294,26326666.219999995
2026-05-16 17:00:00,2026-05-16 17:59:59,89.795,89.945,89.795,89.895,142277,12784872.750000002
2026-05-16 18:00:00,2026-05-16 18:59:59,89.895,89.9,89.74,89.77,186206,16721592.210000003
2026-05-17 09:00:00,2026-05-17 09:59:59,89.77,89.77,89.77,89.77,9857,884862.8900000004
2026-05-17 10:00:00,2026-05-17 10:59:59,89.775,89.9,89.1,89.42,2102340,187941048.05999997
2026-05-17 11:00:00,2026-05-17 11:59:59,89.42,89.62,89.375,89.615,699418,62624725.140000015
2026-05-17 12:00:00,2026-05-17 12:59:59,89.62,90.11,89.615,90.11,2100545,188706763.47000003
2026-05-17 13:00:00,2026-05-17 13:59:59,90.09,91.2,90.0,90.855,5149507,466464071.9599999
2026-05-17 14:00:00,2026-05-17 14:59:59,90.855,90.915,90.295,90.465,3957685,358901281.25000006
2026-05-17 15:00:00,2026-05-17 15:59:59,90.465,90.64,90.055,90.25,1859491,167917498.02000007
2026-05-17 16:00:00,2026-05-17 16:59:59,90.225,90.665,90.195,90.37,1647435,149023434.64000008
2026-05-17 17:00:00,2026-05-17 17:59:59,90.37,90.535,90.305,90.485,980648,88695305.08999999
2026-05-17 18:00:00,2026-05-17 18:59:59,90.47,90.665,90.47,90.58,1114169,100926412.17999996
2026-05-18 06:00:00,2026-05-18 06:59:59,90.735,90.735,90.735,90.735,15404,1397682.2299999997
2026-05-18 07:00:00,2026-05-18 07:59:59,90.7,90.77,90.3,90.645,1500024,135968237.31
2026-05-18 08:00:00,2026-05-18 08:59:59,90.635,90.67,90.45,90.505,424276,38428137.01999998
2026-05-18 09:00:00,2026-05-18 09:59:59,90.5,90.5,90.1,90.1,2517836,227146780.54999995
2026-05-18 10:00:00,2026-05-18 10:59:59,90.105,90.175,89.385,89.695,7418022,665755080.9399997
2026-05-18 11:00:00,2026-05-18 11:59:59,89.7,89.965,89.595,89.6,1330758,119455733.37999997
2026-05-18 12:00:00,2026-05-18 12:59:59,89.595,90.19,89.57,90.19,3307373,297450951.99
2026-05-18 13:00:00,2026-05-18 13:59:59,90.19,90.19,89.725,89.77,3065833,275792098.67
2026-05-18 14:00:00,2026-05-18 14:59:59,89.775,89.88,89.63,89.765,1440958,129327615.48000003
2026-05-18 15:00:00,2026-05-18 15:59:59,89.765,89.83,89.6,89.705,962271,86333702.47999999
2026-05-18 16:00:00,2026-05-18 16:59:59,89.69,89.83,89.325,89.45,1742600,156018789.31
2026-05-18 17:00:00,2026-05-18 17:59:59,89.445,90.13,89.265,90.075,3400031,305122131.75000083
2026-05-18 18:00:00,2026-05-18 18:59:59,90.085,90.165,89.86,89.905,2477379,223059102.41000023
2026-05-18 19:00:00,2026-05-18 19:59:59,89.905,90.25,89.86,90.225,1700507,153126990.17
2026-05-18 20:00:00,2026-05-18 20:59:59,90.225,90.825,90.225,90.325,3441636,311569743.4500004
2026-05-18 21:00:00,2026-05-18 21:59:59,90.325,90.375,90.135,90.295,694320,62688030.1
2026-05-18 22:00:00,2026-05-18 22:59:59,90.305,90.32,90.19,90.295,326041,29426895.390000008
2026-05-18 23:00:00,2026-05-18 23:59:58,90.29,90.295,90.195,90.21,291822,26335608.60000001
2026-05-19 06:00:00,2026-05-19 06:59:59,90.215,90.215,90.215,90.215,3855,347778.92999999993
2026-05-19 07:00:00,2026-05-19 07:59:59,90.22,90.585,90.215,90.4,1316569,119067181.03000005
2026-05-19 08:00:00,2026-05-19 08:59:59,90.395,90.5,90.275,90.415,573199,51819531.120000005
2026-05-19 09:00:00,2026-05-19 09:59:59,90.41,90.415,89.945,90.18,1109701,100071686.78
2026-05-19 10:00:00,2026-05-19 10:59:59,90.175,90.22,89.885,90.035,1329434,119657469.23000003
2026-05-19 11:00:00,2026-05-19 11:59:59,90.04,90.45,90.03,90.21,1318370,119018495.15999998
2026-05-19 12:00:00,2026-05-19 12:59:59,90.21,90.3,89.915,90.0,1007956,90807176.80000001
2026-05-19 13:00:00,2026-05-19 13:59:59,90.0,90.1,89.905,90.09,989642,89064816.63
2026-05-19 14:00:00,2026-05-19 14:59:59,90.09,90.195,89.995,90.145,1145971,103217655.09000002
2026-05-19 15:00:00,2026-05-19 15:59:59,90.145,90.33,90.02,90.05,827527,74616918.61
2026-05-19 16:00:00,2026-05-19 16:59:59,90.04,90.155,89.88,89.96,1627765,146516908.43
2026-05-19 17:00:00,2026-05-19 17:59:59,89.96,89.995,89.81,89.845,1098791,98753287.20999977
2026-05-19 18:00:00,2026-05-19 18:59:59,89.84,90.0,89.84,89.965,782071,70355442.82000001
2026-05-19 19:00:00,2026-05-19 19:59:59,89.955,90.0,89.92,89.94,342410,30804641.069999997
2026-05-19 20:00:00,2026-05-19 20:59:59,89.935,89.99,89.9,89.95,298582,26856126.6
2026-05-19 21:00:00,2026-05-19 21:59:59,89.95,90.0,89.925,90.0,360012,32393286.160000004
2026-05-19 22:00:00,2026-05-19 22:59:59,89.995,90.0,89.945,89.97,288625,25974028.000000004
2026-05-19 23:00:00,2026-05-19 23:59:57,89.975,90.0,89.93,89.99,373117,33576793.77
2026-05-20 06:00:00,2026-05-20 06:59:59,89.99,89.99,89.99,89.99,659,59303.41000000003
2026-05-20 07:00:00,2026-05-20 07:59:59,89.99,90.2,89.895,89.995,774610,69723682.32999995
2026-05-20 08:00:00,2026-05-20 08:59:59,89.995,90.175,89.985,90.03,380933,34316922.760000005
2026-05-20 09:00:00,2026-05-20 09:59:59,90.03,90.03,89.675,89.805,1325270,119063797.98999996
2026-05-20 10:00:00,2026-05-20 10:59:59,89.805,90.04,89.52,89.8,2165569,194507502.36999992
2026-05-20 11:00:00,2026-05-20 11:59:59,89.795,90.19,89.73,90.035,1478563,132960120.10000001
2026-05-20 12:00:00,2026-05-20 12:59:59,90.04,90.135,89.69,89.995,2147017,193028258.66999993
2026-05-20 13:00:00,2026-05-20 13:59:59,89.99,90.1,89.605,89.705,1613167,144997090.72
2026-05-20 14:00:00,2026-05-20 14:59:59,89.705,89.92,89.66,89.88,745202,66913461.53999999
2026-05-20 15:00:00,2026-05-20 15:59:59,89.87,90.0,89.84,89.935,889335,79957212.62000005
2026-05-20 16:00:00,2026-05-20 16:59:59,89.935,89.98,89.81,89.885,603857,54282540.36999999
2026-05-20 17:00:00,2026-05-20 17:59:59,89.895,89.915,89.66,89.765,1564024,140366588.6799999
2026-05-20 18:00:00,2026-05-20 18:59:03,89.775,89.9,89.7,89.9,500831,44961670.919999994
2026-05-20 19:00:00,2026-05-20 19:59:59,89.79,89.89,89.725,89.765,1079318,96936274.36
2026-05-20 20:00:00,2026-05-20 20:59:59,89.765,89.85,89.745,89.8,599549,53841130.17000002
2026-05-20 21:00:00,2026-05-20 21:59:59,89.795,89.815,89.75,89.78,477201,42834430.54000001
2026-05-20 22:00:00,2026-05-20 22:59:59,89.78,89.825,89.725,89.765,571160,51265093.15
2026-05-20 23:00:00,2026-05-20 23:59:58,89.765,89.8,89.725,89.755,739561,66373611.09000002
2026-05-21 06:00:00,2026-05-21 06:59:59,89.86,89.86,89.86,89.86,3565,320350.89999999997
2026-05-21 07:00:00,2026-05-21 07:59:59,89.87,89.995,89.72,89.775,652688,58620896.69000005
2026-05-21 08:00:00,2026-05-21 08:59:59,89.775,89.775,89.565,89.595,558393,50074341.01999999
2026-05-21 09:00:00,2026-05-21 09:59:59,89.595,89.635,89.255,89.455,1613691,144271797.28000003
2026-05-21 10:00:00,2026-05-21 10:59:59,89.45,89.465,88.575,89.04,10808350,961922632.0000006
2026-05-21 11:00:00,2026-05-21 11:59:59,89.045,89.045,88.05,88.715,7673623,679849779.2199999
2026-05-21 12:00:00,2026-05-21 12:59:59,88.715,89.12,88.715,88.8,2983635,265282786.79000005
2026-05-21 13:00:00,2026-05-21 13:59:59,88.795,89.235,88.435,89.125,4129528,366806022.59
2026-05-21 14:00:00,2026-05-21 14:59:59,89.125,89.23,88.83,88.955,1269447,112990084.85
2026-05-21 15:00:00,2026-05-21 15:59:59,88.96,89.125,88.72,89.035,1396398,124190084.71000002
2026-05-21 16:00:00,2026-05-21 16:59:59,89.03,89.465,89.0,89.465,2140253,191072333.59999996
2026-05-21 17:00:00,2026-05-21 17:59:59,89.46,90.46,89.405,90.01,8524044,767086091.1600001
2026-05-21 18:00:00,2026-05-21 18:59:59,90.015,90.165,89.775,90.005,2518570,226660263.20000017
2026-05-21 19:00:00,2026-05-21 19:59:59,90.02,90.195,89.86,90.0,1386128,124783971.98999998
2026-05-21 20:00:00,2026-05-21 20:59:59,90.0,90.1,89.895,90.03,1299388,116936166.81000014
2026-05-21 21:00:00,2026-05-21 21:59:59,90.03,90.05,89.815,89.925,1011919,91003036.23000003
2026-05-21 22:00:00,2026-05-21 22:59:59,89.91,89.92,89.73,89.855,551578,49544354.75999998
2026-05-21 23:00:00,2026-05-21 23:59:58,89.855,89.86,89.7,89.7,359759,32292861.909999993
2026-05-22 06:00:00,2026-05-22 06:59:59,89.855,89.855,89.855,89.855,1364,122562.3
2026-05-22 07:00:00,2026-05-22 07:59:59,89.855,90.1,89.735,90.05,674587,60701456.139999986
2026-05-22 08:00:00,2026-05-22 08:59:59,90.05,90.05,89.755,89.85,563920,50715192.31999999
2026-05-22 09:00:00,2026-05-22 09:59:59,89.84,90.38,89.805,90.225,1935163,174334164.17
2026-05-22 10:00:00,2026-05-22 10:59:59,90.225,90.995,90.175,90.395,5396129,488852236.5700001
2026-05-22 11:00:00,2026-05-22 11:59:59,90.395,90.495,90.24,90.295,1482350,133965548.39999995
2026-05-22 12:00:00,2026-05-22 12:59:59,90.295,90.385,90.02,90.145,1803950,162805658.97000006
2026-05-22 13:00:00,2026-05-22 13:59:59,90.15,90.63,90.08,90.385,4563029,412508065.2600002
