timestamps,end,open,high,low,close,volume,amount
2026-05-14 06:00:00,2026-05-14 06:59:59,2417.0,2417.0,2417.0,2417.0,14,33838.0
2026-05-14 07:00:00,2026-05-14 07:59:59,2417.0,2420.0,2415.0,2415.5,6302,15230591.5
2026-05-14 08:00:00,2026-05-14 08:59:59,2415.5,2418.0,2409.0,2415.0,11308,27301907.0
2026-05-14 09:00:00,2026-05-14 09:59:59,2414.0,2415.0,2408.0,2409.0,13647,32913403.0
2026-05-14 10:00:00,2026-05-14 10:59:59,2408.5,2413.0,2408.0,2411.5,21218,51126894.0
2026-05-14 11:00:00,2026-05-14 11:59:59,2411.0,2414.5,2407.5,2408.5,35243,84941254.5
2026-05-14 12:00:00,2026-05-14 12:59:59,2409.0,2414.5,2408.5,2413.5,20198,48693825.0
2026-05-14 13:00:00,2026-05-14 13:59:59,2413.5,2417.0,2411.0,2413.5,11167,26961887.0
2026-05-14 14:00:00,2026-05-14 14:59:59,2413.5,2416.0,2408.0,2415.5,23951,57748746.5
2026-05-14 15:00:00,2026-05-14 15:59:59,2416.0,2416.0,2408.0,2410.0,40378,97278367.5
2026-05-14 16:00:00,2026-05-14 16:59:59,2410.0,2410.0,2408.0,2409.5,19937,48017936.5
2026-05-14 17:00:00,2026-05-14 17:59:59,2409.5,2413.0,2409.0,2410.0,12675,30555434.5
2026-05-14 18:00:00,2026-05-14 18:59:59,2410.5,2412.0,2408.0,2408.0,19575,47164091.5
2026-05-14 19:00:00,2026-05-14 19:59:59,2408.5,2409.0,2408.0,2408.0,6201,14933363.0
2026-05-14 20:00:00,2026-05-14 20:59:59,2408.5,2409.0,2407.5,2408.0,5726,13788808.0
2026-05-14 21:00:00,2026-05-14 21:59:59,2407.5,2410.5,2407.5,2410.5,10441,25157744.0
2026-05-14 22:00:00,2026-05-14 22:59:59,2410.5,2413.0,2410.0,2412.5,9104,21951055.5
2026-05-14 23:00:00,2026-05-14 23:59:58,2412.5,2412.5,2410.0,2410.0,6834,16474220.0
2026-05-15 06:00:00,2026-05-15 06:59:59,2405.5,2405.5,2405.5,2405.5,102,245361.0
2026-05-15 07:00:00,2026-05-15 07:59:59,2410.0,2414.0,2404.5,2410.0,11119,26791014.5
2026-05-15 08:00:00,2026-05-15 08:59:59,2409.5,2415.5,2409.5,2413.5,5349,12904730.5
2026-05-15 09:00:00,2026-05-15 09:59:59,2413.0,2415.0,2410.5,2415.0,12482,30123052.0
2026-05-15 10:00:00,2026-05-15 10:59:59,2414.0,2421.0,2413.0,2419.5,33506,81043207.5
2026-05-15 11:00:00,2026-05-15 11:59:59,2419.5,2420.0,2415.0,2416.0,17866,43180520.0
2026-05-15 12:00:00,2026-05-15 12:59:59,2416.0,2420.0,2409.0,2410.5,31520,76095771.0
2026-05-15 13:00:00,2026-05-15 13:59:59,2411.0,2413.5,2410.5,2411.5,14677,35386824.0
2026-05-15 14:00:00,2026-05-15 14:59:59,2411.5,2412.0,2408.0,2409.0,14195,34201817.0
2026-05-15 15:00:00,2026-05-15 15:59:59,2409.0,2410.5,2408.0,2409.5,34390,82818587.0
2026-05-15 16:00:00,2026-05-15 16:59:59,2409.5,2410.0,2405.0,2405.5,20743,49928788.0
2026-05-15 17:00:00,2026-05-15 17:59:59,2405.0,2406.0,2395.5,2395.5,83021,199398238.5
2026-05-15 18:00:00,2026-05-15 18:58:08,2396.0,2396.0,2382.0,2392.0,40221,96109060.0
2026-05-15 19:00:00,2026-05-15 19:59:59,2392.5,2395.5,2387.5,2394.0,19686,47083216.0
2026-05-15 20:00:00,2026-05-15 20:59:59,2393.5,2399.5,2390.0,2398.5,9111,21828706.0
2026-05-15 21:00:00,2026-05-15 21:59:59,2397.5,2401.5,2397.5,2401.0,3521,8448997.5
2026-05-15 22:00:00,2026-05-15 22:59:59,2400.5,2401.5,2397.5,2401.5,5171,12408308.0
2026-05-15 23:00:00,2026-05-15 23:59:58,2401.5,2405.0,2401.0,2401.0,3733,8968389.5
2026-05-16 09:00:00,2026-05-16 09:59:59,2401.0,2401.0,2401.0,2401.0,74,177674.0
2026-05-16 10:00:00,2026-05-16 10:59:59,2401.0,2403.0,2398.5,2399.5,2722,6536033.0
2026-05-16 11:00:00,2026-05-16 11:59:59,2399.5,2405.0,2399.5,2402.0,3704,8895075.5
2026-05-16 12:00:00,2026-05-16 12:59:59,2402.0,2403.0,2400.0,2402.5,1374,3299721.0
2026-05-16 13:00:00,2026-05-16 13:59:59,2402.0,2402.5,2398.5,2399.5,1775,4259421.0
2026-05-16 14:00:00,2026-05-16 14:59:59,2400.0,2402.5,2399.0,2401.0,1654,3970106.0
2026-05-16 15:00:00,2026-05-16 15:59:59,2401.0,2401.0,2399.0,2400.5,804,1929921.0
2026-05-16 16:00:00,2026-05-16 16:59:06,2400.5,2402.0,2398.0,2400.5,1438,3450641.0
2026-05-16 17:00:00,2026-05-16 17:59:01,2400.0,2400.5,2396.5,2398.5,1195,2865947.0
2026-05-16 18:00:00,2026-05-16 18:59:59,2398.0,2400.0,2396.0,2400.0,1947,4668035.5
2026-05-17 09:00:00,2026-05-17 09:59:59,2398.5,2398.5,2398.5,2398.5,94,225459.0
2026-05-17 10:00:00,2026-05-17 10:59:59,2399.0,2401.0,2397.0,2399.5,1766,4237314.5
2026-05-17 11:00:00,2026-05-17 11:59:59,2399.5,2400.0,2396.0,2398.0,1894,4541168.5
2026-05-17 12:00:00,2026-05-17 12:59:59,2398.0,2403.5,2397.0,2401.0,3773,9055522.0
2026-05-17 13:00:00,2026-05-17 13:59:59,2400.0,2409.0,2400.0,2406.5,3892,9356751.5
2026-05-17 14:00:00,2026-05-17 14:59:59,2406.5,2407.0,2404.5,2406.0,1156,2781176.5
2026-05-17 15:00:00,2026-05-17 15:59:59,2405.5,2406.5,2403.5,2406.5,1473,3543449.5
2026-05-17 16:00:00,2026-05-17 16:59:59,2406.5,2408.0,2406.0,2407.5,1270,3057132.5
2026-05-17 17:00:00,2026-05-17 17:59:59,2407.0,2408.0,2403.5,2403.5,2764,6651033.5
2026-05-17 18:00:00,2026-05-17 18:59:59,2407.0,2408.0,2402.5,2406.5,2272,5464714.0
2026-05-18 06:00:00,2026-05-18 06:59:59,2408.0,2408.0,2408.0,2408.0,95,228760.0
